Utility name,City,People served,Zip
Q Mountain Water Company,"Yuma, AZ","Population served:1,125",85346
Q Mountain Vista Mobile Home Park,"Quartzsite, AZ",Population served:440,85346
Mohawk Valley School District,"Roll, AZ",Population served:220,85347
Salome Water Company,"Salome, AZ",Population served:350,85348
City of Somerton,"Somerton, AZ","Population served:15,818",85350
Aspc Yuma,"Yuma, AZ","Population served:4,197",85350
City of San Luis,"San Luis, AZ","Population served:27,800",85350
U.S. Marine Corps Yuma Main System,"Yuma, AZ","Population served:6,324",85350
Valley Vista Water Company,"Somerton, AZ",Population served:300,85350
Tacna Water Management Company,"Yuma, AZ",Population served:200,85352
Mohawk Utility Company,"Wellton, AZ",Population served:267,85352
Water Utility of Greater Tonopah Garden,"Phoenix, AZ",Population served:17,85354
Belmont Mountain Dairy,"Tonopah, AZ",Population served:72,85354
Wugt - West Phoenix Estates 6 Domestic Water Improvement District,"Phoenix, AZ",Population served:25,85354
Roseview Water Company,"Phoenix, AZ",Population served:16,85354
Valley View Water Company,"Buckeye, AZ",Population served:60,85354
Wugt B D Buckeye Ranch Domestic Water Improvement District,"Phoenix, AZ",Population served:81,85354
Dixie Water Company,"Phoenix, AZ",Population served:36,85354
Vwc Buckeye Div - Sonoran Ridge,"Buckeye, AZ",Population served:58,85355
Olive Avenue Homeowners Association,"Litchfield Park, AZ",Population served:25,85355
Antelope Water Company,"Wellton, AZ",Population served:163,85356
Citrus Park Water Company,"Yuma, AZ",Population served:30,85356
City of Lake Havasu,"Lake Havasu City, AZ","Population served:54,610",85360
Kingman Municipal Water,"Kingman, AZ","Population served:45,000",85360
Epcor Water - Mohave,"Youngtown, AZ","Population served:36,330",85360
Bermuda Water Company Inc,"Fort Mohave, AZ","Population served:18,000",85360
Valley Pioneers Water Company Inc.,"Golden Valley, AZ","Population served:5,128",85360
Chaparral Water Company,"Tucson, AZ",Population served:813,85361
Patton Place Estates,"Phoenix, AZ",Population served:419,85361
Peak View Ranch,"Apache Junction, AZ",Population served:232,85361
Mobile Gardens Domestic Water Improvement District,"Wittman, AZ",Population served:320,85361
West End Water Company - Wheat,"Peoria, AZ",Population served:53,85361
Beardsley Water Company 1,"Phoenix, AZ","Population served:1,471",85361
Rancho Wells Inc.,"Surprise, AZ",Population served:51,85361
River Rv Ranch,"Las Vegas, NV",Population served:71,85364
Mountain View Mobile Village,"Yuma, AZ",Population served:75,85364
Fishers Landing Resort,"Yuma, AZ",Population served:402,85365
Far West Water & Sewer Inc,"Yuma, AZ","Population served:32,425",85365
U.S. Army Ypg Main Administrative Area,"Yuma, AZ","Population served:1,500",85365
Rancheros Bonitos Water Company,"Yuma, AZ",Population served:144,85365
Shepard Water Company,"Yuma, AZ",Population served:420,85365
Jones Co-op Water Association,"Yuma, AZ",Population served:35,85365
G & L Mobile Park,"Yuma, AZ",Population served:90,85365
Tierra Mesa Estates Water Company,"Yuma, AZ",Population served:680,85365
Yuma Lakes Resort,"Parker, AZ",Population served:732,85365
El Prado Water Company,"Yuma, AZ",Population served:350,85365
Sierra Pacific Mobile Manor,"Yuma, AZ",Population served:816,85365
Green Acres Water Company,"Yuma, AZ",Population served:91,85365
Sun Leisure Estates Utilities Company,"Yuma, AZ",Population served:143,85365
Laguna Mobile Home and Rv Park,"Rancho Cucamonga, CA",Population served:450,85365
Sunset Mobile Home Park,"Yuma, AZ",Population served:43,85365
Yuma West Mobile Home Park,"Yuma, AZ",Population served:30,85365
City of Yuma,"Yuma, AZ","Population served:103,264",85367
Bouse Dwid,Bouse,Population served: 142,85371
Desert Sky Dwid,Kingman,Population served: 90,85371
Harrisburg Utility Company,Salome,"Population served: 1,556",85371
"Parker, Town of",Parker,"Population served: 3,087",85371
"Quartzsite, Town of",Quartzsite,"Population served: 2,761",85371
Wenden Domestic Water Improvement District,Wenden,Population served: 600,85371
Epcor Water - Tierra Del Rio,"Youngtown, AZ","Population served:4,688",85373
Epcor Water - Sun City West,"Youngtown, AZ","Population served:25,362",85373
Epcor Water - North East Agua Fria,"Youngtown, AZ","Population served:10,087",85375
Vistancia Public Water System,"Peoria, AZ","Population served:10,263",85375
Saguaro Acres Cfd,"Surprise, AZ",Population served:175,85375
Rose Valley Water Company,"Green Valley, AZ","Population served:6,202",85382
Saguaro View Mgmt Company,"Sun City, AZ",Population served:365,85387
Desert Oasis,"Surprise, AZ","Population served:5,011",85387
Two Tanks Community Well,"Surprise, AZ",Population served:76,85387
Country Club Acres Water Inc.,"Wickenburg, AZ",Population served:431,85390
Caballeros Water Company,"Wickenburg, AZ",Population served:100,85390
G Lazy B Mobile Home Park,"Wickenburg, AZ",Population served:25,85390
Stonehedge Estates,"Scottsdale, AZ",Population served:161,85390
Aguila Water Service,"Sun City, AZ",Population served:962,85390
Festival Ranch,"Buckeye, AZ","Population served:5,123",85396
City Of Buckeye Tartesso Water System,"Buckeye, AZ","Population served:2,943",85396
Vwc Buckeye Division Sun Valley,"Buckeye, AZ",Population served:374,85396
Arizona Water Company - Miami Claypool,"Phoenix, AZ","Population served:9,026",85501
Holiday Hills Mobile Home Park,"Globe, AZ",Population served:430,85501
Pueblo Heights Mobile Home Park,"Globe, AZ",Population served:400,85501
August Hills Mobile Home Park,"Glendale, AZ",Population served:41,85501
Apache Trail Mobile Home Park,"Globe, AZ",Population served:130,85501
H A V Properties LLC,"Globe, AZ",Population served:35,85501
Adoc Aspc Fort Grant,Safford,Population served: 800,85530
Ash Creek Water Company,Phoenix,Population served: 300,85530
City of Safford,Safford,"Population served: 18,900",85530
Eden Water Company Inc.,Eden,Population served: 400,85530
Graham County Utilities - Pima,Pima,"Population served: 2,840",85530
Graham County Utilities-fort Thomas,Pima,Population served: 283,85530
U.S. Department of Justice Federal Bureau of Prisons Federal Correctional Instit,Safford,"Population served: 1,210",85530
Town of Payson,"Payson, AZ","Population served:17,682",85532
Pine Strawberry Domestic Water Improvement District,"Pine, AZ","Population served:8,000",85532
"Globe, City of","Globe, AZ","Population served:7,396",85532
Town of Star Valley Water Department,"Payson, AZ","Population served:1,107",85532
Morenci Water & Electric Company Main,"Morenci, AZ","Population served:4,185",85533
Verde Lee Water Company,"Show Low, AZ",Population served:450,85533
Loma Linda Water Company,"Phoenix, AZ",Population served:328,85533
"Duncan, Town of",Duncan,Population served: 365,85534
Glen Acres Water Co-op,Lordsburg,Population served: 180,85534
"Hunter Water, Town of Duncan",Duncan,Population served: 116,85534
Lordsburg Water Supply System,Lordsburg,"Population served: 3,028",85534
Morenci Water & Electric Company Clifton,Morenci,"Population served: 1,687",85534
Rodeo Mdw & Mswa,Rodeo,Population served: 128,85534
Virden Water System,Virden,Population served: 118,85534
Gardner Water Company,"Payson, AZ",Population served:32,85541
Payson Water - Geronimo Estates,"Denver, CO",Population served:252,85541
Payson Water - Whispering Pines,"Denver, CO",Population served:453,85541
Payson Water - Gisela,"Denver, CO",Population served:480,85541
Payson Water - Mesa De Caballo,"Denver, CO","Population served:1,215",85541
Christopher Creek Haven,"Payson, AZ",Population served:30,85541
Beaver Valley Water Company,"Payson, AZ",Population served:150,85541
Payson Water - Flowing Springs,"Denver, CO",Population served:87,85541
Payson Water - East Verde Estates,"Denver, CO",Population served:423,85541
Tonto Creek Water Company,"Payson, AZ",Population served:242,85541
Tonto Village Water Company,"Payson, AZ",Population served:185,85541
Payson Water - Meads Ranch,"Denver, CO",Population served:207,85541
Payson Water - Deer Creek,"Denver, CO",Population served:372,85541
Lamplighter Rv Resort,"Star Valley, AZ",Population served:308,85541
Jakes Corner Water System,"Payson, AZ",Population served:35,85541
Ponderosa Glen Mobile Home Park,"Star Valley, AZ",Population served:190,85541
Star Valley Motel and Mobile Home Park,"Payson, AZ",Population served:90,85541
Twin Lakes Mobile Home Park,"Payson, AZ",Population served:75,85541
Pine Water Association Domestic Water Improvement District,"Pine, AZ",Population served:400,85541
Pine Creek Canyon Dwid,"Pine, AZ",Population served:227,85544
Solitude Trails Domestic Water Improvement District,"Pine, AZ",Population served:90,85544
Strawberry Hollow Dwid,"Pine, AZ",Population served:48,85544
Roosevelt Resort Llc,"Roosevelt, AZ",Population served:139,85545
Quail Run Water System,"Roosevelt, AZ",Population served:300,85545
Arroyo Water Company,"Payson, AZ",Population served:150,85553
Tonto Basin Water - Lr Gardens East,"Denver, CO",Population served:144,85553
Tonto Basin Water - North Bay Estates,"Denver, CO",Population served:183,85553
Empirita Water Company,"Tucson, AZ",Population served:82,85602
Mescal Lakes Water System,"Tucson, AZ","Population served:1,479",85602
Whetstone Ranch Water System,"Benson, AZ",Population served:135,85602
Willow Lakes Property Owners Association,"Benson, AZ",Population served:207,85602
Naco Water Company Bisbee,"Tucson, AZ",Population served:201,85603
Naco Water Company Main,"Tucson, AZ",Population served:771,85603
Twin Buttes Trailer Park,"Douglas, AZ",Population served:79,85603
Bella Vista City Water System,"Sierra Vista, AZ","Population served:20,045",85606
US Army Fort Huachuca,"Dragoon, AZ","Population served:15,603",85606
City of Douglas,"Douglas, AZ","Population served:13,300",85606
Pueblo Del Sol Water Company,"Sierra Vista, AZ","Population served:12,804",85606
Arizona Water Company - Sierra Vista,"Phoenix, AZ","Population served:10,002",85606
Arizona Water Company - Bisbee,"Phoenix, AZ","Population served:8,034",85606
"Benson, City of Water System","Benson, AZ","Population served:6,305",85606
City of Willcox,"Sahuarita, AZ","Population served:3,757",85606
Bisbee Douglas Intl Airport,"Bisbee, AZ","Population served:2,600",85606
Bella Vista Water South,"Sierra Vista, AZ","Population served:2,063",85606
La Costa Water Users Association,"Douglas, AZ",Population served:30,85607
Cochise College Park Water Association,"Douglas, AZ",Population served:83,85607
Monte Vista Water Company,"Douglas, AZ",Population served:150,85607
Holiday Water Company,"Tombstone, AZ",Population served:395,85610
Sunizona Water Company,"Pearce, AZ",Population served:27,85610
Sonoita Valley (south) Water Company,"Tucson, AZ",Population served:86,85611
Town of Huachuca City,"Huachuca City, AZ","Population served:1,854",85613
Farmers Water Company Continental,"Sahuarita, AZ","Population served:3,999",85614
Farmers Water Company Sahuarita,"Sahuarita, AZ",Population served:248,85614
Quail Creek Water Company,"Tucson, AZ","Population served:6,192",85614
Farmers Water Co. Santa Rita Springs,"Huachuca City, AZ","Population served:3,355",85614
Valle Verde Del Norte,"Tucson, AZ",Population served:300,85614
Farmers Water Co. Sahuarita Highlands,"Sahuarita, AZ",Population served:383,85614
Southern Sunrise Water Company Cochise Horseshoe,"Sierra Vista, AZ","Population served:1,542",85615
Southern Sunrise Water Company Miracle Valley,"Sierra Vista, AZ",Population served:690,85615
Palominas Water Sewer Cooperative,"Hereford, AZ",Population served:25,85615
East Slope Water - West,"Tucson, AZ",Population served:665,85615
Northern Sunrise Water Company Mustang Crystal,"Sierra Vista, AZ",Population served:598,85616
Whetstone Domestic Water Improvement District,"Huachuca City, AZ",Population served:940,85616
Sulger Water Company 2,"Huachuca City, AZ",Population served:62,85616
Desert Winds Mobile Park,"Sierra Vista, AZ",Population served:34,85616
Whetstone Village Mobile Home Park,"Huachuca City, AZ",Population served:50,85616
Ashley Rose Mobile Home Park,"Scottdale, AZ",Population served:50,85616
Mcneal Water Company,"Mcneal, AZ",Population served:66,85617
Ntm Aviation,"Mcneal, AZ",Population served:47,85617
Naco Estates,"Sierra Vist, AZ",Population served:75,85620
Liberty Water Rio Rico,"Sierra Vista, AZ","Population served:16,378",85621
Valle Verde Water Company - East,"Tucson, AZ","Population served:1,950",85621
Kino Ranch 2,"Rio Rico, AZ",Population served:109,85621
Town & Country - Preston,"Nogales, AZ",Population served:430,85621
Mi Casa Rv Campground,"Nogales, AZ",Population served:153,85621
"Mammoth, Town of","Mammoth, AZ","Population served:1,472",85623
Red Rock Acres Homeowners Association,"Patagonia, AZ",Population served:37,85624
Clear Springs Utility Well 6,"Tucson, AZ",Population served:54,85625
Las Quintas Serenas Water Company,"Sahuarita, AZ","Population served:2,465",85629
Shiloh Water Company,"Sahuarita, AZ",Population served:309,85629
Sahuarita Village Water,"Sahuarita, AZ",Population served:120,85629
Los Arboles Mobile Home Park,"Tucson, AZ",Population served:300,85629
Sahuarita Heights Mobile Home Park,"Scottsdale, AZ",Population served:100,85629
St. David Domestic Water Improvement District,"Saint David, AZ","Population served:1,255",85630
Stratman Water Company,"Saint David, AZ",Population served:105,85630
Kokopelli Springs Resort,"St David, AZ",Population served:85,85630
Cloud Nine Water Company,"Tucson, AZ",Population served:211,85635
Sierra Vista Mobile Home Village,"Sierra Vista, AZ",Population served:400,85635
Sunrise Mobile Home Park,"Sierra Vista, AZ",Population served:33,85635
Casa Arroyo Association Inc.,"Sonoita, AZ",Population served:40,85637
"Tombstone, City of","Tombstone, AZ","Population served:1,674",85638
Avalon Gardens Water System,"Tubac, AZ",Population served:100,85640
Baca Float Water Company,"Tucson, AZ",Population served:900,85640
Saguaro Water Company,"Tucson, AZ","Population served:2,748",85641
Rincon Water Company,"Sahuarita, AZ",Population served:180,85641
Pantano Water Co-op,"Vail, AZ",Population served:106,85641
Dome Well Co-op,"Vail, AZ",Population served:28,85641
Mount Fagan Water Co-op,"Tucson, AZ",Population served:34,85641
Pocketknife Water Co-op,"Vail, AZ",Population served:89,85641
Rincon Mesa Landowners,"Vail, AZ",Population served:75,85641
Superstition Water Company,"Vail, AZ",Population served:60,85641
Kahlua Well Co-op,"Vail, AZ",Population served:90,85641
Garigons Gulch Water Co-op,"Vail, AZ",Population served:35,85641
Spanish Trail Water Company,"Tucson, AZ","Population served:1,200",85641
Winchester Water Company,"Glendale, AZ",Population served:480,85643
Lakewood Estates Water Company,"Tucson, AZ",Population served:807,85645
Pita Water Company,"Amado, AZ",Population served:54,85645
Desert Paradise Mobile Home Park LLC,"Tucson, AZ",Population served:90,85645
Mountain View Rv Ranch,"Tumacacori, AZ",Population served:145,85645
Epcor Water - Tubac,"Youngtown, AZ","Population served:1,565",85645
Aliso Springs Property Owner Association Inc.,"Tubac, AZ",Population served:56,85646
Southland Utilities - Golden Acres,"Tucson, AZ","Population served:1,797",85650
East Slope Water Company,"Tucson, AZ","Population served:1,987",85650
Marana Domestic Water Improvement District - Derringer,"Marana, AZ","Population served:1,385",85653
Marana Domestic Water Improvement District - Culver,"Marana, AZ",Population served:554,85653
Tucson Water Rancho Del Sol Lindo,"Tucson, AZ","Population served:2,862",85653
Anway Manville Water Company,"Tucson, AZ",Population served:729,85653
Rancho Tierra Blanca Property Owners Association,"Tucson, AZ",Population served:102,85653
Rillito Water Users Association,"Rillito, AZ",Population served:53,85653
Marana Municipal - Airline Lambert,"Tucson, AZ","Population served:2,443",85653
Lyn Lee Water Company,"Phoenix, AZ",Population served:90,85653
Marana Municipal-palo Verde,"Tucson, AZ",Population served:125,85653
Tucson Water Silverbell West,"Tucson, AZ",Population served:241,85653
Marana Correctional Facility,"Marana, AZ",Population served:625,85653
Avra Water Co-op Inc.,"Tucson, AZ","Population served:7,000",85653
Davis Ranch Land Owners,"Marana, AZ",Population served:40,85658
Marana Municipal - Marana,"Tucson, AZ","Population served:8,788",85658
Mesaland Water Company,"Tucson, AZ",Population served:300,85704
Samalayucca Improvement Association,"Tucson, AZ",Population served:150,85704
Mission Palms Apartments,"Tucson, AZ",Population served:212,85704
Park Place Apartments,"Tucson, AZ",Population served:730,85704
Casitas De Castilian,"Tucson, AZ",Population served:158,85704
Oracle North Homeowners Association,"Tucson, AZ",Population served:93,85704
Villa Capri Mobile Home Park,"Tucson, AZ",Population served:342,85705
Diamond Grove Mobile Home Estates,"Tucson, AZ",Population served:426,85705
Crescent Manor Mobile Home Park,"Farmington Hills, MI",Population served:200,85705
Desert Shores Rv Mobile Home Park,"Tucson, AZ",Population served:220,85705
Silver Cholla Mobile Home Park,"Tucson, AZ",Population served:168,85705
Bermuda Gardens Trailer Park,"Tucson, AZ",Population served:252,85705
North La Cholla Mobile Home Park,"Tucson, AZ",Population served:150,85705
Ray Water Company Inc.,"Tucson, AZ","Population served:4,500",85706
Town Country Mobile Home Park,"Tucson, AZ",Population served:960,85706
Ranchwood Mobile Park Community,"Tucson, AZ",Population served:200,85706
Colonial Mobile Home Park,"Tucson, AZ",Population served:150,85706
Emery Park Mobile Home Park,"Tucson, AZ",Population served:192,85706
Via Verde West Mobile Home Park,"Tucson, AZ",Population served:156,85706
Halcyon Acres Water Users Association 1,"Tucson, AZ",Population served:234,85710
Halcyon Acres 2,"Tucson, AZ",Population served:112,85710
Far Horizons East Mobile Home Park,"Tucson, AZ",Population served:530,85710
Catalina Village,"Tucson, AZ",Population served:107,85711
Far Horizons Mobile Home Park,"Tucson, AZ",Population served:250,85712
Crossroads Park Mobile Home Park,"Tucson, AZ",Population served:70,85712
Cammies Foothills Vista Mobile Home Community,"Tucson, AZ",Population served:80,85712
Sierra Court Trailer Park,"Tucson, AZ",Population served:96,85714
Metropolitan Domestic Water Improvement District - Hub,"Tucson, AZ","Population served:4,110",85715
Winterhaven Water Development,"Tucson, AZ",Population served:810,85716
Rio Vista Mobile Home Park,"Tucson, AZ",Population served:237,85716
Vista Del Norte Mobile Home Park,"Tucson, AZ","Population served:1,000",85719
Campbell Estates Mobile Home Park,"Tucson, AZ",Population served:450,85719
Rincon Country East Rv,"Tucson, AZ",Population served:912,85730
Thim Utility Company 2,"Tucson, AZ",Population served:415,85735
Thim Utility Company - Well 9,"Tucson, AZ",Population served:140,85735
Thim Utility Company - Rancho Vista,"Tucson, AZ",Population served:153,85735
Metropolitan Domestic Water Improvement District - Lazy B,"Tucson, AZ",Population served:77,85735
Thim Utility Company,"Tucson, AZ",Population served:200,85735
