Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Hopewell Water Association,Chloroform,0.643 ppb,0.4 ppb,
Hopewell Water Association,Dichloroacetic acid,0.333 ppb,0.2 ppb,
Hopewell Water Association,Fluoride,0.0835 ppm,,4 ppm
Hopewell Water Association,Monochloroacetic acid,0.667 ppb,53 ppb,
Hopewell Water Association,None,,,
Hurricane Creek Water Association,Haloacetic acids (HAA5)†,3.00 ppb,0.1 ppb,60 ppb
Hurricane Creek Water Association,Nitrate,0.653 ppm,0.14 ppm,10 ppm
Hurricane Creek Water Association,Nitrate and nitrite,0.653 ppm,0.14 ppm,10 ppm
Hurricane Creek Water Association,"Radium, combined (-226 &amp; -228)",2.04 pCi/L,0.05 pCi/L,5 pCi/L
Hurricane Creek Water Association,Barium,17.9 ppb,700 ppb,"2,000 ppb"
Hurricane Creek Water Association,Chromium (total),0.250 ppb,,100 ppb
Hurricane Creek Water Association,Monobromoacetic acid,0.667 ppb,25 ppb,
Hurricane Creek Water Association,Monochloroacetic acid,2.33 ppb,53 ppb,
Hurricane Creek Water Association,None,,,
Hurricane Hills W/a,Dibromoacetic acid,1.50 ppb,0.04 ppb,
Hurricane Hills W/a,Haloacetic acids (HAA5)†,6.00 ppb,0.1 ppb,60 ppb
Hurricane Hills W/a,Barium,33.5 ppb,700 ppb,"2,000 ppb"
Hurricane Hills W/a,Chromium (total),0.833 ppb,,100 ppb
Hurricane Hills W/a,Fluoride,0.0387 ppm,,4 ppm
Hurricane Hills W/a,Monobromoacetic acid,4.50 ppb,25 ppb,
Hurricane Hills W/a,Xylenes (total),0.803 ppb,"1,800 ppb","10,000 ppb"
Hurricane Hills W/a,None,,,
Lafayette Springs Water Association,Arsenic,0.650 ppb,0.004 ppb,10 ppb
Lafayette Springs Water Association,Bromoform,2.17 ppb,0.5 ppb,
Lafayette Springs Water Association,Total trihalomethanes (TTHMs)†,2.17 ppb,0.15 ppb,80 ppb
Lafayette Springs Water Association,Barium,130.9 ppb,700 ppb,"2,000 ppb"
Lafayette Springs Water Association,Chromium (total),1.43 ppb,,100 ppb
Lafayette Springs Water Association,Ethylbenzene,0.0513 ppb,300 ppb,700 ppb
Lafayette Springs Water Association,Fluoride,0.166 ppm,,4 ppm
Lafayette Springs Water Association,Xylenes (total),0.121 ppb,"1,800 ppb","10,000 ppb"
Lafayette Springs Water Association,None,,,
Punkin W/a #1,Bromodichloromethane,0.400 ppb,0.06 ppb,
Punkin W/a #1,Chloroform,0.893 ppb,0.4 ppb,
Punkin W/a #1,Total trihalomethanes (TTHMs)†,1.29 ppb,0.15 ppb,80 ppb
Punkin W/a #1,Barium,21.6 ppb,700 ppb,"2,000 ppb"
Punkin W/a #1,Chromium (total),1.65 ppb,,100 ppb
Punkin W/a #1,Fluoride,0.126 ppm,,4 ppm
Punkin W/a #1,Xylenes (total),0.708 ppb,"1,800 ppb","10,000 ppb"
Punkin W/a #1,None,,,
Punkin W/a #2-deer Run,Bromodichloromethane,4.37 ppb,0.06 ppb,
Punkin W/a #2-deer Run,Chloroform,17.8 ppb,0.4 ppb,
Punkin W/a #2-deer Run,Dibromochloromethane,0.655 ppb,0.1 ppb,
Punkin W/a #2-deer Run,Dichloroacetic acid,8.00 ppb,0.2 ppb,
Punkin W/a #2-deer Run,Haloacetic acids (HAA5)†,17.5 ppb,0.1 ppb,60 ppb
Punkin W/a #2-deer Run,Total trihalomethanes (TTHMs)†,22.9 ppb,0.15 ppb,80 ppb
Punkin W/a #2-deer Run,Trichloroacetic acid,8.50 ppb,0.1 ppb,
Punkin W/a #2-deer Run,Barium,10.7 ppb,700 ppb,"2,000 ppb"
Punkin W/a #2-deer Run,Chromium (total),1.10 ppb,,100 ppb
Punkin W/a #2-deer Run,Fluoride,0.116 ppm,,4 ppm
Punkin W/a #2-deer Run,Toluene,0.0281 ppb,150 ppb,"1,000 ppb"
Punkin W/a #2-deer Run,Xylenes (total),0.681 ppb,"1,800 ppb","10,000 ppb"
Punkin W/a #2-deer Run,None,,,
Sanders Water Association Inc.,Arsenic,0.325 ppb,0.004 ppb,10 ppb
Sanders Water Association Inc.,Dibromoacetic acid,0.250 ppb,0.04 ppb,
Sanders Water Association Inc.,Haloacetic acids (HAA5)†,5.50 ppb,0.1 ppb,60 ppb
Sanders Water Association Inc.,Total trihalomethanes (TTHMs)†,0.380 ppb,0.15 ppb,80 ppb
Sanders Water Association Inc.,Barium,10.8 ppb,700 ppb,"2,000 ppb"
Sanders Water Association Inc.,Chloroform,0.380 ppb,0.4 ppb,
Sanders Water Association Inc.,Chromium (total),1.75 ppb,,100 ppb
Sanders Water Association Inc.,Fluoride,1.43 ppm,,4 ppm
Sanders Water Association Inc.,Monochloroacetic acid,5.25 ppb,53 ppb,
Sanders Water Association Inc.,None,,,
Taylor Water Association,Nitrate,0.728 ppm,0.14 ppm,10 ppm
Taylor Water Association,Nitrate and nitrite,0.728 ppm,0.14 ppm,10 ppm
Taylor Water Association,Total trihalomethanes (TTHMs)†,0.740 ppb,0.15 ppb,80 ppb
Taylor Water Association,Barium,9.75 ppb,700 ppb,"2,000 ppb"
Taylor Water Association,Chloroform,0.740 ppb,0.4 ppb,
Taylor Water Association,None,,,
Town of Abbeville-water Department,Bromodichloromethane,1.000 ppb,0.06 ppb,
Town of Abbeville-water Department,Chloroform,4.29 ppb,0.4 ppb,
Town of Abbeville-water Department,Dichloroacetic acid,3.00 ppb,0.2 ppb,
Town of Abbeville-water Department,Haloacetic acids (HAA5)†,5.00 ppb,0.1 ppb,60 ppb
Town of Abbeville-water Department,Total trihalomethanes (TTHMs)†,5.00 ppb,0.15 ppb,80 ppb
Town of Abbeville-water Department,Trichloroacetic acid,2.00 ppb,0.1 ppb,
Town of Abbeville-water Department,Barium,6.30 ppb,700 ppb,"2,000 ppb"
Town of Abbeville-water Department,Chromium (total),1.25 ppb,,100 ppb
Town of Abbeville-water Department,Fluoride,0.128 ppm,,4 ppm
Town of Abbeville-water Department,Nitrate,0.148 ppm,0.14 ppm,10 ppm
Town of Abbeville-water Department,Nitrate and nitrite,0.148 ppm,0.14 ppm,10 ppm
Town of Abbeville-water Department,None,,,
Turner Springs Water Association,Bromodichloromethane,2.97 ppb,0.06 ppb,
Turner Springs Water Association,Chloroform,11.5 ppb,0.4 ppb,
Turner Springs Water Association,Dichloroacetic acid,6.00 ppb,0.2 ppb,
Turner Springs Water Association,Haloacetic acids (HAA5)†,15.5 ppb,0.1 ppb,60 ppb
Turner Springs Water Association,Total trihalomethanes (TTHMs)†,14.4 ppb,0.15 ppb,80 ppb
Turner Springs Water Association,Trichloroacetic acid,6.50 ppb,0.1 ppb,
Turner Springs Water Association,Barium*,6.30 ppb,700 ppb,"2,000 ppb"
Turner Springs Water Association,Chromium (total)*,1.25 ppb,,100 ppb
Turner Springs Water Association,Fluoride*,0.128 ppm,,4 ppm
Turner Springs Water Association,Monochloroacetic acid,3.00 ppb,53 ppb,
Turner Springs Water Association,Nitrate*,0.148 ppm,0.14 ppm,10 ppm
Turner Springs Water Association,Nitrate and nitrite*,0.148 ppm,0.14 ppm,10 ppm
Turner Springs Water Association,None,,,
Twelve Oaks Water System,Nitrate,0.553 ppm,0.14 ppm,10 ppm
Twelve Oaks Water System,Nitrate and nitrite,0.555 ppm,0.14 ppm,10 ppm
Twelve Oaks Water System,"Radium, combined (-226 &amp; -228)",0.85 pCi/L,0.05 pCi/L,5 pCi/L
Twelve Oaks Water System,Barium,21.4 ppb,700 ppb,"2,000 ppb"
Twelve Oaks Water System,Chromium (total),0.800 ppb,,100 ppb
Twelve Oaks Water System,None,,,
University of Mississippi,Chromium (hexavalent),2.00 ppb,0.02 ppb,
University of Mississippi,Haloacetic acids (HAA5)†,1.10 ppb,0.1 ppb,60 ppb
University of Mississippi,Haloacetic acids (HAA9)†,1.16 ppb,0.06 ppb,
University of Mississippi,Nitrate,0.631 ppm,0.14 ppm,10 ppm
University of Mississippi,Nitrate and nitrite,0.631 ppm,0.14 ppm,10 ppm
University of Mississippi,"Radium, combined (-226 &amp; -228)",0.72 pCi/L,0.05 pCi/L,5 pCi/L
University of Mississippi,"1,4-Dioxane",0.199 ppb,0.35 ppb,
University of Mississippi,Barium,25.8 ppb,700 ppb,"2,000 ppb"
University of Mississippi,Bromodichloromethane,0.0476 ppb,0.06 ppb,
University of Mississippi,Chlorate,293.4 ppb,210 ppb,
University of Mississippi,Chromium (total),1.44 ppb,,100 ppb
University of Mississippi,Dibromochloromethane,0.179 ppb,0.1 ppb,
University of Mississippi,Fluoride,0.473 ppm,,4 ppm
University of Mississippi,Manganese,1.53 ppb,100 ppb,
University of Mississippi,Monobromoacetic acid,0.0500 ppb,25 ppb,
University of Mississippi,Monochloroacetic acid,1.05 ppb,53 ppb,
University of Mississippi,Strontium,0.0799 ppb,"1,500 ppb",
University of Mississippi,Total trihalomethanes (TTHMs)†,0.211 ppb,0.15 ppb,80 ppb
University of Mississippi,None,,,
Westover Water Association,Haloacetic acids (HAA5)†,1.33 ppb,0.1 ppb,60 ppb
Westover Water Association,Nitrate,1.43 ppm,0.14 ppm,10 ppm
Westover Water Association,Nitrate and nitrite,1.43 ppm,0.14 ppm,10 ppm
Westover Water Association,Barium,34.6 ppb,700 ppb,"2,000 ppb"
Westover Water Association,Chromium (total),0.525 ppb,,100 ppb
Westover Water Association,Fluoride,0.255 ppm,,4 ppm
Westover Water Association,Monochloroacetic acid,1.33 ppb,53 ppb,
Westover Water Association,None,,,
Yocona Water Association Inc.,Bromodichloromethane,1.73 ppb,0.06 ppb,
Yocona Water Association Inc.,Chloroform,2.65 ppb,0.4 ppb,
Yocona Water Association Inc.,Dibromochloromethane,0.783 ppb,0.1 ppb,
Yocona Water Association Inc.,Dichloroacetic acid,1.67 ppb,0.2 ppb,
Yocona Water Association Inc.,Haloacetic acids (HAA5)†,2.67 ppb,0.1 ppb,60 ppb
Yocona Water Association Inc.,Total trihalomethanes (TTHMs)†,5.16 ppb,0.15 ppb,80 ppb
Yocona Water Association Inc.,Trichloroacetic acid,1.000 ppb,0.1 ppb,
Yocona Water Association Inc.,Barium,29.6 ppb,700 ppb,"2,000 ppb"
Yocona Water Association Inc.,Chromium (total),0.700 ppb,,100 ppb
Yocona Water Association Inc.,None,,,
Blackjack Development Association,Arsenic,0.550 ppb,0.004 ppb,10 ppb
Blackjack Development Association,Chloroform,1.22 ppb,0.4 ppb,
Blackjack Development Association,Dichloroacetic acid,0.667 ppb,0.2 ppb,
Blackjack Development Association,Haloacetic acids (HAA5)†,7.67 ppb,0.1 ppb,60 ppb
Blackjack Development Association,Total trihalomethanes (TTHMs)†,1.22 ppb,0.15 ppb,80 ppb
Blackjack Development Association,Barium,42.7 ppb,700 ppb,"2,000 ppb"
Blackjack Development Association,Chromium (total),3.60 ppb,,100 ppb
Blackjack Development Association,Fluoride,0.142 ppm,,4 ppm
Blackjack Development Association,Monobromoacetic acid,1.67 ppb,25 ppb,
Blackjack Development Association,Monochloroacetic acid,5.33 ppb,53 ppb,
Blackjack Development Association,None,,,
Chalybeate Water Association,Chloroform,1.32 ppb,0.4 ppb,
Chalybeate Water Association,Dibromochloromethane,0.695 ppb,0.1 ppb,
Chalybeate Water Association,Dichloroacetic acid,2.00 ppb,0.2 ppb,
Chalybeate Water Association,Haloacetic acids (HAA5)†,2.00 ppb,0.1 ppb,60 ppb
Chalybeate Water Association,Total trihalomethanes (TTHMs)†,2.77 ppb,0.15 ppb,80 ppb
Chalybeate Water Association,Barium,174.4 ppb,700 ppb,"2,000 ppb"
Chalybeate Water Association,Bromoform,0.760 ppb,0.5 ppb,
Chalybeate Water Association,Chromium (total),0.650 ppb,,100 ppb
Chalybeate Water Association,Fluoride,0.0728 ppm,,4 ppm
Chalybeate Water Association,None,,,
City of Ripley,Bromodichloromethane,0.453 ppb,0.06 ppb,
City of Ripley,Chloroform,1.27 ppb,0.4 ppb,
City of Ripley,Dibromochloromethane,0.417 ppb,0.1 ppb,
City of Ripley,Dichloroacetic acid,0.667 ppb,0.2 ppb,
City of Ripley,Haloacetic acids (HAA5)†,4.00 ppb,0.1 ppb,60 ppb
City of Ripley,Total trihalomethanes (TTHMs)†,2.14 ppb,0.15 ppb,80 ppb
City of Ripley,Barium,191.2 ppb,700 ppb,"2,000 ppb"
City of Ripley,Chromium (total),0.393 ppb,,100 ppb
City of Ripley,Fluoride,0.0589 ppm,,4 ppm
City of Ripley,Mercury (inorganic),0.0222 ppb,1.2 ppb,2 ppb
City of Ripley,Monochloroacetic acid,3.33 ppb,53 ppb,
City of Ripley,None,,,
Dumas-pine Grove Water Association,Chloroform,2.12 ppb,0.4 ppb,
Dumas-pine Grove Water Association,Dichloroacetic acid,1.000 ppb,0.2 ppb,
Dumas-pine Grove Water Association,Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
Dumas-pine Grove Water Association,Total trihalomethanes (TTHMs)†,2.12 ppb,0.15 ppb,80 ppb
Dumas-pine Grove Water Association,Barium,103.2 ppb,700 ppb,"2,000 ppb"
Dumas-pine Grove Water Association,Chromium (total),0.433 ppb,,100 ppb
Dumas-pine Grove Water Association,Fluoride,0.149 ppm,,4 ppm
Dumas-pine Grove Water Association,None,,,
Lake Mohawk Estates Water System,Chloroform*,2.12 ppb,0.4 ppb,
Lake Mohawk Estates Water System,Dibromochloromethane,0.695 ppb,0.1 ppb,
Lake Mohawk Estates Water System,Dichloroacetic acid*,1.000 ppb,0.2 ppb,
Lake Mohawk Estates Water System,Haloacetic acids (HAA5)†,0.667 ppb,0.1 ppb,60 ppb
Lake Mohawk Estates Water System,Total trihalomethanes (TTHMs)†,0.695 ppb,0.15 ppb,80 ppb
Lake Mohawk Estates Water System,Barium*,103.2 ppb,700 ppb,"2,000 ppb"
Lake Mohawk Estates Water System,Chromium (total)*,0.433 ppb,,100 ppb
Lake Mohawk Estates Water System,Fluoride*,0.149 ppm,,4 ppm
Lake Mohawk Estates Water System,Monochloroacetic acid,0.667 ppb,53 ppb,
Lake Mohawk Estates Water System,None,,,
Ft Mitchell Water System,Haloacetic acids (HAA5)†,0.458 ppb,0.1 ppb,60 ppb
Ft Mitchell Water System,Haloacetic acids (HAA9)†,2.39 ppb,0.06 ppb,
Ft Mitchell Water System,"Radium, combined (-226 &amp; -228)",0.71 pCi/L,0.05 pCi/L,5 pCi/L
Ft Mitchell Water System,Total trihalomethanes (TTHMs)†,1.39 ppb,0.15 ppb,80 ppb
Ft Mitchell Water System,Aluminum,5.33 ppb,600 ppb,
Ft Mitchell Water System,Barium,22.3 ppb,700 ppb,"2,000 ppb"
Ft Mitchell Water System,Bromodichloromethane,0.0204 ppb,0.06 ppb,
Ft Mitchell Water System,Bromoform,0.0615 ppb,0.5 ppb,
Ft Mitchell Water System,Dibromochloromethane,0.0474 ppb,0.1 ppb,
Ft Mitchell Water System,Fluoride,0.132 ppm,,4 ppm
Ft Mitchell Water System,Germanium,0.238 ppb,,
Ft Mitchell Water System,Manganese,6.09 ppb,100 ppb,
Ft Mitchell Water System,Nitrate,0.0236 ppm,0.14 ppm,10 ppm
Ft Mitchell Water System,None,,,
North Benton W/a,Arsenic,12.7 ppb,0.004 ppb,10 ppb
North Benton W/a,Barium,40.7 ppb,700 ppb,"2,000 ppb"
North Benton W/a,Chromium (total),3.12 ppb,,100 ppb
North Benton W/a,Fluoride,0.112 ppm,,4 ppm
North Benton W/a,None,,,
Shady Grove Water Association,Bromodichloromethane,3.13 ppb,0.06 ppb,
Shady Grove Water Association,Chloroform,6.58 ppb,0.4 ppb,
Shady Grove Water Association,Dibromochloromethane,1.22 ppb,0.1 ppb,
Shady Grove Water Association,Dichloroacetic acid,4.00 ppb,0.2 ppb,
Shady Grove Water Association,Haloacetic acids (HAA5)†,5.00 ppb,0.1 ppb,60 ppb
Shady Grove Water Association,Total trihalomethanes (TTHMs)†,10.9 ppb,0.15 ppb,80 ppb
Shady Grove Water Association,Trichloroacetic acid,1.000 ppb,0.1 ppb,
Shady Grove Water Association,Barium,169.9 ppb,700 ppb,"2,000 ppb"
Shady Grove Water Association,Chromium (total),0.825 ppb,,100 ppb
Shady Grove Water Association,Fluoride,0.191 ppm,,4 ppm
Shady Grove Water Association,Manganese,41.0 ppb,100 ppb,
Shady Grove Water Association,None,,,
Spout Springs W/a,Barium,176.1 ppb,700 ppb,"2,000 ppb"
Spout Springs W/a,Chromium (total),0.800 ppb,,100 ppb
Spout Springs W/a,Fluoride,0.0998 ppm,,4 ppm
Spout Springs W/a,None,,,
Three Forks Water Association,Chloroform,1.31 ppb,0.4 ppb,
Three Forks Water Association,Total trihalomethanes (TTHMs)†,1.31 ppb,0.15 ppb,80 ppb
Three Forks Water Association,Barium,171.7 ppb,700 ppb,"2,000 ppb"
Three Forks Water Association,Chromium (total),0.275 ppb,,100 ppb
Three Forks Water Association,Fluoride,0.116 ppm,,4 ppm
Three Forks Water Association,None,,,
Tiplersville Water Association,Barium,203.7 ppb,700 ppb,"2,000 ppb"
Tiplersville Water Association,Chromium (total),1.28 ppb,,100 ppb
Tiplersville Water Association,Fluoride,0.0930 ppm,,4 ppm
Tiplersville Water Association,None,,,
Town of Ashland,Arsenic,1.40 ppb,0.004 ppb,10 ppb
Town of Ashland,Haloacetic acids (HAA5)†,5.33 ppb,0.1 ppb,60 ppb
Town of Ashland,Barium,56.6 ppb,700 ppb,"2,000 ppb"
Town of Ashland,Chromium (total),2.65 ppb,,100 ppb
Town of Ashland,Fluoride,0.632 ppm,,4 ppm
Town of Ashland,Monochloroacetic acid,5.33 ppb,53 ppb,
Town of Ashland,None,,,
Town of Blue Mountain,Barium,109.4 ppb,700 ppb,"2,000 ppb"
Town of Blue Mountain,Chromium (total),0.500 ppb,,100 ppb
Town of Blue Mountain,Fluoride,0.204 ppm,,4 ppm
Town of Blue Mountain,Manganese,29.0 ppb,100 ppb,
Town of Blue Mountain,None,,,
Town of Falkner,Chloroform,2.70 ppb,0.4 ppb,
Town of Falkner,Dichloroacetic acid,5.00 ppb,0.2 ppb,
Town of Falkner,Haloacetic acids (HAA5)†,5.00 ppb,0.1 ppb,60 ppb
Town of Falkner,Total trihalomethanes (TTHMs)†,2.70 ppb,0.15 ppb,80 ppb
Town of Falkner,Barium,161.9 ppb,700 ppb,"2,000 ppb"
Town of Falkner,Chromium (total),3.13 ppb,,100 ppb
Town of Falkner,Fluoride,0.0635 ppm,,4 ppm
Town of Falkner,None,,,
Town of Hickory,Chloroform,1.81 ppb,0.4 ppb,
Town of Hickory,Total trihalomethanes (TTHMs)†,1.81 ppb,0.15 ppb,80 ppb
Town of Hickory,Barium,9.20 ppb,700 ppb,"2,000 ppb"
Town of Hickory,Chromium (total),0.675 ppb,,100 ppb
Town of Hickory,Fluoride,0.0258 ppm,,4 ppm
Town of Hickory,None,,,
Town of Potts Camp,Chloroform,1.17 ppb,0.4 ppb,
Town of Potts Camp,Dichloroacetic acid,0.500 ppb,0.2 ppb,
Town of Potts Camp,Haloacetic acids (HAA5)†,9.00 ppb,0.1 ppb,60 ppb
Town of Potts Camp,Total trihalomethanes (TTHMs)†,1.17 ppb,0.15 ppb,80 ppb
Town of Potts Camp,Barium,10.7 ppb,700 ppb,"2,000 ppb"
Town of Potts Camp,Fluoride,0.297 ppm,,4 ppm
Town of Potts Camp,Monobromoacetic acid,0.500 ppb,25 ppb,
Town of Potts Camp,Monochloroacetic acid,8.00 ppb,53 ppb,
Town of Potts Camp,None,,,
Town of Snow Lake Shores,Arsenic,2.25 ppb,0.004 ppb,10 ppb
Town of Snow Lake Shores,Chloroform,1.57 ppb,0.4 ppb,
Town of Snow Lake Shores,Dichloroacetic acid,1.000 ppb,0.2 ppb,
Town of Snow Lake Shores,Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
Town of Snow Lake Shores,Total trihalomethanes (TTHMs)†,1.57 ppb,0.15 ppb,80 ppb
Town of Snow Lake Shores,Barium,52.5 ppb,700 ppb,"2,000 ppb"
Town of Snow Lake Shores,Chromium (total),4.00 ppb,,100 ppb
Town of Snow Lake Shores,Fluoride,0.127 ppm,,4 ppm
Town of Snow Lake Shores,None,,,
Town of Walnut,Barium,174.8 ppb,700 ppb,"2,000 ppb"
Town of Walnut,Chromium (total),0.425 ppb,,100 ppb
Town of Walnut,Fluoride,0.116 ppm,,4 ppm
Town of Walnut,None,,,
City of Batesville,Bromodichloromethane,10.1 ppb,0.06 ppb,
City of Batesville,Bromoform,1.12 ppb,0.5 ppb,
City of Batesville,Chloroform,10.3 ppb,0.4 ppb,
City of Batesville,Dibromoacetic acid,2.50 ppb,0.04 ppb,
City of Batesville,Dibromochloromethane,8.79 ppb,0.1 ppb,
City of Batesville,Dichloroacetic acid,5.50 ppb,0.2 ppb,
City of Batesville,Haloacetic acids (HAA5)†,13.0 ppb,0.1 ppb,60 ppb
City of Batesville,"Radium, combined (-226 &amp; -228)",0.40 pCi/L,0.05 pCi/L,5 pCi/L
City of Batesville,Total trihalomethanes (TTHMs)†,30.4 ppb,0.15 ppb,80 ppb
City of Batesville,Trichloroacetic acid,5.00 ppb,0.1 ppb,
City of Batesville,Barium,7.39 ppb,700 ppb,"2,000 ppb"
City of Batesville,Chromium (total),2.63 ppb,,100 ppb
City of Batesville,Fluoride,0.171 ppm,,4 ppm
City of Batesville,None,,,
City of Sardis,Bromodichloromethane,6.63 ppb,0.06 ppb,
City of Sardis,Bromoform,1.70 ppb,0.5 ppb,
City of Sardis,Chloroform,7.39 ppb,0.4 ppb,
City of Sardis,Dibromoacetic acid,2.00 ppb,0.04 ppb,
City of Sardis,Dibromochloromethane,7.00 ppb,0.1 ppb,
City of Sardis,Dichloroacetic acid,4.50 ppb,0.2 ppb,
City of Sardis,Haloacetic acids (HAA5)†,12.0 ppb,0.1 ppb,60 ppb
City of Sardis,Total trihalomethanes (TTHMs)†,22.8 ppb,0.15 ppb,80 ppb
City of Sardis,Trichloroacetic acid,3.50 ppb,0.1 ppb,
