Utility name,City,People served,Zip
Logan Co. Psd-rum Creek,Logan,Population served: 923,24827
Logan County Psd - MUD Fork,Logan,Population served: 330,24827
Logan County PSD - Northern Regional,Logan,"Population served: 16,949",24827
Logan Water Board City Of,Logan,"Population served: 3,862",24827
Buffalo Creek Psd - Man,Oceana,Population served: 935,24827
Ridgeview Estates Prop Assoc,Logan,Population served: 74,24827
West Logan Water Co.,Logan,Population served: 915,24827
Mingo County Psd - Naugatuck,"Naugatuck, WV","Population served:6,324",24846
Williamson Utility Board,"Williamson, WV","Population served:3,249",24846
Matewan Water Works,"Matewan, WV","Population served:2,237",24846
Mingo County Psd Pigeon Creek,"Naugatuck, WV","Population served:2,035",24846
Delbarton Town Of,Delbarton,Population served: 286,24851
Gilbert Water Works,Gilbert,"Population served: 1,629",24851
Justice Psd,Naugatuck,Population served: 530,24851
Kermit Water Works,Kermit,"Population served: 1,330",24851
Mingo Co. Psd-ragland District,Naugatuck,Population served: 787,24851
Mingo County Psd - Delorme,Naugatuck,Population served: 60,24851
Mingo County Psd - Lick Creek,Naugatuck,Population served: 498,24851
Mingo County Psd - Marrowbone,Naugatuck,Population served: 241,24851
Mingo County Psd Chattaroy,Naugatuck,Population served: 224,24851
Alderson Water,Alderson,"Population served: 2,458",24901
Davis Stuart Inc.,Lewisburg,Population served: 100,24901
Greenbrier County Psd 2,Meadow Bridge,"Population served: 1,164",24901
Greenbrier Hotel Corporation,White Sulphur Springs,"Population served: 3,280",24901
Lewisburg,Lewisburg,"Population served: 10,057",24901
Rainelle Water Department,Rainelle,"Population served: 1,381",24901
Rainelle Water Treatment Plant 2,Rainelle,Population served: 290,24901
Ronceverte Water,Ronceverte,"Population served: 2,100",24901
Rupert Water,Rupert,"Population served: 1,170",24901
White Sulphur Springs Water,White Sulphur Springs,"Population served: 3,845",24901
Big Bend Psd,Talcott,"Population served: 1,338",24910
Gap Mills Psd,Gap Mills,Population served: 392,24910
Pickaway Trailer Park,Sinks Grove,Population served: 54,24910
Red Sulphur Psd,Peterstown,"Population served: 5,352",24910
Union Town Of,Union,Population served: 758,24910
Wvawc Bluestone Plant,Weston,"Population served: 26,874",24910
Cass Scenic Railroad,Cass,Population served: 555,24915
Pocahontas Co. Psd - Cheat Mountain Water,Durbin,"Population served: 1,867",24915
Denmar Correctional Center,Hillsboro,Population served: 346,24915
Hillsboro Town Of,Hillsboro,Population served: 262,24915
Marlinton Town Of,Marlinton,"Population served: 1,408",24915
Pocahontas County Psd,Durbin,Population served: 515,24915
Armstrong Psd,Kimberly,"Population served: 2,208",25002
Bellwood Community Facil Imp,Rainelle,Population served: 113,25002
Danese Psd,Danese,"Population served: 2,210",25002
Gauley River Psd,Cannelton,"Population served: 4,168",25002
Kanawha Falls Psd,Gauley Bridge,"Population served: 2,273",25002
Meadow Bridge Town Of,Meadow Bridge,Population served: 551,25002
Mount Hope Water,Mt. Hope,"Population served: 1,431",25002
Page Kincaid Psd,Kimberly,"Population served: 1,590",25002
Pax Water Company,Pax,Population served: 762,25002
WVAWC - New River Regional Water Treatment Plant,Weston,"Population served: 24,295",25002
Wvawc Montgomery Heights District,Weston,Population served: 92,25002
Branchland Midkiff Psd,Branchland,"Population served: 3,278",25003
"Cedar Grove, Community Of",Cedar Grove,Population served: 960,25003
East Bank Water Department,East Bank,Population served: 912,25003
Lincoln Psd,Alum Creek,"Population served: 3,772",25003
Lincoln Psd - Route 3,Alum Creek,"Population served: 2,087",25003
Reamer Hill Water Assoc,Clendenin,Population served: 64,25003
St Albans Water,Saint Albans,"Population served: 13,619",25003
"West Hamlin, City Of",West Hamlin,"Population served: 2,285",25003
West Virginia American Water Company - Kanawha Valley District,Charleston,"Population served: 200,679",25003
Clover Psd,Spencer,Population served: 926,25005
Reedy Water Service Town Of,Reedy,Population served: 356,25005
Spencer Water Department,Spencer,"Population served: 4,521",25005
Walton Psd,Walton,"Population served: 2,012",25005
Beckley Water Company,Beckley,"Population served: 49,058",25007
Cool Ridge Flat Top Psd,Cool Ridge,"Population served: 4,151",25007
Lester Municipal Water Works,Lester,Population served: 750,25007
Raleigh County Mem Airport,Sophia,"Population served: 4,656",25007
Raleigh County Psd Arnett,Sophia,"Population served: 7,180",25007
Raleigh County Psd Clear Creek,Sophia,"Population served: 1,407",25007
Raleigh County Psd Coal City,Sophia,"Population served: 2,905",25007
Raleigh County Psd Fitzpatrick,Sophia,Population served: 201,25007
Raleigh County Psd Odd,Sophia,Population served: 675,25007
Raleigh County Psd Pluto Bragg,Sophia,Population served: 374,25007
Raleigh County Psd Slab Fork,Sophia,Population served: 789,25007
Rhodell Water Works,Sophia,Population served: 238,25007
Wvawc Glade Springs District,Weston,"Population served: 1,340",25007
Prenter Water Company,Seth,Population served: 60,25009
Hurricane City Of,West Hamlin,"Population served: 8,248",25011
South Putnam PSD,Scott Depot,"Population served: 21,719",25011
Wvawc 5 and 20 Mile Road District,Weston,Population served: 78,25011
Clay Co. P S D - Ivydale,Clay,Population served: 680,25019
Clay Co. P S D-triplett Ridge,Clay,Population served: 103,25019
Clay Co. Psd-hartland,Clay,Population served: 798,25019
Clay Water Department,Clay,"Population served: 1,084",25019
Clay-roane Psd (procious District),Procious,"Population served: 1,953",25019
Birch River Psd,Dille,"Population served: 1,103",25043
Craigsville Psd,Craigsville,"Population served: 4,591",25043
Fenwick Mountain Psd,Fenwick,Population served: 554,25043
Nettie Leivasy Psd,Nettie,"Population served: 3,239",25043
Richwood Water Department,Richwood,"Population served: 2,389",25043
Summersville Municipal Water,Summersville,"Population served: 5,574",25043
Wilderness Psd,Mount Nebo,"Population served: 4,475",25043
Burnsville Public Utility,Burnsville,"Population served: 1,128",25063
Flatwoods Canoe Run Psd,Heaters,"Population served: 3,775",25063
Flatwoods Canoe Run Psd Purchaser,Sutton,Population served: 336,25063
Sugar Creek Psd,Frametown,"Population served: 1,396",25063
Wvaw- Gassaway,Weston,"Population served: 2,049",25063
Gallipolis Ferry,Gallipolis Ferry,Population served: 995,25082
Hartford Town Of,Hartford,Population served: 720,25082
J-2-y-35 Water,Pt. Pleasant,"Population served: 1,250",25082
Mason Co. Psd-crab Creek,Pt. Pleasant,"Population served: 5,909",25082
Mason Co. Psd-foglesong District,Pt. Pleasant,Population served: 89,25082
Mason Co. Psd-lakin District,Pt. Pleasant,"Population served: 3,232",25082
Mason Co. Psd-letart,Pt. Pleasant,"Population served: 3,401",25082
Mason County Psd-camp Conley,Pt. Pleasant,Population served: 458,25082
Mason Water Department,Mason,"Population served: 1,651",25082
New Haven Water Department,New Haven,"Population served: 1,920",25082
Point Pleasant Water Works,Pt. Pleasant,"Population served: 5,290",25082
Cottageville Psd,Cottageville,"Population served: 3,072",25124
Northern Jackson County Psd,Sandyville,"Population served: 2,543",25124
Ravenswood Municipal Water Works,Ravenswood,"Population served: 4,245",25124
Ripley City Of,Ripley,"Population served: 5,255",25124
Southern Jackson County P S D,Kenna,"Population served: 5,701",25124
Southern Jackson County Psd Route 33,Kenna,Population served: 154,25124
Grantsville Municipal,Grantsville,Population served: 571,25141
Mount Zion P S D,Grantsville,"Population served: 1,392",25141
Pleasant Hill P S D Rt 16 District,Five Forks,"Population served: 1,573",25141
Elizabeth Water Department,Elizabeth,"Population served: 2,072",25252
Gilmer Co. Psd,Glenville,Population served: 812,25267
Gilmer Co. Psd - Route 33/119,Glenville,Population served: 739,25267
Gilmer County Psd - Federal Prison,Glenville,"Population served: 2,400",25267
Gilmer County Psd - Normantown Stumptown,Glenville,Population served: 518,25267
Gilmer County Psd - Route 5 West,Glenville,Population served: 149,25267
Glenville Utility,Rosedale,"Population served: 2,228",25267
Berkeley Co. Pswd-glenwood Forest,Martinsburg,"Population served: 1,102",25401
Berkeley County PSD - Bunker Hill,Martinsburg,"Population served: 31,185",25401
Berkeley County PSD/Opequon,Martinsburg,"Population served: 27,335",25401
Chestnut Ridge Water System,Martinsburg,Population served: 105,25401
City of Martinsburg,Martinsburg,"Population served: 15,652",25401
G and E Mobile Home Park,Winchester,Population served: 235,25401
Judy Lynn Mobile Home Park,Martinsburg,Population served: 53,25401
Berkeley Estates,Baltimore,Population served: 109,25401
Rocky Glen Manufactured Housing Communit,Martinsburg,Population served: 861,25401
Va Medical Center,Martinsburg,"Population served: 2,175",25401
Valley Water and Sewer-deerwood,Kearneysville,Population served: 219,25401
"Woods Hoa, The",Martinsburg,"Population served: 1,550",25401
Woods Home Owners Association 2,Martinsburg,"Population served: 1,723",25401
Apple Orchard Acres,Kearneysville,Population served: 91,25411
Berkeley Springs Center - Lower,Berkeley Springs,Population served: 140,25411
Berkeley Springs Center - Upper,Berkeley Springs,Population served: 140,25411
Berkeley Springs City Of,Berkeley Springs,"Population served: 3,526",25411
Morgan Village Mobile Home Park,Martinsburg,Population served: 98,25411
Paw Paw Water Works,Paw Paw,Population served: 488,25411
Sky Line Village Mobile Home Park,Martinsburg,Population served: 120,25411
"Tri Lake Holdings, Inc.",Martinsburg,Population served: 139,25411
Waughs Community Home Park,Berkeley Springs,Population served: 72,25411
Cave Quarter Utility,Charles Town,Population served: 126,25414
Charles Town Utilities,Kearneysville,"Population served: 14,488",25414
Corporation Of Harpers Ferry,Harpers Ferry,"Population served: 2,122",25414
Corporation Of Shepherdstown,Shepherdstown,"Population served: 4,300",25414
Deerfield Village Subdivision,Kearneysville,Population served: 118,25414
Charles Town Utl-cavaland Subdivision,Kearneysville,Population served: 107,25414
Charles Town Utl-glen Haven Utilities,Kearneysville,Population served: 195,25414
Leights Mobile Home Park,Kearneysville,Population served: 78,25414
Potomac Farms Water Co.,Harpers Ferry,Population served: 65,25414
Russells Mobile Home Park,Kearneysville,Population served: 75,25414
Shenandoah Mini Homes,Kearneysville,Population served: 61,25414
The Mountain Water System,Kearneysville,"Population served: 1,021",25414
Walnut Grove Utilities,Kearneysville,"Population served: 6,797",25414
Central Hampshire Psd,Green Springs,"Population served: 2,123",25422
Central Hampshire Psd - Rt 28,Augusta,Population served: 388,25422
Central Hampshire Psd Green Spring,Green Springs,"Population served: 1,046",25422
Global Capital Of World Peace,Romney,Population served: 80,25422
Romney Water Department,Romney,"Population served: 1,825",25422
Town Of Capon Bridge Inc.,Capon Bridge,Population served: 700,25422
Ceredo Water Works,Ceredo,"Population served: 1,480",25504
Crum Psd,Crum,"Population served: 3,092",25504
Fort Gay Water Works,Fort Gay,"Population served: 2,287",25504
Kenova Municipal Water,Kenova,"Population served: 9,134",25504
Lavalette Psd,Huntington,"Population served: 6,725",25504
Lavalette Psd - Eastern District,Huntington,"Population served: 1,163",25504
Lavalette Psd-route 52 North District,Huntington,Population served: 965,25504
Milton Water,Milton,"Population served: 4,883",25504
Wayne Water Town Of,Wayne,"Population served: 5,265",25504
West Virgina American Water Company - Huntington District,Ashland,"Population served: 97,242",25504
Beech Bottom Water Department,Beech Bottom,Population served: 610,26003
Benwood Water Department,Benwood,"Population served: 1,510",26003
Bethlehem,Bethlehem,"Population served: 2,667",26003
Brooke County Psd,Wellsburg,Population served: 240,26003
Cameron Water,Cameron,"Population served: 1,052",26003
City of Wheeling,Wheeling,"Population served: 29,899",26003
Follansbee Hooverson Heights,Follansbee,"Population served: 4,970",26003
Follansbee Municipal,Follansbee,"Population served: 2,628",26003
Glen Dale Water Works,Glendale,"Population served: 2,495",26003
Hammond Psd,Wellsburg,"Population served: 2,186",26003
Iskcon - New Vrindaban,Moundsville,Population served: 184,26003
Marshall County Psd 1,Wheeling,"Population served: 3,463",26003
Marshall County Psd 2,Moundsville,"Population served: 1,601",26003
Marshall County Psd 3,Moundsville,"Population served: 2,694",26003
Marshall County Psd 4,Moundsville,"Population served: 4,063",26003
Mcmechen Municipal Water,Proctor,"Population served: 2,212",26003
Moundsville,Moundsville,"Population served: 11,999",26003
Ohio County Psd,Triadelphia,"Population served: 8,838",26003
Triadelphia Water Department,Triadelphia,"Population served: 1,215",26003
Valley Grove Water Department,Valley Grove,Population served: 686,26003
Washington Pike Psd,Wellsburg,"Population served: 3,571",26003
Weirton Area Water Board,Weirton,"Population served: 22,694",26003
"Wellsburg, City Of",Wellsburg,"Population served: 3,468",26003
Beaver Falls Municipal Authority,"Beaver Falls, PA","Population served:50,000",26034
Ambridge Water Authority,"Ambridge, PA","Population served:19,500",26034
Mun Water Authority of Aliquippa,"Aliquippa, PA","Population served:14,250",26034
Creswell Heights Jt Authority,"South Heights, PA","Population served:15,000",26034
Center Twp Water Authority,"Aliquippa, PA","Population served:19,000",26034
Chester Water Department,Chester,"Population served: 3,119",26047
Grant Psd,Chester,"Population served: 2,086",26047
"New Cumberland, City Of",New Cumberland,"Population served: 1,326",26047
Oakland Psd,Weirton,"Population served: 1,846",26047
Oakland Psd Golden Key Acres,Chester,Population served: 506,26047
Tomlinson Psd,Chester,"Population served: 2,012",26047
Grandview - Doolin Psd,Proctor,"Population served: 1,942",26055
Hundred Littleton Psd,Hundred,Population served: 638,26055
New Martinsville,New Martinsville,"Population served: 5,272",26055
"Paden City, City Of",Paden City,"Population served: 2,985",26055
Pine Grove Water,Pine Grove,Population served: 593,26055
Wetzel Co. Psd 1,Reader,"Population served: 1,378",26055
Central Boaz Psd,Clifton,"Population served: 1,418",26101
City of Vienna,Vienna,"Population served: 12,507",26101
Claywood Park Psd,Mineral Wells,"Population served: 8,141",26101
Lubeck Psd,Bellville,"Population served: 10,377",26101
Mineral Wells Psd,Mineral Wells,"Population served: 5,674",26101
Parkersburg Water Department,Palestine,"Population served: 34,251",26101
Union Williams P S D,Waverly,"Population served: 7,252",26101
Williamstown Water Department,Williamstown,"Population served: 3,363",26101
"Belmont, City Of",Belmont,"Population served: 1,048",26134
Pleasants Co. Psd,St. Mary's,"Population served: 2,357",26134
Saint Marys,St. Marys,"Population served: 2,711",26134
Cairo Water Department,Cairo,Population served: 406,26137
Ellenboro-lamberton Psd,Ellenboro,Population served: 456,26137
Harrisville,Berea,"Population served: 2,246",26137
Hughes River Water,Harrisville,Population served: 1,26137
Pennsboro,Pennsboro,"Population served: 1,291",26137
Bens Run Industrial Park Water System,Friendly,Population served: 673,26146
Middlebourne Water Works,Middlebourne,"Population served: 1,267",26146
Sistersville Municipal Water,New Martinsville,"Population served: 1,892",26146
Tyler County Psd (fka Friendly Psd),New Martinsville,"Population served: 2,146",26146
Adrian P S D,French Creek,"Population served: 5,295",26201
Belington Town Of,Belington,"Population served: 2,095",26201
Buckhannon Water Board,Buckhannon,"Population served: 8,631",26201
Central Barbour Psd,Philippi,"Population served: 2,502",26201
Central Barbour Psd - Belington,Philippi,Population served: 597,26201
Century Volga Psd,Volga,"Population served: 2,492",26201
Chestnut Ridge Psd,Philippi,"Population served: 2,644",26201
Chestnut Ridge Psd - Berryburg,Philippi,Population served: 137,26201
Elkins Road Psd,Buckhannon,"Population served: 2,848",26201
Hodgesville Psd - Sauls Run,Buckhannon,Population served: 134,26201
Hodgesville Psd Lorentz System,Buckhannon,Population served: 375,26201
Hodgesville Psd Rt 20,Buckhannon,"Population served: 2,306",26201
Jane Lew Psd,Jane Lew,"Population served: 1,324",26201
Junior Town Of,Junior,Population served: 956,26201
Mount Hope Water Assoc,Tallsmanville,"Population served: 2,825",26201
Philippi City Of,Philippi,"Population served: 3,269",26201
Philippi City Of - Wellington Heights,Philippi,Population served: 144,26201
Wvaw - Weston,Weston,"Population served: 11,797",26201
Camden On Gauley - Cowen,Camden On Gauley,Population served: 72,26203
Camden On Gauley - Craigsville,Camden On Gauley,Population served: 304,26203
Cowen Psd,Cowen,"Population served: 3,372",26203
Wvaw - Webster Springs,Weston,"Population served: 1,971",26203
Beverly Town Of,Beverly,"Population served: 2,555",26224
Coalton Water System,Coalton,Population served: 264,26224
Elkins City Of,Elkins,"Population served: 8,456",26224
Harman Town Of,Harman,Population served: 552,26224
Huttonsville Psd,Mill Creek,"Population served: 5,031",26224
Huttonsville Town Of,Huttonsville,Population served: 193,26224
Leadsville Psd,Elkins,"Population served: 1,539",26224
Midland Psd,Elkins,"Population served: 3,155",26224
Mill Creek Water Department,Mill Creek,Population served: 823,26224
Norton Harding Jimtown Psd,Norton,"Population served: 1,684",26224
Whitmer Public Water System,Whitmer,Population served: 238,26224
Clarksburg Water Board,"Clarksburg, WV","Population served:47,689",26238
Bridgeport City Of,"Bridgeport, WV","Population served:10,309",26238
Shinnston City Of,"Shinnston, WV","Population served:4,867",26238
Davis Water Works,Davis,Population served: 927,26254
Hamrick Psd,Parsons,"Population served: 1,671",26254
Parsons City Of,Parsons,"Population served: 1,544",26254
Thomas City Of,Thomas,Population served: 725,26254
Timberline-cv Psd,Davis,Population served: 544,26254
Albright Town Of,Albright,Population served: 333,26287
Alpine Lake Public Utilities,Terra Alta,"Population served: 1,339",26287
Arthurdale Water Assoc.,Arthurdale,Population served: 299,26287
Big Sandy Mobile Home Park,Bruceton Mills,Population served: 55,26287
Bruceton Mills Water Department,Bruceton Mills,Population served: 114,26287
Denver Water Assoc,Tunnelton,Population served: 364,26287
Kingwood Water Board,Kingwood,"Population served: 6,656",26287
Masontown Water Works,Masontown,"Population served: 2,306",26287
Newburg Town Of,Newburg,Population served: 939,26287
Preston Co. Psd 1 Purchaser,Arthurdale,Population served: 286,26287
Preston County Psd 1,Arthurdale,"Population served: 3,528",26287
Preston County Psd 4,Bruceton Mills,"Population served: 8,700",26287
Rowlesburg Water Works,Rowlesburg,Population served: 759,26287
Terra Alta Water Works,Terra Alta,"Population served: 1,781",26287
Tunnelton Town Of,Tunnelton,"Population served: 1,115",26287
Anmoore Town Of,Anmoore,Population served: 951,26301
Coons Run Psd,West Milford,Population served: 927,26301
East View Psd 172,Clarksburg,Population served: 160,26301
East View Psd 194,Clarksburg,Population served: 424,26301
Enlarged Hepzibah Psd,Salem,"Population served: 1,926",26301
Greater Harrison Psd - Quiet Dell,Enterprise,"Population served: 2,079",26301
Greater Harrison Psd Lost Creek Mt Clare,Enterprise,"Population served: 3,407",26301
Greater Harrison Psd Valley Of Good Hope,Enterprise,"Population served: 2,519",26301
Lumberport Town Of,Lumberport,"Population served: 1,486",26301
Nutter Fort Town Of,Nutter Fort,"Population served: 1,793",26301
Salem Water Board,Salem,"Population served: 1,735",26301
Shinnston - Saltwell Road,Shinnston,Population served: 196,26301
Shortline Psd,Wallace,"Population served: 2,732",26301
Stonewood City Of,Stonewood,"Population served: 2,236",26301
Summit Park Psd,Clarksburg,Population served: 888,26301
Sun Valley Psd,Reynoldsville,"Population served: 2,698",26301
Tri County Clarksburg,Shinnston,Population served: 886,26301
West Milford Water Works,West Milford,Population served: 614,26301
"West Union, Town Of",West Union,"Population served: 1,895",26321
Grafton City Of,"Grafton, WV","Population served:6,577",26330
Southwestern Water District,"Flemington, WV","Population served:5,344",26330
Haymond Psd,Grafton,"Population served: 1,325",26347
Mountain View Water Assoc,Grafton,"Population served: 2,263",26347
Taylor County Psd,Grafton,"Population served: 1,404",26347
Cheat View Psd,Morgantown,"Population served: 9,201",26374
Clinton Water Assoc - Kingwood Pike,Morgantown,"Population served: 3,208",26374
Clinton Water Assoc - Route 119,Morgantown,"Population served: 5,580",26374
Morgantown Utility Board,Morgantown,"Population served: 60,065",26374
Pleasant Valley Psd,Maidesville,"Population served: 2,308",26374
Pleasant Valley Psd - North Cassville,Maidesville,Population served: 114,26374
Star City Town Of,Star City,"Population served: 2,197",26374
City of Fairmont,"Fairmont, WV","Population served:29,864",26437
Valley Falls Psd,"Fairmont, WV","Population served:4,027",26437
Monongah Town Of,"Monongah, WV","Population served:3,171",26437
Tri-county Water Assoc - Fairmont,"Shinnston, WV","Population served:1,770",26448
Bingamon Psd,Wyatt,"Population served: 1,213",26559
Downs Psd,Fairmont,"Population served: 1,024",26559
Fair Oaks Subdivision,West Milford,Population served: 178,26559
Fairview Town Of,Fairview,"Population served: 1,083",26559
Farmington Town Of,Farmington,Population served: 713,26559
Four States Psd,Worthington,Population served: 363,26559
"Grant Town, Town Of",Grant Town,"Population served: 1,240",26559
Hutchinson Community Water Assoc,Worthington,Population served: 370,26559
Ices Run Psd,Fairmont,"Population served: 1,130",26559
Little Creek Psd,Fairmont,"Population served: 2,029",26559
Mannington City Of,Mannington,"Population served: 2,003",26559
Mannington Psd,Mannington,Population served: 796,26559
Mannington Psd - Logansport,Mannington,Population served: 346,26559
Mannington Psd - Metz,Mannington,Population served: 232,26559
Ministers Run Water Assoc,Rivesville,Population served: 337,26559
Montana Water Assoc,Fairmont,Population served: 722,26559
Monumental Psd - Chesapeake,Fairmont,Population served: 228,26559
Monumental Psd,Fairmont,"Population served: 1,924",26559
Paw Paw Route 19 Psd,Westover,"Population served: 1,249",26559
Rayford Acres,Fairmont,Population served: 71,26559
Rivesville Town Of,Rivesville,"Population served: 1,372",26559
Sugar Lane Water Assoc,Rivesville,Population served: 218,26559
Sunny View Acres Water Project,Farmington,Population served: 69,26559
Tri County Water Assoc - Shinnston,Shinnston,Population served: 92,26559
Worthington Town Of,Worthington,Population served: 680,26559
Grant Co. Psd-northfork-maysville,Petersburg,"Population served: 4,269",26707
Grant Co. Psd-us 220 S,Petersburg,"Population served: 1,767",26707
Grant County Psd Welton Orchard,Petersburg,Population served: 213,26707
Mountain Top Psd,Mt Storm,"Population served: 2,072",26707
Petersburg Town Of,Petersburg,"Population served: 2,841",26707
"Carpendale, Town Of",Ridgeley,Population served: 908,26710
Fountain Psd,Keyser,"Population served: 1,001",26710
Fountain Psd Burlington,Keyser,Population served: 793,26710
Frankfort Psd,Wiley Ford,"Population served: 5,626",26710
Frankfort Psd Wiley Ford,Wiley Ford,"Population served: 1,062",26710
Keyser City Of,Keyser,"Population served: 5,202",26710
New Creek Water Association,New Creek,"Population served: 3,043",26710
Piedmont Municipal Water Wks,Piedmont,Population served: 847,26710
"Ridgeley, Town Of",Ridgeley,Population served: 737,26710
Caledonia Heights Subdivision,Moorefield,Population served: 200,26755
Hardy County Psd 220 N,Moorefield,"Population served: 1,388",26755
Hardy County Psd 220 South,Moorefield,"Population served: 1,463",26755
Hardy County Psd Baker,Moorefield,Population served: 182,26755
Hardy County Psd Marvin Chapel,Moorefield,Population served: 90,26755
Hardy County Psd-route 55,Moorefield,Population served: 802,26755
Hardy County Psd-south Fork,Moorefield,Population served: 244,26755
Hardy County Psd-trout Run,Moorefield,Population served: 245,26755
Moorefield Municipal Water,Moorefield,"Population served: 2,328",26755
"Wardensville, Town Of",Wardensville,Population served: 788,26755
"Franklin, Municipality Of",Franklin,"Population served: 1,402",26802
Pendleton Co. Psd(brandywine),Upper Tract,Population served: 692,26802
Pendleton Co. Psd-circleville,Upper Tract,Population served: 75,26802
Pendleton Co. Psd-upper Tract,Upper Tract,Population served: 695,26802
Pendleton Co. Psd-us 220 North,Upper Tract,Population served: 144,26802
Pendleton County Psd Riverton,Upper Tract,Population served: 54,26802
