Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Mulga Water Works and Gas Department,Total trihalomethanes (TTHMs)†,48.8 ppb,0.15 ppb,80 ppb
Mulga Water Works and Gas Department,"1,4-Dioxane",0.127 ppb,0.35 ppb,
Mulga Water Works and Gas Department,Aluminum*,21.3 ppb,600 ppb,
Mulga Water Works and Gas Department,Barium*,13.0 ppb,700 ppb,"2,000 ppb"
Mulga Water Works and Gas Department,Chlorate,37.6 ppb,210 ppb,
Mulga Water Works and Gas Department,Chloromethane*,0.00446 ppb,2.69 ppb,
Mulga Water Works and Gas Department,Chromium (total)*,0.0517 ppb,,100 ppb
Mulga Water Works and Gas Department,Fluoride*,0.618 ppm,,4 ppm
Mulga Water Works and Gas Department,Manganese*,1.14 ppb,100 ppb,
Mulga Water Works and Gas Department,Molybdenum,1.33 ppb,40 ppb,
Mulga Water Works and Gas Department,Nitrite*,0.0600 ppm,,1 ppm
Mulga Water Works and Gas Department,Strontium,0.0491 ppb,"1,500 ppb",
Mulga Water Works and Gas Department,Vanadium,0.336 ppb,21 ppb,
Mulga Water Works and Gas Department,None,,,
Trussville Utilities,Bromodichloromethane,0.415 ppb,0.06 ppb,
Trussville Utilities,Chromium (hexavalent),0.150 ppb,0.02 ppb,
Trussville Utilities,Dibromochloromethane,0.450 ppb,0.1 ppb,
Trussville Utilities,Haloacetic acids (HAA5)†,1.23 ppb,0.1 ppb,60 ppb
Trussville Utilities,Haloacetic acids (HAA9)†,3.09 ppb,0.06 ppb,
Trussville Utilities,Nitrate,0.630 ppm,0.14 ppm,10 ppm
Trussville Utilities,Nitrate and nitrite,0.620 ppm,0.14 ppm,10 ppm
Trussville Utilities,Total trihalomethanes (TTHMs)†,4.85 ppb,0.15 ppb,80 ppb
Trussville Utilities,Barium,6.50 ppb,700 ppb,"2,000 ppb"
Trussville Utilities,Chlorate,57.3 ppb,210 ppb,
Trussville Utilities,Chloroform,0.315 ppb,0.4 ppb,
Trussville Utilities,Chromium (total),0.1000 ppb,,100 ppb
Trussville Utilities,Fluoride,0.280 ppm,,4 ppm
Trussville Utilities,Strontium,0.0593 ppb,"1,500 ppb",
Trussville Utilities,Vanadium,0.0500 ppb,21 ppb,
Trussville Utilities,None,,,
Warrior River Water Authority,Arsenic,0.0833 ppb,0.004 ppb,10 ppb
Warrior River Water Authority,Bromodichloromethane,2.71 ppb,0.06 ppb,
Warrior River Water Authority,Chlorite,588.3 ppb,50 ppb,"1,000 ppb"
Warrior River Water Authority,Chloroform,3.52 ppb,0.4 ppb,
Warrior River Water Authority,Chromium (hexavalent),0.262 ppb,0.02 ppb,
Warrior River Water Authority,Dibromochloromethane,1.08 ppb,0.1 ppb,
Warrior River Water Authority,Haloacetic acids (HAA5)†,24.0 ppb,0.1 ppb,60 ppb
Warrior River Water Authority,Haloacetic acids (HAA9)†,32.3 ppb,0.06 ppb,
Warrior River Water Authority,Nitrate,0.309 ppm,0.14 ppm,10 ppm
Warrior River Water Authority,Nitrate and nitrite,0.376 ppm,0.14 ppm,10 ppm
Warrior River Water Authority,Total trihalomethanes (TTHMs)†,42.5 ppb,0.15 ppb,80 ppb
Warrior River Water Authority,Aluminum,26.5 ppb,600 ppb,
Warrior River Water Authority,Barium,9.83 ppb,700 ppb,"2,000 ppb"
Warrior River Water Authority,Bromoform,0.0453 ppb,0.5 ppb,
Warrior River Water Authority,Chlorate,374.3 ppb,210 ppb,
Warrior River Water Authority,Chromium (total),0.121 ppb,,100 ppb
Warrior River Water Authority,Fluoride,0.386 ppm,,4 ppm
Warrior River Water Authority,Manganese,1.32 ppb,100 ppb,
Warrior River Water Authority,Molybdenum,0.319 ppb,40 ppb,
Warrior River Water Authority,Strontium,0.0675 ppb,"1,500 ppb",
Warrior River Water Authority,Vanadium,0.194 ppb,21 ppb,
Warrior River Water Authority,None,,,
West Jefferson County Municipal Water District,"1,2,3-Trichloropropane",0.00625 ppb,0.0007 ppb,
West Jefferson County Municipal Water District,Bromochloroacetic acid,4.61 ppb,0.02 ppb,
West Jefferson County Municipal Water District,Bromodichloromethane,7.54 ppb,0.06 ppb,
West Jefferson County Municipal Water District,Chlorite,305.3 ppb,50 ppb,"1,000 ppb"
West Jefferson County Municipal Water District,Chloroform,31.1 ppb,0.4 ppb,
West Jefferson County Municipal Water District,Dibromoacetic acid,0.850 ppb,0.04 ppb,
West Jefferson County Municipal Water District,Dibromochloromethane,1.95 ppb,0.1 ppb,
West Jefferson County Municipal Water District,Dichloroacetic acid,21.1 ppb,0.2 ppb,
West Jefferson County Municipal Water District,Haloacetic acids (HAA5)†,29.0 ppb,0.1 ppb,60 ppb
West Jefferson County Municipal Water District,"Radium, combined (-226 &amp; -228)",1.50 pCi/L,0.05 pCi/L,5 pCi/L
West Jefferson County Municipal Water District,Total trihalomethanes (TTHMs)†,36.4 ppb,0.15 ppb,80 ppb
West Jefferson County Municipal Water District,Trichloroacetic acid,5.43 ppb,0.1 ppb,
West Jefferson County Municipal Water District,Atrazine,0.0111 ppb,0.1 ppb,3 ppb
West Jefferson County Municipal Water District,Barium,43.4 ppb,700 ppb,"2,000 ppb"
West Jefferson County Municipal Water District,Bromoform,0.0204 ppb,0.5 ppb,
West Jefferson County Municipal Water District,Cyanide,46.7 ppb,,200 ppb
West Jefferson County Municipal Water District,Dalapon,0.110 ppb,,200 ppb
West Jefferson County Municipal Water District,Di(2-ethylhexyl) phthalate,0.0733 ppb,3 ppb,6 ppb
West Jefferson County Municipal Water District,Hexadecanoic acid,2.75 ppb,,
West Jefferson County Municipal Water District,Manganese,4.68 ppb,100 ppb,
West Jefferson County Municipal Water District,Monochloroacetic acid,1.61 ppb,53 ppb,
West Jefferson County Municipal Water District,Nitrate,0.1000 ppm,0.14 ppm,10 ppm
West Jefferson County Municipal Water District,None,,,
Tuscaloosa Water & Sewer,Bromodichloromethane,2.35 ppb,0.06 ppb,
Tuscaloosa Water & Sewer,Chlorate,590.3 ppb,210 ppb,
Tuscaloosa Water & Sewer,Chlorite,450.2 ppb,50 ppb,"1,000 ppb"
Tuscaloosa Water & Sewer,Chloroform,3.83 ppb,0.4 ppb,
Tuscaloosa Water & Sewer,Dibromochloromethane,1.31 ppb,0.1 ppb,
Tuscaloosa Water & Sewer,Haloacetic acids (HAA5)†,28.7 ppb,0.1 ppb,60 ppb
Tuscaloosa Water & Sewer,Haloacetic acids (HAA9)†,41.5 ppb,0.06 ppb,
Tuscaloosa Water & Sewer,"Radium, combined (-226 &amp; -228)",0.31 pCi/L,0.05 pCi/L,5 pCi/L
Tuscaloosa Water & Sewer,Total trihalomethanes (TTHMs)†,37.2 ppb,0.15 ppb,80 ppb
Tuscaloosa Water & Sewer,"4-Androstene-3,17-dione",0.0380 ppt,,
Tuscaloosa Water & Sewer,Aluminum,73.1 ppb,600 ppb,
Tuscaloosa Water & Sewer,Chromium (hexavalent),0.0356 ppb,0.02 ppb,
Tuscaloosa Water & Sewer,Fluoride,0.612 ppm,,4 ppm
Tuscaloosa Water & Sewer,Manganese,2.76 ppb,100 ppb,
Tuscaloosa Water & Sewer,Nitrate,0.203 ppm,0.14 ppm,10 ppm
Tuscaloosa Water & Sewer,Nitrate and nitrite,0.203 ppm,0.14 ppm,10 ppm
Tuscaloosa Water & Sewer,Strontium,0.0254 ppb,"1,500 ppb",
Tuscaloosa Water & Sewer,None,,,
Northport Water System,Arsenic,2.45 ppb,0.004 ppb,10 ppb
Northport Water System,Nitrate,5.19 ppm,0.14 ppm,10 ppm
Northport Water System,Nitrate and nitrite,1.14 ppm,0.14 ppm,10 ppm
Northport Water System,"Radium, combined (-226 &amp; -228)",0.32 pCi/L,0.05 pCi/L,5 pCi/L
Northport Water System,Barium,136.8 ppb,700 ppb,"2,000 ppb"
Northport Water System,Fluoride,0.0618 ppm,,4 ppm
Northport Water System,Manganese,92.5 ppb,100 ppb,
Northport Water System,None,,,
Alabaster Water Board,Chromium (hexavalent),0.136 ppb,0.02 ppb,
Alabaster Water Board,Haloacetic acids (HAA5)†,18.6 ppb,0.1 ppb,60 ppb
Alabaster Water Board,Haloacetic acids (HAA9)†,29.6 ppb,0.06 ppb,
Alabaster Water Board,Nitrate,0.964 ppm,0.14 ppm,10 ppm
Alabaster Water Board,Nitrate and nitrite,0.885 ppm,0.14 ppm,10 ppm
Alabaster Water Board,"Radium, combined (-226 &amp; -228)",1.55 pCi/L,0.05 pCi/L,5 pCi/L
Alabaster Water Board,Total trihalomethanes (TTHMs)†,40.1 ppb,0.15 ppb,80 ppb
Alabaster Water Board,"1,4-Dioxane",0.0250 ppb,0.35 ppb,
Alabaster Water Board,Barium,19.0 ppb,700 ppb,"2,000 ppb"
Alabaster Water Board,Bromodichloromethane,0.0862 ppb,0.06 ppb,
Alabaster Water Board,Chlorate,211.9 ppb,210 ppb,
Alabaster Water Board,Chloroform,0.488 ppb,0.4 ppb,
Alabaster Water Board,Chromium (total),0.0778 ppb,,100 ppb
Alabaster Water Board,Manganese,3.35 ppb,100 ppb,
Alabaster Water Board,Molybdenum,0.164 ppb,40 ppb,
Alabaster Water Board,Strontium,0.0589 ppb,"1,500 ppb",
Alabaster Water Board,Vanadium,0.521 ppb,21 ppb,
Alabaster Water Board,None,,,
Bethel Water System,Bromodichloromethane*,0.850 ppb,0.06 ppb,
Bethel Water System,Chloroform*,3.16 ppb,0.4 ppb,
Bethel Water System,Chromium (hexavalent)*,0.209 ppb,0.02 ppb,
Bethel Water System,Dibromochloromethane*,0.410 ppb,0.1 ppb,
Bethel Water System,Haloacetic acids (HAA5)†,1.09 ppb,0.1 ppb,60 ppb
Bethel Water System,Haloacetic acids (HAA9)*†,1.75 ppb,0.06 ppb,
Bethel Water System,Nitrate*,0.289 ppm,0.14 ppm,10 ppm
Bethel Water System,Nitrate and nitrite*,0.366 ppm,0.14 ppm,10 ppm
Bethel Water System,Total trihalomethanes (TTHMs)†,1.28 ppb,0.15 ppb,80 ppb
Bethel Water System,Barium*,19.7 ppb,700 ppb,"2,000 ppb"
Bethel Water System,Bromoform*,0.0800 ppb,0.5 ppb,
Bethel Water System,Chromium (total)*,0.379 ppb,,100 ppb
Bethel Water System,Manganese*,0.0842 ppb,100 ppb,
Bethel Water System,Strontium*,0.0291 ppb,"1,500 ppb",
Bethel Water System,Vanadium*,0.265 ppb,21 ppb,
Calera Water Works,Bromodichloromethane,1.35 ppb,0.06 ppb,
Calera Water Works,Chloroform,8.81 ppb,0.4 ppb,
Calera Water Works,Chromium (hexavalent),0.128 ppb,0.02 ppb,
Calera Water Works,Dibromochloromethane,0.710 ppb,0.1 ppb,
Calera Water Works,Haloacetic acids (HAA5)†,6.24 ppb,0.1 ppb,60 ppb
Calera Water Works,Haloacetic acids (HAA9)†,8.72 ppb,0.06 ppb,
Calera Water Works,Nitrate,0.918 ppm,0.14 ppm,10 ppm
Calera Water Works,Nitrate and nitrite,0.950 ppm,0.14 ppm,10 ppm
Calera Water Works,"Radium, combined (-226 &amp; -228)",0.40 pCi/L,0.05 pCi/L,5 pCi/L
Calera Water Works,Total trihalomethanes (TTHMs)†,8.18 ppb,0.15 ppb,80 ppb
Calera Water Works,"1,4-Dioxane",0.0175 ppb,0.35 ppb,
Calera Water Works,Chromium (total),0.0200 ppb,,100 ppb
Calera Water Works,Manganese,1.20 ppb,100 ppb,
Calera Water Works,Strontium,0.0274 ppb,"1,500 ppb",
Calera Water Works,Vanadium,0.338 ppb,21 ppb,
Calera Water Works,None,,,
Columbiana Water Works,Bromodichloromethane,0.850 ppb,0.06 ppb,
Columbiana Water Works,Chloroform,3.16 ppb,0.4 ppb,
Columbiana Water Works,Chromium (hexavalent),0.209 ppb,0.02 ppb,
Columbiana Water Works,Dibromochloromethane,0.410 ppb,0.1 ppb,
Columbiana Water Works,Haloacetic acids (HAA5)†,1.68 ppb,0.1 ppb,60 ppb
Columbiana Water Works,Haloacetic acids (HAA9)†,1.75 ppb,0.06 ppb,
Columbiana Water Works,Nitrate,0.289 ppm,0.14 ppm,10 ppm
Columbiana Water Works,Nitrate and nitrite,0.366 ppm,0.14 ppm,10 ppm
Columbiana Water Works,Total trihalomethanes (TTHMs)†,3.87 ppb,0.15 ppb,80 ppb
Columbiana Water Works,Barium,19.7 ppb,700 ppb,"2,000 ppb"
Columbiana Water Works,Bromoform,0.0800 ppb,0.5 ppb,
Columbiana Water Works,Chromium (total),0.379 ppb,,100 ppb
Columbiana Water Works,Manganese,0.0842 ppb,100 ppb,
Columbiana Water Works,Strontium,0.0291 ppb,"1,500 ppb",
Columbiana Water Works,Vanadium,0.265 ppb,21 ppb,
Columbiana Water Works,None,,,
Green Park South Mobile Home Park,Chromium (hexavalent)*,0.177 ppb,0.02 ppb,
Green Park South Mobile Home Park,Haloacetic acids (HAA5)†,0.583 ppb,0.1 ppb,60 ppb
Green Park South Mobile Home Park,Haloacetic acids (HAA9)*†,31.5 ppb,0.06 ppb,
Green Park South Mobile Home Park,Nitrate*,0.835 ppm,0.14 ppm,10 ppm
Green Park South Mobile Home Park,Nitrate and nitrite*,0.880 ppm,0.14 ppm,10 ppm
Green Park South Mobile Home Park,Total trihalomethanes (TTHMs)†,3.08 ppb,0.15 ppb,80 ppb
Green Park South Mobile Home Park,"1,4-Dioxane*",0.0244 ppb,0.35 ppb,
Green Park South Mobile Home Park,Barium*,21.1 ppb,700 ppb,"2,000 ppb"
Green Park South Mobile Home Park,Bromodichloromethane*,0.0786 ppb,0.06 ppb,
Green Park South Mobile Home Park,Chlorate*,7.01 ppb,210 ppb,
Green Park South Mobile Home Park,Chloroform*,0.379 ppb,0.4 ppb,
Green Park South Mobile Home Park,Chromium (total)*,0.225 ppb,,100 ppb
Green Park South Mobile Home Park,Dibromochloromethane*,0.0429 ppb,0.1 ppb,
Green Park South Mobile Home Park,Manganese*,1.15 ppb,100 ppb,
Green Park South Mobile Home Park,Molybdenum*,0.279 ppb,40 ppb,
Green Park South Mobile Home Park,Strontium*,0.0411 ppb,"1,500 ppb",
Green Park South Mobile Home Park,Vanadium*,0.732 ppb,21 ppb,
Harpersville Water System,Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
Harpersville Water System,Nitrate,2.24 ppm,0.14 ppm,10 ppm
Harpersville Water System,Nitrate and nitrite,2.22 ppm,0.14 ppm,10 ppm
Harpersville Water System,Total trihalomethanes (TTHMs)†,8.63 ppb,0.15 ppb,80 ppb
Harpersville Water System,Barium,24.5 ppb,700 ppb,"2,000 ppb"
Harpersville Water System,None,,,
Helena Utility Board,Bromodichloromethane,1.13 ppb,0.06 ppb,
Helena Utility Board,Chloroform,3.85 ppb,0.4 ppb,
Helena Utility Board,Chromium (hexavalent),0.115 ppb,0.02 ppb,
Helena Utility Board,Dibromochloromethane,0.494 ppb,0.1 ppb,
Helena Utility Board,Haloacetic acids (HAA5)†,25.7 ppb,0.1 ppb,60 ppb
Helena Utility Board,Haloacetic acids (HAA9)†,33.0 ppb,0.06 ppb,
Helena Utility Board,Nitrate,0.901 ppm,0.14 ppm,10 ppm
Helena Utility Board,Nitrate and nitrite,0.898 ppm,0.14 ppm,10 ppm
Helena Utility Board,Total trihalomethanes (TTHMs)†,41.7 ppb,0.15 ppb,80 ppb
Helena Utility Board,Chlorate,239.6 ppb,210 ppb,
Helena Utility Board,Chromium (total),0.0231 ppb,,100 ppb
Helena Utility Board,Manganese,0.520 ppb,100 ppb,
Helena Utility Board,Molybdenum,0.175 ppb,40 ppb,
Helena Utility Board,Strontium,0.0566 ppb,"1,500 ppb",
Helena Utility Board,Vanadium,0.450 ppb,21 ppb,
Helena Utility Board,None,,,
Little Waxie Water Authority,Bromodichloromethane*,0.850 ppb,0.06 ppb,
Little Waxie Water Authority,Chloroform*,3.16 ppb,0.4 ppb,
Little Waxie Water Authority,Chromium (hexavalent)*,0.209 ppb,0.02 ppb,
Little Waxie Water Authority,Dibromochloromethane*,0.410 ppb,0.1 ppb,
Little Waxie Water Authority,Haloacetic acids (HAA5)†,0.258 ppb,0.1 ppb,60 ppb
Little Waxie Water Authority,Haloacetic acids (HAA9)*†,1.75 ppb,0.06 ppb,
Little Waxie Water Authority,Nitrate*,0.289 ppm,0.14 ppm,10 ppm
Little Waxie Water Authority,Nitrate and nitrite*,0.366 ppm,0.14 ppm,10 ppm
Little Waxie Water Authority,Total trihalomethanes (TTHMs)†,1.08 ppb,0.15 ppb,80 ppb
Little Waxie Water Authority,Barium*,19.7 ppb,700 ppb,"2,000 ppb"
Little Waxie Water Authority,Bromoform*,0.0800 ppb,0.5 ppb,
Little Waxie Water Authority,Chromium (total)*,0.379 ppb,,100 ppb
Little Waxie Water Authority,Manganese*,0.0842 ppb,100 ppb,
Little Waxie Water Authority,Strontium*,0.0291 ppb,"1,500 ppb",
Little Waxie Water Authority,Vanadium*,0.265 ppb,21 ppb,
Montevallo Water Works & Sewer,Bromodichloromethane,1.67 ppb,0.06 ppb,
Montevallo Water Works & Sewer,Chloroform,2.40 ppb,0.4 ppb,
Montevallo Water Works & Sewer,Dibromochloromethane,1.32 ppb,0.1 ppb,
Montevallo Water Works & Sewer,Haloacetic acids (HAA5)†,9.38 ppb,0.1 ppb,60 ppb
Montevallo Water Works & Sewer,Nitrate,0.937 ppm,0.14 ppm,10 ppm
Montevallo Water Works & Sewer,Nitrate and nitrite,1.04 ppm,0.14 ppm,10 ppm
Montevallo Water Works & Sewer,"Radium, combined (-226 &amp; -228)",0.30 pCi/L,0.05 pCi/L,5 pCi/L
Montevallo Water Works & Sewer,Tetrachloroethylene (perchloroethylene),0.411 ppb,0.06 ppb,5 ppb
