Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Northwest Suburban Municipal Jawa,Fluoride*,0.714 ppm,,4 ppm
Northwest Suburban Municipal Jawa,Molybdenum*,1.07 ppb,40 ppb,
Northwest Suburban Municipal Jawa,Monochloroacetic acid*,0.0250 ppb,53 ppb,
Northwest Suburban Municipal Jawa,Strontium*,0.115 ppb,"1,500 ppb",
Northwest Suburban Municipal Jawa,Testosterone*,0.0250 ppt,,
Northwest Suburban Municipal Jawa,Vanadium*,0.238 ppb,21 ppb,
Northwest Suburban Municipal Jawa,None,,,
Cicero,Bromodichloromethane,7.37 ppb,0.06 ppb,
Cicero,Chloroform,9.54 ppb,0.4 ppb,
Cicero,Chromium (hexavalent),0.209 ppb,0.02 ppb,
Cicero,Dibromoacetic acid,0.338 ppb,0.04 ppb,
Cicero,Dibromochloromethane,4.29 ppb,0.1 ppb,
Cicero,Dichloroacetic acid,5.32 ppb,0.2 ppb,
Cicero,Haloacetic acids (HAA5)†,12.0 ppb,0.1 ppb,60 ppb
Cicero,Haloacetic acids (HAA9)†,16.5 ppb,0.06 ppb,
Cicero,Nitrate*,0.346 ppm,0.14 ppm,10 ppm
Cicero,Nitrate and nitrite*,0.346 ppm,0.14 ppm,10 ppm
Cicero,"Radium, combined (-226 &amp; -228)*",0.67 pCi/L,0.05 pCi/L,5 pCi/L
Cicero,Total trihalomethanes (TTHMs)†,21.2 ppb,0.15 ppb,80 ppb
Cicero,Trichloroacetic acid,5.20 ppb,0.1 ppb,
Cicero,"1,4-Dioxane",0.0175 ppb,0.35 ppb,
Cicero,"4-Androstene-3,17-dione*",0.175 ppt,,
Cicero,Barium*,20.4 ppb,700 ppb,"2,000 ppb"
Cicero,Chromium (total),0.400 ppb,,100 ppb
Cicero,Fluoride*,0.714 ppm,,4 ppm
Cicero,Manganese,0.108 ppb,100 ppb,
Cicero,Molybdenum,0.938 ppb,40 ppb,
Cicero,Monobromoacetic acid,0.841 ppb,25 ppb,
Cicero,Monochloroacetic acid,0.331 ppb,53 ppb,
Cicero,Strontium,0.123 ppb,"1,500 ppb",
Cicero,Testosterone*,0.0250 ppt,,
Cicero,Vanadium,0.175 ppb,21 ppb,
Cicero,None,,,
Schaumburg,Bromodichloromethane,10.1 ppb,0.06 ppb,
Schaumburg,Chloroform,18.0 ppb,0.4 ppb,
Schaumburg,Chromium (hexavalent),0.211 ppb,0.02 ppb,
Schaumburg,Dibromoacetic acid,0.546 ppb,0.04 ppb,
Schaumburg,Dibromochloromethane,5.19 ppb,0.1 ppb,
Schaumburg,Dichloroacetic acid,8.53 ppb,0.2 ppb,
Schaumburg,Haloacetic acids (HAA5)†,18.9 ppb,0.1 ppb,60 ppb
Schaumburg,Haloacetic acids (HAA9)†,23.5 ppb,0.06 ppb,
Schaumburg,Total trihalomethanes (TTHMs)†,33.3 ppb,0.15 ppb,80 ppb
Schaumburg,Trichloroacetic acid,8.64 ppb,0.1 ppb,
Schaumburg,Chromium (total),0.438 ppb,,100 ppb
Schaumburg,Molybdenum,0.525 ppb,40 ppb,
Schaumburg,Monobromoacetic acid,0.820 ppb,25 ppb,
Schaumburg,Monochloroacetic acid,0.388 ppb,53 ppb,
Schaumburg,Quinoline,0.0107 ppb,,
Schaumburg,Strontium,0.120 ppb,"1,500 ppb",
Schaumburg,Vanadium,0.225 ppb,21 ppb,
Schaumburg,None,,,
Arlington Heights,Bromodichloromethane,9.50 ppb,0.06 ppb,
Arlington Heights,Chloroform,18.3 ppb,0.4 ppb,
Arlington Heights,Chromium (hexavalent),0.186 ppb,0.02 ppb,
Arlington Heights,Dibromoacetic acid,0.992 ppb,0.04 ppb,
Arlington Heights,Dibromochloromethane,5.04 ppb,0.1 ppb,
Arlington Heights,Dichloroacetic acid,7.85 ppb,0.2 ppb,
Arlington Heights,Haloacetic acids (HAA5)†,18.0 ppb,0.1 ppb,60 ppb
Arlington Heights,Haloacetic acids (HAA9)†,21.2 ppb,0.06 ppb,
Arlington Heights,Total trihalomethanes (TTHMs)†,32.9 ppb,0.15 ppb,80 ppb
Arlington Heights,Trichloroacetic acid,6.85 ppb,0.1 ppb,
Arlington Heights,Bromoform,0.0617 ppb,0.5 ppb,
Arlington Heights,Chlorate,30.7 ppb,210 ppb,
Arlington Heights,Chromium (total),0.252 ppb,,100 ppb
Arlington Heights,Germanium,0.268 ppb,,
Arlington Heights,Manganese,9.50 ppb,100 ppb,
Arlington Heights,Molybdenum,0.531 ppb,40 ppb,
Arlington Heights,Monobromoacetic acid,1.58 ppb,25 ppb,
Arlington Heights,Monochloroacetic acid,0.733 ppb,53 ppb,
Arlington Heights,Strontium,0.119 ppb,"1,500 ppb",
Arlington Heights,Vanadium,0.262 ppb,21 ppb,
Arlington Heights,None,,,
City of Evanston,Arsenic,0.600 ppb,0.004 ppb,10 ppb
City of Evanston,Bromochloroacetic acid,2.96 ppb,0.02 ppb,
City of Evanston,Bromodichloromethane,9.28 ppb,0.06 ppb,
City of Evanston,Chloroform,35.6 ppb,0.4 ppb,
City of Evanston,Dibromoacetic acid,0.363 ppb,0.04 ppb,
City of Evanston,Dibromochloromethane,1.93 ppb,0.1 ppb,
City of Evanston,Dichloroacetic acid,13.7 ppb,0.2 ppb,
City of Evanston,Haloacetic acids (HAA5)†,33.7 ppb,0.1 ppb,60 ppb
City of Evanston,Haloacetic acids (HAA9)†,50.8 ppb,0.06 ppb,
City of Evanston,Total trihalomethanes (TTHMs)†,45.2 ppb,0.15 ppb,80 ppb
City of Evanston,Trichloroacetic acid,19.3 ppb,0.1 ppb,
City of Evanston,Barium,180.0 ppb,700 ppb,"2,000 ppb"
City of Evanston,Chlorate,179.5 ppb,210 ppb,
City of Evanston,Hexachlorocyclopentadiene,0.0767 ppb,2 ppb,50 ppb
City of Evanston,Manganese,0.815 ppb,100 ppb,
City of Evanston,Monobromoacetic acid,0.0538 ppb,25 ppb,
City of Evanston,Monochloroacetic acid,0.751 ppb,53 ppb,
City of Evanston,Nitrate and nitrite,0.0375 ppm,0.14 ppm,10 ppm
City of Evanston,Strontium,0.138 ppb,"1,500 ppb",
City of Evanston,Vanadium,0.179 ppb,21 ppb,
City of Evanston,None,,,
Palatine,Bromodichloromethane,9.01 ppb,0.06 ppb,
Palatine,Chloroform,18.9 ppb,0.4 ppb,
Palatine,Chromium (hexavalent),0.209 ppb,0.02 ppb,
Palatine,Dibromoacetic acid,1.06 ppb,0.04 ppb,
Palatine,Dibromochloromethane,4.90 ppb,0.1 ppb,
Palatine,Dichloroacetic acid,8.08 ppb,0.2 ppb,
Palatine,Haloacetic acids (HAA5)†,16.2 ppb,0.1 ppb,60 ppb
Palatine,Haloacetic acids (HAA9)†,27.7 ppb,0.06 ppb,
Palatine,Total trihalomethanes (TTHMs)†,33.0 ppb,0.15 ppb,80 ppb
Palatine,Trichloroacetic acid,6.84 ppb,0.1 ppb,
Palatine,Bromoform,0.158 ppb,0.5 ppb,
Palatine,Chlorate,27.3 ppb,210 ppb,
Palatine,Chromium (total),0.263 ppb,,100 ppb
Palatine,Manganese,0.127 ppb,100 ppb,
Palatine,Molybdenum,0.941 ppb,40 ppb,
Palatine,Monobromoacetic acid,0.195 ppb,25 ppb,
Palatine,Monochloroacetic acid,0.0307 ppb,53 ppb,
Palatine,Strontium,0.122 ppb,"1,500 ppb",
Palatine,Vanadium,0.262 ppb,21 ppb,
Palatine,None,,,
Skokie,Bromodichloromethane,8.88 ppb,0.06 ppb,
Skokie,Chloroform,12.0 ppb,0.4 ppb,
Skokie,Chromium (hexavalent),0.193 ppb,0.02 ppb,
Skokie,Dibromoacetic acid,0.298 ppb,0.04 ppb,
Skokie,Dibromochloromethane,5.16 ppb,0.1 ppb,
Skokie,Dichloroacetic acid,4.47 ppb,0.2 ppb,
Skokie,Haloacetic acids (HAA5)†,10.5 ppb,0.1 ppb,60 ppb
Skokie,Haloacetic acids (HAA9)†,18.9 ppb,0.06 ppb,
Skokie,Nitrate*,0.400 ppm,0.14 ppm,10 ppm
Skokie,Nitrate and nitrite*,0.400 ppm,0.14 ppm,10 ppm
Skokie,"Radium, combined (-226 &amp; -228)*",0.99 pCi/L,0.05 pCi/L,5 pCi/L
Skokie,Total trihalomethanes (TTHMs)†,26.0 ppb,0.15 ppb,80 ppb
Skokie,Trichloroacetic acid,5.01 ppb,0.1 ppb,
Skokie,"1,4-Dioxane",0.0175 ppb,0.35 ppb,
Skokie,Aluminum*,90.7 ppb,600 ppb,
Skokie,Barium*,20.2 ppb,700 ppb,"2,000 ppb"
Skokie,Bromoform*,0.214 ppb,0.5 ppb,
Skokie,Chromium (total),0.413 ppb,,100 ppb
Skokie,Fluoride*,0.750 ppm,,4 ppm
Skokie,Manganese,1.19 ppb,100 ppb,
Skokie,Molybdenum,0.775 ppb,40 ppb,
Skokie,Monobromoacetic acid,0.531 ppb,25 ppb,
Skokie,Monochloroacetic acid,0.224 ppb,53 ppb,
Skokie,Strontium,0.119 ppb,"1,500 ppb",
Skokie,Vanadium,0.225 ppb,21 ppb,
Skokie,None,,,
Des Plaines,Bromodichloromethane,9.48 ppb,0.06 ppb,
Des Plaines,Chloroform,17.0 ppb,0.4 ppb,
Des Plaines,Chromium (hexavalent),0.205 ppb,0.02 ppb,
Des Plaines,Dibromoacetic acid,0.517 ppb,0.04 ppb,
Des Plaines,Dibromochloromethane,4.89 ppb,0.1 ppb,
Des Plaines,Dichloroacetic acid,7.87 ppb,0.2 ppb,
Des Plaines,Haloacetic acids (HAA5)†,16.9 ppb,0.1 ppb,60 ppb
Des Plaines,Haloacetic acids (HAA9)†,18.6 ppb,0.06 ppb,
Des Plaines,Total trihalomethanes (TTHMs)†,31.4 ppb,0.15 ppb,80 ppb
Des Plaines,Trichloroacetic acid,7.48 ppb,0.1 ppb,
Des Plaines,Chromium (total),0.725 ppb,,100 ppb
Des Plaines,Molybdenum,0.800 ppb,40 ppb,
Des Plaines,Monobromoacetic acid,0.711 ppb,25 ppb,
Des Plaines,Monochloroacetic acid,0.318 ppb,53 ppb,
Des Plaines,Strontium,0.121 ppb,"1,500 ppb",
Des Plaines,Vanadium,0.200 ppb,21 ppb,
Des Plaines,None,,,
Glenview,Arsenic*,0.167 ppb,0.004 ppb,10 ppb
Glenview,Bromodichloromethane,10.6 ppb,0.06 ppb,
Glenview,Chloroform,19.7 ppb,0.4 ppb,
Glenview,Chromium (hexavalent),0.201 ppb,0.02 ppb,
Glenview,Dibromoacetic acid,0.511 ppb,0.04 ppb,
Glenview,Dibromochloromethane,5.92 ppb,0.1 ppb,
Glenview,Dichloroacetic acid,7.90 ppb,0.2 ppb,
Glenview,Haloacetic acids (HAA5)†,15.2 ppb,0.1 ppb,60 ppb
Glenview,Haloacetic acids (HAA9)†,20.6 ppb,0.06 ppb,
