,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
49,McMinnville Water & Light,<h3>Chlorate</h3>,146.1 ppb,210 ppb,
50,McMinnville Water & Light,<h3>Chromium (total)</h3>,0.130 ppb,,100 ppb
51,McMinnville Water & Light,<h3>Fluoride</h3>,0.600 ppm,,4 ppm
52,McMinnville Water & Light,<h3>Manganese</h3>,0.125 ppb,100 ppb,
53,McMinnville Water & Light,<h3>Nitrate</h3>,0.0319 ppm,0.14 ppm,10 ppm
54,McMinnville Water & Light,<h3>Nitrate and nitrite</h3>,0.0300 ppm,0.14 ppm,10 ppm
55,McMinnville Water & Light,<h3>Nitrite</h3>,0.00175 ppm,,1 ppm
56,McMinnville Water & Light,<h3>Strontium</h3>,0.0314 ppb,"1,500 ppb",
57,McMinnville Water & Light,<h3>Vanadium</h3>,0.590 ppb,21 ppb,
58,McMinnville Water & Light,,,,
59,City of Newberg,<h3>Chlorate</h3>,486.0 ppb,210 ppb,
60,City of Newberg,<h3>Haloacetic acids (HAA5)†</h3>,9.16 ppb,0.1 ppb,60 ppb
61,City of Newberg,<h3>Haloacetic acids (HAA9)†</h3>,19.3 ppb,0.06 ppb,
62,City of Newberg,<h3>Total trihalomethanes (TTHMs)†</h3>,25.6 ppb,0.15 ppb,80 ppb
63,City of Newberg,<h3>Chloromethane</h3>,1.10 ppb,2.69 ppb,
64,City of Newberg,<h3>Chromium (total)</h3>,0.0500 ppb,,100 ppb
65,City of Newberg,<h3>Manganese</h3>,0.540 ppb,100 ppb,
66,City of Newberg,<h3>Nitrate</h3>,0.0790 ppm,0.14 ppm,10 ppm
67,City of Newberg,<h3>Strontium</h3>,0.0596 ppb,"1,500 ppb",
68,City of Newberg,,,,
69,City of Dallas,<h3>Chromium (hexavalent)</h3>,0.149 ppb,0.02 ppb,
70,City of Dallas,<h3>Haloacetic acids (HAA5)†</h3>,21.0 ppb,0.1 ppb,60 ppb
71,City of Dallas,<h3>Haloacetic acids (HAA9)†</h3>,27.3 ppb,0.06 ppb,
72,City of Dallas,<h3>Total trihalomethanes (TTHMs)†</h3>,33.4 ppb,0.15 ppb,80 ppb
73,City of Dallas,<h3>Chromium (total)</h3>,0.245 ppb,,100 ppb
74,City of Dallas,<h3>Molybdenum</h3>,0.150 ppb,40 ppb,
75,City of Dallas,<h3>Nitrate</h3>,0.0850 ppm,0.14 ppm,10 ppm
76,City of Dallas,<h3>Nitrate and nitrite</h3>,0.110 ppm,0.14 ppm,10 ppm
77,City of Dallas,<h3>Nitrite</h3>,0.01000 ppm,,1 ppm
78,City of Dallas,<h3>Strontium</h3>,0.0246 ppb,"1,500 ppb",
79,City of Dallas,<h3>Vanadium</h3>,1.01 ppb,21 ppb,
80,City of Dallas,,,,
81,"Monmouth, City of",<h3>Nitrate</h3>,5.50 ppm,0.14 ppm,10 ppm
82,"Monmouth, City of",<h3>Nitrate and nitrite</h3>,7.57 ppm,0.14 ppm,10 ppm
83,"Monmouth, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,4.82 ppb,0.15 ppb,80 ppb
84,"Monmouth, City of",<h3>Asbestos</h3>,0.13 MFL,,7 MFL
85,"Monmouth, City of",<h3>Fluoride</h3>,0.792 ppm,,4 ppm
86,"Monmouth, City of",,,,
87,Independence Water System,<h3>Haloacetic acids (HAA5)†</h3>,0.520 ppb,0.1 ppb,60 ppb
88,Independence Water System,<h3>Nitrate</h3>,2.33 ppm,0.14 ppm,10 ppm
89,Independence Water System,<h3>Nitrate and nitrite</h3>,2.77 ppm,0.14 ppm,10 ppm
90,Independence Water System,<h3>Total trihalomethanes (TTHMs)†</h3>,5.52 ppb,0.15 ppb,80 ppb
91,Independence Water System,<h3>Fluoride</h3>,0.248 ppm,,4 ppm
92,Independence Water System,,,,
93,"Antelope, City of",<h3>Arsenic</h3>,4.78 ppb,0.004 ppb,10 ppb
94,"Antelope, City of",<h3>Nitrate</h3>,0.682 ppm,0.14 ppm,10 ppm
95,"Antelope, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,6.92 ppb,0.15 ppb,80 ppb
96,"Antelope, City of",,,,
97,Barlow Water District,<h3>Arsenic</h3>,2.00 ppb,0.004 ppb,10 ppb
98,Barlow Water District,<h3>Total trihalomethanes (TTHMs)†</h3>,0.350 ppb,0.15 ppb,80 ppb
99,Barlow Water District,<h3>Barium</h3>,7.00 ppb,700 ppb,"2,000 ppb"
100,Barlow Water District,<h3>Nitrate</h3>,0.274 ppm,0.14 ppm,10 ppm
101,Barlow Water District,<h3>Nitrate and nitrite</h3>,0.280 ppm,0.14 ppm,10 ppm
102,Barlow Water District,,,,
103,Chenowith People's Utility District,<h3>Haloacetic acids (HAA5)†</h3>,2.46 ppb,0.1 ppb,60 ppb
104,Chenowith People's Utility District,<h3>Nitrate</h3>,0.895 ppm,0.14 ppm,10 ppm
105,Chenowith People's Utility District,<h3>Total trihalomethanes (TTHMs)†</h3>,12.0 ppb,0.15 ppb,80 ppb
106,Chenowith People's Utility District,,,,
107,City of The Dalles,<h3>Chromium (hexavalent)</h3>,0.101 ppb,0.02 ppb,
108,City of The Dalles,<h3>Haloacetic acids (HAA5)†</h3>,16.1 ppb,0.1 ppb,60 ppb
109,City of The Dalles,<h3>Haloacetic acids (HAA9)†</h3>,18.6 ppb,0.06 ppb,
110,City of The Dalles,<h3>Total trihalomethanes (TTHMs)†</h3>,18.5 ppb,0.15 ppb,80 ppb
111,City of The Dalles,<h3>Barium</h3>,16.4 ppb,700 ppb,"2,000 ppb"
112,City of The Dalles,<h3>Chlorate</h3>,134.6 ppb,210 ppb,
113,City of The Dalles,<h3>Chromium (total)</h3>,0.0273 ppb,,100 ppb
114,City of The Dalles,<h3>Fluoride</h3>,0.612 ppm,,4 ppm
115,City of The Dalles,<h3>Germanium</h3>,0.170 ppb,,
116,City of The Dalles,<h3>Manganese</h3>,32.8 ppb,100 ppb,
117,City of The Dalles,<h3>Molybdenum</h3>,0.845 ppb,40 ppb,
118,City of The Dalles,<h3>Nitrate</h3>,0.00727 ppm,0.14 ppm,10 ppm
119,City of The Dalles,<h3>Nitrate and nitrite</h3>,0.00762 ppm,0.14 ppm,10 ppm
120,City of The Dalles,<h3>Picloram</h3>,0.00526 ppb,166 ppb,500 ppb
121,City of The Dalles,<h3>Strontium</h3>,0.0892 ppb,"1,500 ppb",
122,City of The Dalles,<h3>Vanadium</h3>,0.558 ppb,21 ppb,
123,City of The Dalles,,,,
124,"Dufur, City of",<h3>Haloacetic acids (HAA5)†</h3>,0.910 ppb,0.1 ppb,60 ppb
125,"Dufur, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,1.10 ppb,0.15 ppb,80 ppb
126,"Dufur, City of",,,,
127,"Dufur, South Basin",<h3>Haloacetic acids (HAA5)†</h3>,3.90 ppb,0.1 ppb,60 ppb
128,"Dufur, South Basin",<h3>Total trihalomethanes (TTHMs)†</h3>,7.45 ppb,0.15 ppb,80 ppb
129,"Dufur, South Basin",,,,
130,Foley Lakes Mobile Home Park,<h3>Barium</h3>,19.0 ppb,700 ppb,"2,000 ppb"
131,Foley Lakes Mobile Home Park,<h3>Fluoride</h3>,1.01 ppm,,4 ppm
132,Foley Lakes Mobile Home Park,,,,
133,Hazel Dell Orchard,<h3>Nitrate</h3>,2.28 ppm,0.14 ppm,10 ppm
134,Hazel Dell Orchard,<h3>Nitrate and nitrite</h3>,2.40 ppm,0.14 ppm,10 ppm
135,Hazel Dell Orchard,<h3>Uranium</h3>,1.21 pCi/L,0.43 pCi/L,20 pCi/L
136,Hazel Dell Orchard,<h3>Barium</h3>,19.6 ppb,700 ppb,"2,000 ppb"
137,Hazel Dell Orchard,<h3>Chromium (total)</h3>,1.85 ppb,,100 ppb
138,Hazel Dell Orchard,<h3>Fluoride</h3>,0.347 ppm,,4 ppm
139,Hazel Dell Orchard,,,,
140,"Maupin, City Of",<h3>Haloacetic acids (HAA5)†</h3>,2.00 ppb,0.1 ppb,60 ppb
141,"Mosier, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,2.27 ppb,0.15 ppb,80 ppb
142,"Mosier, City of",<h3>Barium</h3>,37.0 ppb,700 ppb,"2,000 ppb"
143,"Mosier, City of",<h3>Fluoride</h3>,0.410 ppm,,4 ppm
144,"Mosier, City of",,,,
145,Pinewood Mobile Manor,<h3>Arsenic</h3>,0.550 ppb,0.004 ppb,10 ppb
146,Pinewood Mobile Manor,<h3>Haloacetic acids (HAA5)†</h3>,12.5 ppb,0.1 ppb,60 ppb
147,Pinewood Mobile Manor,<h3>Nitrate</h3>,9.51 ppm,0.14 ppm,10 ppm
148,Pinewood Mobile Manor,<h3>Nitrate and nitrite</h3>,3.57 ppm,0.14 ppm,10 ppm
149,Pinewood Mobile Manor,<h3>Total trihalomethanes (TTHMs)†</h3>,16.9 ppb,0.15 ppb,80 ppb
150,Pinewood Mobile Manor,<h3>Barium</h3>,29.2 ppb,700 ppb,"2,000 ppb"
151,Pinewood Mobile Manor,<h3>Chromium (total)</h3>,0.600 ppb,,100 ppb
152,Pinewood Mobile Manor,<h3>Fluoride</h3>,0.493 ppm,,4 ppm
153,Pinewood Mobile Manor,<h3>Toluene</h3>,1.80 ppb,150 ppb,"1,000 ppb"
154,Pinewood Mobile Manor,,,,
155,Rowena Crest Manor,<h3>Nitrate and nitrite</h3>,0.734 ppm,0.14 ppm,10 ppm
156,Rowena Crest Manor,<h3>Barium</h3>,1.67 ppb,700 ppb,"2,000 ppb"
157,Rowena Crest Manor,<h3>Cyanide</h3>,11.0 ppb,,200 ppb
158,Rowena Crest Manor,<h3>Fluoride</h3>,0.217 ppm,,4 ppm
159,Rowena Crest Manor,<h3>Nitrate</h3>,0.213 ppm,0.14 ppm,10 ppm
160,Rowena Crest Manor,<h3>Uranium</h3>,0.08 pCi/L,0.43 pCi/L,20 pCi/L
161,Rowena Crest Manor,,,,
162,Rowena Dell Water System,<h3>Total trihalomethanes (TTHMs)†</h3>,1.17 ppb,0.15 ppb,80 ppb
163,Rowena Dell Water System,<h3>Barium</h3>,19.6 ppb,700 ppb,"2,000 ppb"
164,Rowena Dell Water System,<h3>Fluoride</h3>,0.411 ppm,,4 ppm
165,Rowena Dell Water System,,,,
166,Sportsmans Park Water Association,<h3>Arsenic</h3>,9.59 ppb,0.004 ppb,10 ppb
167,Sportsmans Park Water Association,<h3>Fluoride</h3>,0.792 ppm,,4 ppm
168,Sportsmans Park Water Association,,,,
169,Tooley Water District,<h3>Haloacetic acids (HAA5)†</h3>,1.80 ppb,0.1 ppb,60 ppb
170,Tygh Valley Water District,<h3>Arsenic</h3>,1.91 ppb,0.004 ppb,10 ppb
171,Tygh Valley Water District,<h3>Nitrate</h3>,0.287 ppm,0.14 ppm,10 ppm
172,Tygh Valley Water District,<h3>Nitrate and nitrite</h3>,0.773 ppm,0.14 ppm,10 ppm
173,Tygh Valley Water District,<h3>Barium</h3>,6.60 ppb,700 ppb,"2,000 ppb"
174,Tygh Valley Water District,<h3>Fluoride</h3>,0.254 ppm,,4 ppm
175,Tygh Valley Water District,,,,
176,View Point Trailer Court,<h3>Barium</h3>,25.8 ppb,700 ppb,"2,000 ppb"
177,View Point Trailer Court,<h3>Fluoride</h3>,0.413 ppm,,4 ppm
178,View Point Trailer Court,<h3>Nitrate</h3>,0.101 ppm,0.14 ppm,10 ppm
179,View Point Trailer Court,<h3>Nitrate and nitrite</h3>,0.245 ppm,0.14 ppm,10 ppm
180,View Point Trailer Court,,,,
181,Wamic Water Association,<h3>Nitrate</h3>,1.03 ppm,0.14 ppm,10 ppm
182,Wamic Water Association,<h3>Nitrate and nitrite</h3>,0.897 ppm,0.14 ppm,10 ppm
183,Wamic Water Association,<h3>Barium</h3>,8.26 ppb,700 ppb,"2,000 ppb"
184,Wamic Water Association,<h3>Chromium (total)</h3>,1.23 ppb,,100 ppb
185,Wamic Water Association,,,,
186,Young Life,<h3>Arsenic</h3>,3.17 ppb,0.004 ppb,10 ppb
187,Young Life,<h3>Haloacetic acids (HAA5)†</h3>,28.7 ppb,0.1 ppb,60 ppb
188,Young Life,<h3>Total trihalomethanes (TTHMs)†</h3>,67.2 ppb,0.15 ppb,80 ppb
189,Young Life,<h3>Uranium</h3>,1.01 pCi/L,0.43 pCi/L,20 pCi/L
190,Young Life,<h3>Nitrate</h3>,0.173 ppm,0.14 ppm,10 ppm
191,Young Life,,,,
192,Arch Cape Water District,<h3>Haloacetic acids (HAA5)†</h3>,25.1 ppb,0.1 ppb,60 ppb
193,Arch Cape Water District,<h3>Nitrate</h3>,0.364 ppm,0.14 ppm,10 ppm
194,Arch Cape Water District,<h3>Nitrate and nitrite</h3>,0.328 ppm,0.14 ppm,10 ppm
195,Arch Cape Water District,<h3>Total trihalomethanes (TTHMs)†</h3>,48.6 ppb,0.15 ppb,80 ppb
196,Arch Cape Water District,<h3>Barium</h3>,5.13 ppb,700 ppb,"2,000 ppb"
197,Arch Cape Water District,,,,
198,"Astoria, City of",<h3>Haloacetic acids (HAA5)†</h3>,46.6 ppb,0.1 ppb,60 ppb
199,"Astoria, City of","<h3>Radium, combined (-226 &amp; -228)</h3>",1.80 pCi/L,0.05 pCi/L,5 pCi/L
200,"Astoria, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,48.0 ppb,0.15 ppb,80 ppb
201,"Astoria, City of",<h3>Nitrate</h3>,0.231 ppm,0.14 ppm,10 ppm
202,"Astoria, City of",,,,
203,Burnside Water Association,<h3>Haloacetic acids (HAA5)†</h3>,36.8 ppb,0.1 ppb,60 ppb
204,Burnside Water Association,"<h3>Radium, combined (-226 &amp; -228)*</h3>",1.80 pCi/L,0.05 pCi/L,5 pCi/L
205,Burnside Water Association,<h3>Total trihalomethanes (TTHMs)†</h3>,37.9 ppb,0.15 ppb,80 ppb
206,Burnside Water Association,<h3>Nitrate*</h3>,0.231 ppm,0.14 ppm,10 ppm
207,"Cannon Beach, City of",<h3>Haloacetic acids (HAA5)†</h3>,1.73 ppb,0.1 ppb,60 ppb
208,"Cannon Beach, City of",<h3>Nitrate</h3>,0.568 ppm,0.14 ppm,10 ppm
209,"Cannon Beach, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,6.03 ppb,0.15 ppb,80 ppb
210,"Cannon Beach, City of",,,,
211,Elderberry Nehalem Ws,<h3>Nitrate</h3>,1.21 ppm,0.14 ppm,10 ppm
212,Elderberry Nehalem Ws,,,,
213,Evergreen Acres,<h3>Haloacetic acids (HAA5)†</h3>,20.7 ppb,0.1 ppb,60 ppb
214,Evergreen Acres,<h3>Nitrate</h3>,0.504 ppm,0.14 ppm,10 ppm
215,Evergreen Acres,<h3>Total trihalomethanes (TTHMs)†</h3>,20.2 ppb,0.15 ppb,80 ppb
216,Evergreen Acres,,,,
217,Fernhill Community Water System,<h3>Haloacetic acids (HAA5)†</h3>,28.6 ppb,0.1 ppb,60 ppb
218,Fernhill Community Water System,"<h3>Radium, combined (-226 &amp; -228)*</h3>",1.80 pCi/L,0.05 pCi/L,5 pCi/L
219,Fernhill Community Water System,<h3>Total trihalomethanes (TTHMs)†</h3>,45.4 ppb,0.15 ppb,80 ppb
220,Fernhill Community Water System,<h3>Nitrate*</h3>,0.231 ppm,0.14 ppm,10 ppm
221,Gearhart Water Department,<h3>Arsenic</h3>,1.67 ppb,0.004 ppb,10 ppb
222,Gearhart Water Department,<h3>Haloacetic acids (HAA5)†</h3>,12.3 ppb,0.1 ppb,60 ppb
223,Gearhart Water Department,<h3>Total trihalomethanes (TTHMs)†</h3>,36.6 ppb,0.15 ppb,80 ppb
224,Gearhart Water Department,<h3>Barium</h3>,0.535 ppb,700 ppb,"2,000 ppb"
225,Gearhart Water Department,<h3>Fluoride</h3>,0.250 ppm,,4 ppm
226,Gearhart Water Department,<h3>Nitrate</h3>,0.1000 ppm,0.14 ppm,10 ppm
227,Gearhart Water Department,,,,
228,John Day Water District,<h3>Haloacetic acids (HAA5)†</h3>,28.7 ppb,0.1 ppb,60 ppb
229,John Day Water District,"<h3>Radium, combined (-226 &amp; -228)*</h3>",1.80 pCi/L,0.05 pCi/L,5 pCi/L
230,John Day Water District,<h3>Total trihalomethanes (TTHMs)†</h3>,29.2 ppb,0.15 ppb,80 ppb
231,John Day Water District,<h3>Nitrate*</h3>,0.231 ppm,0.14 ppm,10 ppm
232,Knappa Water Association,<h3>Haloacetic acids (HAA5)†</h3>,0.167 ppb,0.1 ppb,60 ppb
233,Knappa Water Association,<h3>Nitrate</h3>,0.109 ppm,0.14 ppm,10 ppm
234,Knappa Water Association,,,,
235,Olney-walluski Water Association,<h3>Haloacetic acids (HAA5)†</h3>,27.2 ppb,0.1 ppb,60 ppb
236,Olney-walluski Water Association,"<h3>Radium, combined (-226 &amp; -228)*</h3>",1.80 pCi/L,0.05 pCi/L,5 pCi/L
237,Olney-walluski Water Association,<h3>Total trihalomethanes (TTHMs)†</h3>,28.2 ppb,0.15 ppb,80 ppb
238,Olney-walluski Water Association,<h3>Nitrate*</h3>,0.231 ppm,0.14 ppm,10 ppm
239,Seaside Water Department,<h3>Haloacetic acids (HAA5)†</h3>,15.2 ppb,0.1 ppb,60 ppb
240,Seaside Water Department,<h3>Total trihalomethanes (TTHMs)†</h3>,33.8 ppb,0.15 ppb,80 ppb
241,Seaside Water Department,<h3>Nitrate</h3>,0.252 ppm,0.14 ppm,10 ppm
242,Seaside Water Department,<h3>p-Dichlorobenzene</h3>,0.0833 ppb,6 ppb,75 ppb
243,Seaside Water Department,,,,
244,Stanley Acres Water Association,<h3>Haloacetic acids (HAA5)†</h3>,11.5 ppb,0.1 ppb,60 ppb
245,Stanley Acres Water Association,<h3>Total trihalomethanes (TTHMs)†</h3>,54.3 ppb,0.15 ppb,80 ppb
246,Stanley Acres Water Association,<h3>Nitrate*</h3>,0.252 ppm,0.14 ppm,10 ppm
247,Stanley Acres Water Association,<h3>p-Dichlorobenzene*</h3>,0.0833 ppb,6 ppb,75 ppb
248,Sunset Lake Rv Park,<h3>Arsenic</h3>,9.00 ppb,0.004 ppb,10 ppb
249,Sunset Lake Rv Park,<h3>Haloacetic acids (HAA5)†</h3>,19.2 ppb,0.1 ppb,60 ppb
250,Sunset Lake Rv Park,<h3>Total trihalomethanes (TTHMs)†</h3>,51.9 ppb,0.15 ppb,80 ppb
251,Sunset Lake Rv Park,<h3>Nitrate</h3>,0.0201 ppm,0.14 ppm,10 ppm
252,Sunset Lake Rv Park,,,,
253,"Warrenton, City of",<h3>Haloacetic acids (HAA5)†</h3>,24.2 ppb,0.1 ppb,60 ppb
254,"Warrenton, City of",<h3>Nitrate</h3>,0.316 ppm,0.14 ppm,10 ppm
255,"Warrenton, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,39.5 ppb,0.15 ppb,80 ppb
256,"Warrenton, City of",,,,
257,Wauna Water District,<h3>Nitrate</h3>,0.514 ppm,0.14 ppm,10 ppm
258,Wauna Water District,<h3>Total trihalomethanes (TTHMs)†</h3>,0.400 ppb,0.15 ppb,80 ppb
259,Wauna Water District,<h3>Haloacetic acids (HAA5)†</h3>,0.143 ppb,0.1 ppb,60 ppb
260,Wauna Water District,,,,
261,Westport Heights,<h3>Nitrate</h3>,0.336 ppm,0.14 ppm,10 ppm
262,Westport Heights,<h3>Nitrate and nitrite</h3>,0.321 ppm,0.14 ppm,10 ppm
263,Westport Heights,<h3>Barium</h3>,8.26 ppb,700 ppb,"2,000 ppb"
264,Westport Heights,<h3>Fluoride</h3>,0.160 ppm,,4 ppm
265,Westport Heights,,,,
266,Westport Water Association,<h3>Haloacetic acids (HAA5)†</h3>,0.389 ppb,0.1 ppb,60 ppb
267,Westport Water Association,<h3>Nitrate*</h3>,0.514 ppm,0.14 ppm,10 ppm
268,Westport Water Association,<h3>Total trihalomethanes (TTHMs)†</h3>,2.08 ppb,0.15 ppb,80 ppb
269,Westport Water Association,,,,
270,Wickiup Water District,<h3>Haloacetic acids (HAA5)†</h3>,17.3 ppb,0.1 ppb,60 ppb
271,Wickiup Water District,<h3>Nitrate</h3>,0.847 ppm,0.14 ppm,10 ppm
272,Wickiup Water District,<h3>Total trihalomethanes (TTHMs)†</h3>,29.5 ppb,0.15 ppb,80 ppb
273,Wickiup Water District,,,,
274,Willow Dale Water District,<h3>Haloacetic acids (HAA5)†</h3>,29.3 ppb,0.1 ppb,60 ppb
275,Willow Dale Water District,"<h3>Radium, combined (-226 &amp; -228)*</h3>",1.80 pCi/L,0.05 pCi/L,5 pCi/L
276,Willow Dale Water District,<h3>Total trihalomethanes (TTHMs)†</h3>,36.7 ppb,0.15 ppb,80 ppb
277,Willow Dale Water District,<h3>Nitrate*</h3>,0.231 ppm,0.14 ppm,10 ppm
278,Youngs River Lewis & Clark Water District,<h3>Haloacetic acids (HAA5)†</h3>,37.7 ppb,0.1 ppb,60 ppb
279,Arlington City Water Supply,<h3>Arsenic</h3>,2.68 ppb,0.004 ppb,10 ppb
280,Arlington City Water Supply,<h3>Haloacetic acids (HAA5)†</h3>,2.13 ppb,0.1 ppb,60 ppb
281,Arlington City Water Supply,<h3>Total trihalomethanes (TTHMs)†</h3>,16.2 ppb,0.15 ppb,80 ppb
282,Arlington City Water Supply,<h3>Barium</h3>,33.8 ppb,700 ppb,"2,000 ppb"
283,Arlington City Water Supply,<h3>Chromium (total)</h3>,1.92 ppb,,100 ppb
284,Arlington City Water Supply,<h3>Fluoride</h3>,1.42 ppm,,4 ppm
285,Arlington City Water Supply,<h3>Uranium</h3>,0.79 pCi/L,0.43 pCi/L,20 pCi/L
286,Arlington City Water Supply,,,,
287,Condon Heights Ws,<h3>Nitrate</h3>,2.03 ppm,0.14 ppm,10 ppm
288,Condon Heights Ws,,,,
289,"Condon, City of",<h3>Arsenic</h3>,1.43 ppb,0.004 ppb,10 ppb
290,"Condon, City of",<h3>Cadmium</h3>,0.600 ppb,0.04 ppb,5 ppb
291,"Condon, City of",<h3>Haloacetic acids (HAA5)†</h3>,3.69 ppb,0.1 ppb,60 ppb
292,"Condon, City of",<h3>Nitrate</h3>,2.28 ppm,0.14 ppm,10 ppm
293,"Condon, City of",<h3>Nitrate and nitrite</h3>,2.22 ppm,0.14 ppm,10 ppm
294,"Condon, City of",<h3>Total trihalomethanes (TTHMs)†</h3>,14.4 ppb,0.15 ppb,80 ppb
295,"Condon, City of",<h3>Uranium</h3>,1.34 pCi/L,0.43 pCi/L,20 pCi/L
296,"Condon, City of",<h3>Barium</h3>,10.1 ppb,700 ppb,"2,000 ppb"
297,"Condon, City of",<h3>Fluoride</h3>,0.383 ppm,,4 ppm
298,"Condon, City of",<h3>Selenium</h3>,0.450 ppb,30 ppb,50 ppb
299,"Condon, City of",,,,
300,Medford Water Commission,<h3>Chromium (hexavalent)</h3>,0.159 ppb,0.02 ppb,
301,Medford Water Commission,<h3>Haloacetic acids (HAA5)†</h3>,6.11 ppb,0.1 ppb,60 ppb
302,Medford Water Commission,<h3>Haloacetic acids (HAA9)†</h3>,6.03 ppb,0.06 ppb,
303,Medford Water Commission,<h3>Total trihalomethanes (TTHMs)†</h3>,7.97 ppb,0.15 ppb,80 ppb
304,Medford Water Commission,<h3>Barium</h3>,3.57 ppb,700 ppb,"2,000 ppb"
305,Medford Water Commission,<h3>Chlorate</h3>,202.3 ppb,210 ppb,
