Utility,Location,PeopleServed,ViolationPoints
Hillcrest Mobile Estates,"Yucaipa, CA",900,130
Ramona Water Company,"Anza, CA",250,130
East Orosi Community Services District,"Orosi, CA",700,127
Wilson Road Water Community,"Bakersfield, CA",72,122
North Davis Meadows,"Woodland, CA",314,120
Valley Ford Water Association,"Valley Ford, CA",40,115
Lakeview Ranchos Mutual Water Company,"Weldon, CA",120,105
Saint Anthony Trailer Park,"Mecca, CA",300,100
Riverside Water Company,"Rocky Ford, CO",90,121
Sun Meadow Estates,"Glenwood Springs, CO",50,95
Beehive Water Company No. 1,"Cheraw, CO",154,95
Brighton Village Llc,"Wheat Ridge, CO",77,90
High Valley Mobile Home Park,"Alamosa, CO",85,86
Vroman Water Company,"Manzanola, CO",125,84
"Cheraw, Town of","Cheraw, CO",254,82
"Walsenburg, City of","Walsenburg, CO",3230,80
"Somerset, Town of","Somerset, CO",100,80
Valley Water Company,"Manzanola, CO",270,76
"Manzanola, Town of","Manzanola, CO",497,75
Fayette Water Company,"Manzanola, CO",75,71
Peak View Park Llc,"Woodland Park, CO",70,71
North Holbrook Water Company,"Rocky Ford, CO",58,71
Patterson Valley Water Company,"Rocky Ford, CO",96,70
May Valley Wa,"Wiley, CO",1500,70
Sheridan Lake Water Company,"Sheridan Lake, CO",160,70
South Swink Water Company,"La Junta, CO",607,70
Eureka Water Company,"Swink, CO",498,70
Wishing Well Motel,"Colorado Springs, CO",34,67
"Peetz, Town of","Peetz, CO",295,65
East End Wa,"La Junta, CO",70,62
Holbrook Center Soft Wa,"La Junta, CO",51,60
Elephant Rock Mobile Home Park,"Castle Rock, CO",60,46
Louviers Water & Sanitation District,"Castle Rock, CO",238,45
West Grand Valley Wa,"Rocky Ford, CO",100,40
Panoramic Mesa Subdivision,"Silt, CO",45,35
Ymca Rockies Wind River,"Estes Park, CO",3730,32
Asgard Subdivision Wa,"Silt, CO",80,30
"Rye, Town of","Rye, CO",745,27
Quinebaug Mobile Home Park,"Quinebaug, CT",205,22
Miami Beach Water Company,"Old Lyme, CT",440,14
Cornwall Water Company,"Cornwall Bridge, CT",48,14
Village Market Place,"Watertown, CT",462,11
Chippanydale Association,"Bristol, CT",52,11
298-302 Albany Turnpike,"Canton, CT",28,11
Hemlock Apartments,"Madison, CT",72,9
Abby Water LLC,"Thompson, CT",100,8
Lake Lillinonah Shores Condos,"Brookfield, CT",130,8
Lyme Academy Apartments LLC,"Trumbull, CT",48,8
Connecticut Correctional Institute,"Wethersfield, CT",9728,7
Ridgeview Heights,"Waterbury, CT",96,7
Birch Hills Condominiums,"Waterbury, CT",132,7
Lakeview Mobile Home Park,"Norwich, CT",99,6
Meadowbrook Terrace Mobile Home Park,"New Haven, CT",158,6
Mallard Cove Condominium Association,"East Hampton, CT",177,6
Eldridge Elderly Housing,"Morris, CT",40,6
Jensens Inc. Marina Cove Residential,"Uncasville, CT",70,6
Northstone Gardens,"Stamford, CT",79,6
South Norwalk Electric and Water,"Wilton, CT",42000,5
Southbury Training School,"Southbury, CT",1606,5
Rumsey Hall School,"Wastington, CT",398,5
Gaia Gardens,"Mamaroneck, CT",276,5
Hillside Condominiums,"East Hartford, CT",96,5
Norwich Public Utilities,"Norwich, CT",36067,5
Z Inc.,"Cobalt, CT",130,5
Rogers Mobile Home Park - Groton,"Mystic, CT",57,5
Hunting Lodge Apartments,"Willington, CT",115,5
Grant Hill Associates Inc.,"Bloomfield, CT",97,5
Knollwood Apartments,"Willington, CT",312,4
Joint Base Anacostia - Bolling,"Washington, DC",16559,10
Naval Station Washington - WNY,"Washington Navy Yard, DC",15690,6
Holiday Estates,"Millsboro, DE",37,11
Selbyville Water Department,"Selbyville, DE",2157,5
Pinnacle Rehabilitation & Health Center,"Smyrna, DE",256,5
Barkers Landing,"Magnolia, DE",498,5
Hilltop Trailer Park,"Denton, DE",65,3
Granada Mobile Home Court,"Magnolia, DE",138,3
Oak Grove Estates,"Dover, DE",150,2
Villas of Grandview,"Dover, DE",108,2
Pine Ridge Mobile Home Park,"Seaford, DE",222,1
Sussex Manor Mobile Home Park,"Dagsboro, DE",49,1
Forest Park,"Millsboro, DE",46,1
Donovan/smith Mobile Home Park,"Pittsford, DE",369,1
Bethany Crest LLC,"Clarksville, DE",60,1
Countryside Hamlet,"Frankford, DE",66,1
Woodlands Of Millsboro Pump District,"Dover, DE",174,1
Brumbley's Family Park,"Milton, DE",48,1
"Apalachicola, City of","Apalachicola, FL",4710,99
R. C. Willis WTP (City of Palatka),"Palatka, FL",11900,70
"Dundee, Town of","Dundee, FL",3824,61
Cedar Key Water Treatment Plant,"Cedar Key, FL",704,50
Riverbend Estates,"Labelle, FL",120,45
Micanopy Water System,"Micanopy, FL",605,40
East Putnam Regional,"East Palatka, FL",1500,39
Perry Water System,"Perry, FL",8900,31
"Coleman, City of","Coleman, FL",824,30
Oak Park LLC,"Okeechobee, FL",100,30
High Springs Water Treatment Plant,"High Springs, FL",5795,28
Wakulla Regional (aka Gulf Coast),"Quincy, FL",6572,28
Port Buena Vista,"East Palatka, FL",135,27
J & S Fish Camp,"Okeechobee, FL",40,26
Eagle Lakes WTP,"Bunnell, FL",231,25
Shell Creek Park,"Punta Gorda, FL",465,21
Yankeetown Water Treatment Plant,"Yankeetown, FL",504,20
Rpuma,"Crescent City, FL",1000,20
Beverly Beach Water System,"Bunnell, FL",1413,20
Kissimmee River Park and Marina,"Lake Wales, FL",425,20
Oak Tree Circle Park Llc,"Bushnell, FL",70,20
City of Quincy,"Quincy, FL",10112,17
Lake Ajay Village S/d (consec.),"St. Cloud, FL",220,15
Palm Circle Cottages and Mobile Home Park,"Jensen Beach, FL",99,15
Floridian Sandalwood Mhc,"St Cloud, FL",450,15
Bentwood Subdivision,"Leesbrug, FL",60,15
Okeechobee Utility Authority,"Okeechobee, FL",20000,15
North Charlotte Water Works,"Punta Gorda, FL",90,15
Central Water Works Inc.,"Century, FL",2522,13
City of Sunrise,"Sunrise, FL",79550,11
Lowndes County-spring Creek S/d,"Valdosta, GA",2959,95
Petross,"Vidalia, GA",78,47
Hahira,"Hahira, GA",3562,45
Valley Mobile Home Community,"Newnan, GA",102,41
Gibson,"Gibson, GA",700,40
Warrenton,"Warranton, GA",2800,35
Lowndes County-alapaha Plantation S/d,"Valdosta, GA",554,30
Remerton,"Remerton, GA",1345,30
Talbot County Water Works,"Talbotton, GA",3369,30
Timber Ridge Subdivision,"Savannah, GA",42,25
Cherokee Heights Mobile Home Park,"Douglas, GA",60,25
Camak,"Camak, GA",131,20
Upton Junction Phase 11,"Douglas, GA",185,18
Ringgold,"Ringgold, GA",2743,15
Ephesus,"Roopville, GA",1000,10
Rustica Estates,"Fayetteville, GA",88,10
East Point,"East Point, GA",33712,10
Jacksonville,"Jacksonville, GA",263,10
Lexington,"Lexington, GA",814,10
Monica Woods Subdivision,"Fayetteville, GA",96,10
Koinonia-forest Park,"Americus, GA",62,8
Koinonia Village,"Americus, GA",78,8
Arlington Terrace Mobile Home Park,"Americus, GA",62,7
Jeffersonville,"Jeffersonville, GA",2204,7
Southern Hills Subdivision,"Americus, GA",101,7
Holiday Mobile Home Park,"Savannah, GA",94,7
Graystone Village,"Americus, GA",75,7
Grove Park Mobile Home Park,"Douglas, GA",239,6
Buena Vista,"Buena Vista, GA",1588,6
Carters Lake Estates,"Ellijay, GA",148,5
Hoolehua,"Kaunakakai, HI",2400,1
Mountain Home Air Force Base,"Mountain Home Afb, ID",7500,91
Mission Creek Water Association,"Bonners Ferry, ID",191,85
Filer Water Works,"Filer, ID",2500,75
Drake Subdivision,"Caldwell, ID",98,60
Meadowlark Trailer Court,"Ammon, ID",45,50
Garden Valley Ranchettes Homeowners,"Garden Valley, ID",78,49
Meander Point Subdivision,"Twin Falls, ID",140,41
Fernan Estates Corporation,"Coeur D'alene, ID",28,20
Elk City Water and Sewer Association,"Elk City, ID",320,20
"Challis, City of","Challis, ID",847,17
Sunnyside Park,"Lenore, ID",40,13
Farko Water System Inc.,"Sagle, ID",55,13
Sunnyridge I Subdivision,"Nampa, ID",43,12
"Ferdinand, City of","Ferdinand, ID",145,12
Wilderness Ranch Owners Association Inc.,"Boise, ID",525,11
Grand View City Of,"Grand View, ID",352,11
Rolling Meadows Ranch,"Athol, ID",36,11
Lawyers Creek Water District,"Kamiah, ID",50,10
Pepperwood Crossing/rocky Mnt Utilities,"Rigby, ID",336,10
Wayside Estates,"Heyburn, ID",50,10
"Juliaetta, City of","Juliaetta, ID",609,10
Kimpton Acres Third Subdivision,"Middleton, ID",88,10
Oakley Valley Water Corporation,"Oakley, ID",500,10
Hi View Water,"Kuna, ID",55,9
Countryside Village,"Twin Falls, ID",108,8
Evergreen Heights Subdivision,"Soda Springs, ID",25,8
"Preston, City of","Preston, ID",5230,7
Red Rock Water Llc,"Troy, ID",60,7
Sunbeam Water,"Rockland, ID",60,7
"Harrison, City of","Harrison, ID",255,7
Triangle Mobile Home Park,"Clermont, IL",90,96
Donnellson,"Donnellson, IL",210,36
Greenfield,"Greenfield, IL",1200,32
North Tazewell Public Water District,"East Peoria, IL",8300,25
De Land,"De Land, IL",450,20
Highland Lake Water Company,"Grayslake, IL",36,18
Vermont,"Vermont, IL",660,15
Tolono,"Tolono, IL",2700,15
Hyde-a-way Lakes,"Yorkville, IL",50,11
Hillview,"Hillview, IL",150,10
Table Grove,"Table Grove, IL",416,10
Mendota,"Mendota, IL",7273,10
Stelle Community Association,"Stelle, IL",100,7
Pearl City,"Pearl City, IL",780,7
Cropsey Mutual Water Association,"Cropsey, IL",31,7
Winslow,"Winslow, IL",350,6
Sparta,"Sparta, IL",4600,6
Unity Water Corporation,"Sherrard, IL",90,6
Family Manufactured Home Community LLC,"Winfield, IL",240,6
Fulton,"Fulton, IL",3481,5
Coal City,"Coal City, IL",5587,5
Green Meadow Estates Of Rockford Llc,"Hillsborough, IL",970,5
Fox River Grove,"Fox River Grove, IL",4854,5
Rainbow Lane Mobile Home Park,"Stillman Valley, IL",85,5
Lockport Township Water System,"Joliet, IL",2610,5
Lisbon North Inc.,"Morris, IL",25,5
Lynwood 3rd Addition,"Geneseo, IL",100,5
Malden,"Malden, IL",348,5
Byron,"Byron, IL",4743,5
Penfield Public Water District,"Penfield, IL",150,5
Tall Oaks Lake Corporation,"Morgantown, IN",42,69
Montezuma Municipal Utility,"Montezuma, IN",1022,43
North Vernon Water Department,"North Vernon, IN",6500,30
Culvers Hill - North Webster,"Nappanee, IN",75,30
Beechwood Mobile Home Park,"Michigan City, IN",63,27
Westport Water Company,"Westport, IN",1600,25
Country Acres and Association Llc,"Decatur, IN",25,21
Willow Springs Mobile Home Park,"Greenfield, IN",25,19
Valley View Mobile Home Park,"Lafayette, IN",50,17
Zionsville Mobile Home Park Trust,"Indianapolis, IN",57,15
Springhill Mobile Home Court,"Laporte, IN",92,14
Oakridge Estates,"Cutler Bay, IN",50,12
Valley View Estates,"Cutler Bay, IN",200,12
Colonial Mobile Court,"Michigan City, IN",99,12
Salem Water Works,"Salem, IN",8200,11
Green Acres Mobile Home Park,"Troy, IN",500,11
Windstar Park Inc.,"Claypool, IN",70,11
Staunton Municipal Water,"Staunton, IN",534,10
Laurel Water Department,"Laurel, IN",560,10
Kirklin Water Department,"Kirklin, IN",788,10
Harris Hills Mobile Home Park,"Anderson, IN",35,9
Greensburg Municipal Water Works,"Greensburg, IN",12000,8
George Ade Memorial Health Care Center,"Brook, IN",140,8
Swayzee Water Utility,"Swayzee, IN",975,8
Argos Municipal Water Plant,"Argos, IN",1680,7
Deer Creek Estates Home Water Association,"Galveston, IN",265,7
Hilltop Ridge Apartments Phase Two,"Indianapolis, IN",29,7
Walton Water Works,"Walton, IN",1040,6
Riley Resort Land Trust,"Pierceton, IN",39,6
Hammond Water Works Department,"Hammond, IN",78384,6
Gallery Acres West,"Solon, IA",43,91
Macbride Pointe Third Master Maintenance,"Kalona, IA",25,60
Knapp Mobile Home Court No. 4,"Dubuque, IA",65,48
Mallard Water Supply,"Mallard, IA",277,40
Dedham Water Supply,"Dedham, IA",266,37
Plover Water Supply,"Storm Lake, IA",77,35
Knierim Water Supply,"Knierim, IA",60,20
Oak Ridge Lake Estates,"Center Point, IA",88,20
Keystone Water Supply,"Keystone, IA",622,10
Valley View Water Association,"Missouri Valley, IA",65,10
Stockport Water Supply,"Stockport, IA",296,7
Southfork Association,"Walford, IA",28,6
Armstrong Water Supply,"Armstrong, IA",943,6
New Market Water Supply,"New Market, IA",415,5
Mccallsburg Water Supply,"Mc Callsburg, IA",333,5
Lanesboro Water Works,"Storm Lake, IA",121,5
Woodward Resource Center,"Woodward, IA",1370,5
Sunset Hills Estates Part 2,"Kalona, IA",45,5
Poweshiek Water Association (iac),"Tama, IA",2000,5
Craig Water Works,"Ireton, IA",96,4
Shiloh,"Kalona, IA",118,3
Monti-view Mobile Home Park,"Monticello, IA",60,3
Massena Water Supply,"Massena, IA",355,2
Granger Muni Water Supply,"Granger, IA",1244,2
Oak Valley,"Toddville, IA",154,2
Blairs Ferry Manor,"Toddville, IA",75,1
Woodward Water Supply,"Woodward, IA",1466,1
Crestwood Acres,"Toddville, IA",142,1
Country Manor Estates,"Toddville, IA",228,1
Vern Acres (oliphant Addition),"Toddville, IA",150,1
"Republic, City of","Republic, KS",108,170
"Ford, City of","Ford, KS",217,148
"Elk City, City of","Elk City, KS",294,97
"Severy, City of","Severy, KS",230,95
"Englewood, City of","Englewood, KS",69,92
"Woodbine, City of","Woodbine, KS",167,80
Western Acres Mobile Home Court,"Hutchinson, KS",30,74
"Elmdale, City of","Elmdale, KS",52,65
"Copeland, City of","Copeland, KS",298,60
"Bunker Hill, City of","Bunker Hill, KS",95,56
"Longton, City of","Longton, KS",302,40
"Hope, City of","Hope, KS",334,36
"Barnard, City of","Barnard, KS",65,35
"Highland, City of","Highland, KS",1001,30
"Plainville, City of","Plainville, KS",1837,26
"Randall, City of","Randall, KS",62,26
Osborne County Rural Water District 2,"Natoma, KS",55,25
Neosho County Rural Water District 1c,"Erie, KS",670,24
Wilson County Rural Water District 4,"Neodesha, KS",293,23
"Princeton, City of","Princeton, KS",271,20
"Oakley, City of","Oakley, KS",2108,20
Reno County Rural Water District 101,"South Hutchinson, KS",200,20
"Sylvia, City of","Sylvia, KS",206,20
"Clayton, City of","Clayton, KS",56,20
"Paxico, City of","Paxico, KS",212,20
"Waterville, City of","Waterville, KS",639,20
Franklin County Rural Water District 3,"Princeton, KS",85,16
Franklin County Rural Water District 1,"Ottawa, KS",665,15
"Prescott, City of","Prescott, KS",269,14
Ellsworth County Rural Water District 1,"Ellsworth, KS",2626,13
Mountain Water District #1 Marrow Bone,"Pikeville, KY",48286,75
Martin Water Department,"Martin, KY",1167,50
Whitley County Water District,"Williamsburg, KY",9825,10
Pikeville Water Department,"Pikeville, KY",9638,10
Muhlenberg County Water District,"Greenville, KY",16845,10
Lewisburg Water Works,"Lewisburg, KY",3119,10
Benham Water Plant,"Benham, KY",855,9
Bell County Forestry Camp,"Pineville, KY",275,6
Jackson Municipal Water Works,"Jackson, KY",4704,5
Clay Water Works,"Clay, KY",1287,5
Monticello Water & Sewer Commission,"Monticello, KY",21000,5
Booneville Water and Sewer,"Booneville, KY",5346,5
South Hopkins Water District,"Dawson Springs, KY",8440,5
Prestonsburg City Utilities,"Prestonsburg, KY",20368,5
North Mclean County Water District,"Livermore, KY",3879,5
Worthington Municipal Water Works,"Worthington, KY",1673,2
Berea Municipal Utilities,"Berea, KY",9972,1
Cave Run Regional Water Commission,"Wellington, KY",25,1
Judy Water Association,"Mt. Sterling, KY",5539,1
Jeffersonville Water System,"Jeffersonville, KY",5335,1
Beaver Dam Municipal Water & Sewer,"Beaver Dam, KY",3901,1
Hartford Municipal Water Works,"Hartford, KY",3119,1
Symsonia Water District,"Symsonia, KY",936,1
Farmdale Water District,"Frankfort, KY",8203,1
Woodson Bend Property Owners Association,"Bronston, KY",1455,1
North Manchester Water Association,"Manchester, KY",5332,1
East Casey County Water District,"Liberty, KY",12460,1
Village of Calvin Water System,"Calvin, LA",591,127
Belmont Waterworks Inc.,"Belmont, LA",2805,126
Litroe Water System,"Marion, LA",369,119
Town of Ferriday Water System,"Ferriday, LA",4193,114
Spring Creek Subdivision Water System,"West Monroe, LA",324,113
Salem Water System,"Farmerville, LA",753,112
Union Parish Waterworks District 1,"Farmerville, LA",1626,106
Newellton Water System,"Newellton, LA",1100,106
Ajax Beulah Water System,"Marthaville, LA",453,105
Bel-di-gil Water System,"Belcher, LA",1132,105
Vixen Water System East,"Chatham, LA",486,104
Jones Mcginty Water System,"Jones, LA",801,104
Concord Water System,"Marion, LA",426,102
Joyce Water Supply,"Mandeville, LA",474,102
River Ridge Estates Water System,"Youngsville, LA",75,102
Wards Chapel Water System,"Farmerville, LA",1350,102
Ebarb Wwks District # 1 - N Ebarb/belmont,"Zwolle, LA",450,101
Alberta Water System,"Castor, LA",1860,101
Hudson Gaars Mill Water System,"Dodson, LA",660,101
Pleasant Hills-crossroads Water Systems,"Joyce, LA",840,100
Indian Village Water System,"Calhoun, LA",1686,100
Cadeville Water District,"West Monroe, LA",4800,100
Village of Georgetown Water Supply,"Georgetown, LA",302,97
Chatham Water System,"Chatham, LA",1137,97
Linville-haile Water System,"Marion, LA",1635,96
Town of Tullos Water System,"Tullos, LA",792,96
Sardis Water System,"Gilbert, LA",1404,96
Ebarb Wwks District #1 - North Ebarb,"Zwolle, LA",1722,96
Fairview Union Water System,"Coushatta, LA",2205,95
Red Hill Waterworks Inc.,"Georgetown, LA",1872,95
Mars Hill and Blaine Water Company,"Mars Hill, ME",1800,70
Long Pond Water District,"Sullivan, ME",373,35
Southwest Harbor Water & Sewer District,"Southwest Harbor, ME",2428,22
Boudreau Trailer Park,"Princeton, ME",50,11
Birch Tree Meadows Mobile Home Park,"Hancock, ME",105,8
Pine Village,"Presque Isle, ME",80,8
Indian Township Tribal Water System,"Princeton, ME",713,6
Millstone Apartments,"Harpswell, ME",97,6
Allen Water Company,"Columbia Falls, ME",68,5
The Pines At Arundel,"Englewood, ME",105,5
Limerick Mobile Home Park,"Limerick, ME",115,5
Boulier Place Apartments,"Hermon, ME",60,5
Birch Haven Trailer Park,"Lamoine, ME",43,5
South Berwick Water District,"South Berwick, ME",3360,5
Buckfield Village Corporation,"Hebron, ME",425,5
Solon Water District,"Solon, ME",438,5
Oxford Water District,"Norway, ME",950,5
Golden Gate Trailer Park,"Presque Isle, ME",218,4
Happy Trails Mobile Home Park,"Sabattus, ME",33,4
Town and Country Ways Mobile Home Park,"Benton, ME",75,3
Pine Tree Mobile Estates,"Farmington Hills, ME",475,3
Elliott Apartments,"Owls Head, ME",55,3
Pines Mobile Home Park LLC,"Damariscotta, ME",50,3
Willow Brook Mobile Home Park,"Hermon, ME",75,3
West Paris Water District,"West Paris, ME",578,2
Houlton Mobile Home Park,"Houlton, ME",140,2
Havasu Pines Mobile Home Park #1,"Orono, ME",65,2
Hermon Mobile Home Park LLC,"Hermon, ME",43,2
Marshwood Estates,"Dover, ME",233,2
South Penobscot Water Association,"Penobscot, ME",38,2
Sunset Lakes Mobile Home Park,"Berlin, MD",48,9
Chapel Hill Nursing Center,"Randallstown, MD",125,7
Town of Cecilton,"Cecilton, MD",477,6
Town of Snow Hill,"Princess Anne, MD",2409,5
Reliance Mobile Home Park,"Denton, MD",200,5
Fort Detrick,"Frederick, MD",7900,5
Pine Hills,"Newark, MD",953,5
Apostolic Towers,"Baltimore, MD",200,4
Claiborne,"Claiborne, MD",60,3
Hart Heritage,"Street, MD",37,3
Perry Point V.a. Medical Center,"Perry Point, MD",2000,2
Taylors Mobile Home Park,"Greensboro, MD",27,2
Barrelville,"Mt. Savage, MD",130,2
Cook's Trailer Court (aka Garrett Tp),"Hollywood, MD",120,2
Graymount Apartments,"Perryville, MD",27,2
The Neighborhoods At St. Elizabeth,"Baltimore, MD",162,2
Idlewood Park,"Crofton, MD",320,1
Town of Rising Sun,"Rising Sun, MD",2200,1
Swan Point,"La Plata, MD",945,1
Town of Middletown,"Middletown, MD",4288,1
New Design - Frederick County,"Frederick, MD",49200,1
Christmas Tree Farm Trailer Park,"Leonardtown, MD",100,1
Sandy Hook,"Williamsport, MD",220,1
Town of Delmar,"Delmar, MD",4500,1
Phoenix,"Baltimore, MD",31,1
Tebbston On Magothy,"Columbia, MD",52,1
Lyons Creek Estates,"Crofton, MD",750,1
Maryland Manor Mobile Home Park,"Bethesda, MD",810,1
Patuxent Mobile Estates,"Lothian, MD",450,1
