,Utility name,City,People served,Zip
0,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97107
1,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97107
2,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97107
3,Netarts Water District,"Netarts, OR","Population served:1,800",97107
4,"Nehalem, City of","Nehalem, OR","Population served:1,700",97107
0,Bley-was Heights Water System,Bly,Population served: 42,97621
1,Bly Water District,Bly,Population served: 352,97621
2,Chiloquin Municipal Water Department,Chiloquin,Population served: 730,97621
3,Collier Lane Homeowners Association,Klamath Falls,Population served: 60,97621
4,Crescent Water Supply & Improvement District,Crescent,Population served: 900,97621
5,Crossroads Mobile Home Park,Klamath Falls,Population served: 150,97621
6,Falcon Heights,Klamath Falls,Population served: 559,97621
7,Gilchrist Water System LLC,Gilchrist,Population served: 440,97621
8,Keno Water Co. Inc.,Keno,Population served: 290,97621
9,Klamath Falls Water Department,Klamath Falls,"Population served: 40,475",97621
10,Lakeside Mobile Home & Rv Park,Klamath Falls,Population served: 110,97621
11,Malin Municipal Water,Malin,Population served: 815,97621
12,Merrill Water Department,Merrill,Population served: 907,97621
13,Nps Annie Springs,Crater Lake,Population served: 200,97621
14,Oregon Shores Beach Club Inc.,Chiloquin,Population served: 352,97621
15,Oregon Shores Recreation Club,Chiloquin,Population served: 275,97621
16,Pine Grove Water District (klamath),Klamath Falls,Population served: 180,97621
17,Pinecrest Water Company,Klamath Falls,Population served: 78,97621
18,Pristine Water Source LLC,Klamath Falls,Population served: 250,97621
19,Round Lake Water Utilities,Klamath Falls,Population served: 250,97621
20,Oregon Water Utilities - Mountain Lakes,Klamath Falls,Population served: 770,97621
21,Shield Crest Condos,Klamath Falls,Population served: 45,97621
22,Shield Crest Water Association,Klamath Falls,Population served: 61,97621
23,Skyline View District Improvement,Klamath Falls,Population served: 250,97621
24,Sportsmans Paradise Motel/tc,Klamath Falls,Population served: 52,97621
25,Sprague River Water Association,Sprague River,Population served: 60,97621
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97004
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97004
0,Bend Water Department,"Bend, OR","Population served:62,091",97701
1,Redmond Water Department,"Redmond, OR","Population served:27,427",97701
2,Avion Water Company - Avion,"Bend, OR","Population served:31,700",97701
3,"Prineville, City of","Prineville, OR","Population served:9,645",97701
4,Roats Water System,"Bend, OR","Population served:4,500",97701
5,Agate Water System,"Bend, OR","Population served:2,925",97701
6,Sunriver Water LLC/sunriver Utilities,"Sunriver, OR","Population served:4,323",97701
7,"Sisters, City of","Sisters, OR","Population served:2,700",97701
8,Water Wonderland Improvement District 2,"Bend, OR","Population served:1,600",97701
9,"La Pine, City of","Lapine, OR","Population served:1,600",97701
9,Terrebonne Domestic Water District,"Terrebonne, OR","Population served:1,400",97702
0,Black Mountain Water District,Heppner,Population served: 43,97818
1,"Boardman, City of",Boardman,"Population served: 3,500",97818
2,Country Garden Estates Mobile Home Park,Irrigon,Population served: 175,97818
3,"Heppner, City of",Heppner,"Population served: 1,291",97818
4,"Ione, City of",Ione,Population served: 330,97818
5,"Irrigon, City of",Irrigon,"Population served: 1,885",97818
6,"Lexington, City Of",Lexington,Population served: 255,97818
0,Portland Water Bureau,"Portland, OR","Population served:614,059",97009
3,Cty of Gresham,"Gresham, OR","Population served:73,932",97009
4,Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97009
0,Burlington Water District,Newberg,Population served: 340,97010
1,Wapato Moorage Association,Portland,Population served: 74,97010
2,Manna House Church,Portland,Population served: 300,97010
3,City of Troutdale,Troutdale,"Population served: 16,020",97010
4,Corbett Water District,Corbett,"Population served: 3,300",97010
6,"Fairview, City of",Fairview,"Population served: 9,176",97010
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97010
8,Lorna Portland Water LLC,Newberg,Population served: 200,97010
9,Lusted Water District,Gresham,"Population served: 1,200",97010
10,Mayfair Moorage Inc.,Portland,Population served: 28,97010
11,Palatine Hill Water District,Portland,"Population served: 1,500",97010
12,Sigler Cove Marina,Scappoose,Population served: 150,97010
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97010
16,Rocky Pointe Marina,Portland,Population served: 125,97010
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97010
18,Sauvie Island Moorage,Portland,Population served: 96,97010
19,Terrand Mobile Terrace,Silverton,Population served: 71,97010
20,Valley View Water District,Newberg,"Population served: 1,034",97010
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97010
0,Burns Water Department,Burns,"Population served: 3,000",97720
1,G H2o Inc.,Hines,Population served: 65,97720
2,Hines Water Department,Hines,"Population served: 1,563",97720
0,Crooked River Ranch Water Company,Terrebonne,"Population served: 4,000",97730
1,Deschutes Valley Water District,Madras,"Population served: 10,600",97730
2,"Madras, City Of",Madras,"Population served: 3,940",97730
3,Metolius Meadows Prop Owners,Camp Sherman,Population served: 300,97730
2,"Sheridan, City of","Sheridan, OR","Population served:6,200",97111
3,"Lafayette, City of","Lafayette, OR","Population served:4,095",97111
4,"Dundee, City of","Dundee, OR","Population served:3,356",97111
0,Aldridge Ditch Company Ws,Hood River,Population served: 49,97014
2,"Cascade Locks, City of",Cascade Locks,"Population served: 1,310",97014
7,Crystal Springs Water District,Odell,"Population served: 5,600",97014
10,"Hood River, City of",Hood River,"Population served: 7,995",97014
11,Ice Fountain Water District,Hood River,"Population served: 5,532",97014
16,Odell Water Company,Odell,Population served: 373,97014
18,Parkdale Water Company Inc.,Parkdale,Population served: 867,97014
0,City of Grants Pass,"Grants Pass, OR","Population served:37,088",97523
1,"Cave Junction, City of","Cave Junction, OR","Population served:1,935",97523
2,Rogue Lea Estates-north/south,"Grants Pass, OR",Population served:350,97523
3,Willow Estates Mobile Home Park,"Grants Pass, OR",Population served:250,97523
4,Redwood Mobile Estates LLC,"Grants Pass, OR",Population served:250,97523
0,Christmas Valley Domestic Ws,Christmas Valley,Population served: 860,97641
1,"Lakeview, City of",Lakeview,"Population served: 2,300",97641
2,"Paisley, City of",Paisley,Population served: 245,97641
3,Westwind Mobile Home Park,Lake Oswego,Population served: 104,97641
0,City of St. Helens,"St Helens, OR","Population served:13,225",97016
3,"Scappoose, City of","Scappoose, OR","Population served:6,800",97016
6,"Vernonia, City of","Vernonia, OR","Population served:2,475",97016
7,"Clatskanie, City of","Clatskanie, OR","Population served:2,392",97016
8,Mcnulty Water People's Utility District,"St. Helens, OR","Population served:2,500",97016
9,Warren Water Association,"St Helens, OR","Population served:2,050",97016
0,Adair Village Water System,Adair,Population served: 875,97330
1,Alsea County Service District,Corvallis,Population served: 202,97330
2,Cascade View Estates,Corvallis,Population served: 113,97330
4,Dumbeck Lane Domestic Water Supply District,Albany,Population served: 250,97330
5,Fir View Water Company,Albany,Population served: 163,97330
6,Jackson Creek Water Association,Corvallis,Population served: 41,97330
7,Knoll Terrace Park,Corvallis,Population served: 452,97330
8,"Monroe, City of",Monroe,Population served: 615,97330
9,North Corvallis Mobile Home Park-well #1,Corvallis,Population served: 100,97330
11,Pioneer Village Water Company,Philomath,Population served: 80,97330
12,Raintree Estates,Corvallis,Population served: 50,97330
13,Ridgewood District Improvement Company,Corvallis,Population served: 110,97330
14,Vineyard Mountain Water,Corvallis,Population served: 325,97330
7,"Brownsville, City of","Brownsville, OR","Population served:1,670",97333
8,Mill City Water Department,"Mill City, OR","Population served:1,640",97333
9,City Of Millersburg,"Lebanon, OR","Population served:1,505",97333
0,Buell-red Prairie Water District,Sheridan,Population served: 788,97338
2,"Falls City, City of",Falls City,"Population served: 1,000",97338
3,Grand Ronde Community Water Association,Grand Ronde,"Population served: 2,500",97338
7,Orchard Heights Water Association,Lyons,Population served: 500,97338
8,Perrydale Domestic Water Association,Amity,"Population served: 2,195",97338
9,Pioneer Park Co-op Inc.,Salem,Population served: 54,97338
10,Rickreall Water Association,Rickreall,"Population served: 1,650",97338
11,Rock Creek Water District,Grand Ronde,Population served: 235,97338
0,Bay Hills Water Association,Newport,Population served: 45,97341
1,Beverly Beach Water District,Newport,Population served: 152,97341
2,Carmel Beach Water District,Newport,Population served: 36,97341
4,"Depoe Bay, City of",Depoe Bay,"Population served: 1,398",97341
5,Fall Creek Water District,Alsea,Population served: 50,97341
6,Guptil Subdivision,Otis,Population served: 28,97341
7,Hiland Water Company - Bear Creek,Newberg,Population served: 275,97341
8,Hiland Water Company - Boulder Creek,Newberg,Population served: 350,97341
9,Hiland Water Company - Echo Mountain Park,Newberg,Population served: 362,97341
10,Hiland Water Company - Riverbend Park Water System,Newberg,Population served: 172,97341
11,Hiland Water Company - Westwood,Newberg,Population served: 120,97341
12,Inn At Otter Crest,Otter Rock,Population served: 90,97341
13,Johnson Creek Water Service,Newberg,Population served: 363,97341
14,Kernville-gleneden-linc Bch Water District,Gleneden Beach,"Population served: 5,598",97341
15,Kozy Acres Water System,Waldport,Population served: 40,97341
17,Lower Siletz Water System,Lincoln City,Population served: 165,97341
18,Otter Rock Water District,Otter Rock,Population served: 175,97341
19,Panther Creek Water District,Otis,Population served: 760,97341
20,Riverside Mobile Park,Seal Rock,Population served: 32,97341
21,Salmon River Mobile Village,Otis,Population served: 75,97341
22,Salmon River Rv Park,Otis,Population served: 69,97341
23,Sea Crest,Newberg,Population served: 72,97341
25,"Siletz, City of",Siletz,"Population served: 1,200",97341
26,Sw Lincoln County Water District,Waldport,"Population served: 3,000",97341
27,Toledo Water Utilities,Toledo,"Population served: 3,645",97341
28,"Waldport, City of",Waldport,"Population served: 2,080",97341
29,"Yachats, City of",Yachats,"Population served: 1,000",97341
0,"Enterprise, City of",Enterprise,"Population served: 1,985",97828
1,"Joseph, City of",Joseph,"Population served: 1,120",97828
2,"Lostine, City Of",Lostine,Population served: 215,97828
3,Wallowa Lake County Service District,Enterprise,Population served: 350,97828
4,"Wallowa, City of",Wallowa,Population served: 840,97828
0,"Fossil, City of",Fossil,Population served: 470,97830
1,Mitchell City Water,Mitchell,Population served: 127,97830
2,"Spray, City of",Spray,Population served: 120,97830
0,Grass Valley Water System,Grass Valley,Population served: 170,97029
1,"Moro, City of",Moro,Population served: 350,97029
2,Rufus Public Works,Rufus,Population served: 270,97029
3,"Wasco, City of",Wasco,Population served: 415,97029
1,Bruneau Water and Sewer District,Bruneau,Population served: 88,97910
4,Grand View City Of,Grand View,Population served: 352,97910
5,"Homedale, City of",Homedale,"Population served: 2,600",97910
6,Hope House (owyhee),Marsing,Population served: 78,97910
8,"Marsing, City of",Marsing,"Population served: 1,031",97910
9,Murphy Water System,Murphy,Population served: 75,97910
11,Pioneer Mobile Home Park LLC,Boise,Population served: 53,97910
0,California Pines Community Services District,Alturas,Population served: 300,97635
1,Cedarville County Water District,Cedarville,Population served: 500,97635
3,City Of Alturas,Alturas,"Population served: 2,982",97635
4,I'sot Well #3 & #15,Canby,Population served: 215,97635
6,Newell County Water District,Tulelake,Population served: 300,97635
0,Avion Water Company - Brasada Ranch,Bend,"Population served: 1,008",97752
1,Avion Water Company - Red Cloud,Bend,Population served: 442,97752
2,Barnes Butte Homeowners Association,Prineville,Population served: 146,97752
3,Cascade Pines Mobile Home Park,Elmira,Population served: 100,97752
4,Dry Creek Airpark,Prineville,Population served: 47,97752
5,Happy Hollow Water Company,Prineville,Population served: 42,97752
6,High Desert Estates,Prineville,Population served: 380,97752
7,Highland Subdivision Water District,Prineville,Population served: 335,97752
8,Idleway Improvement District,Prineville,Population served: 178,97752
9,Mcdougal Water System,Prineville,Population served: 60,97752
11,Ochoco Valley Home Improvement District,Prineville,Population served: 60,97752
12,Ochoco West Water & San Authority,Prineville,Population served: 360,97752
13,Prineville Mobile Home Park,Bend,Population served: 130,97752
15,Quail Valley Park Improvement District,Prineville,Population served: 110,97752
16,Shoun Crossroads,Prineville,Population served: 41,97752
17,Sunset Hills Domestic Water Association,Prineville,Population served: 34,97752
18,Terrace Mobile Plaza,Prineville,Population served: 144,97752
19,Westridge Subdivision,Prineville,Population served: 76,97752
