,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
29,"Milton-freewater, City Of",Total trihalomethanes (TTHMs)†,1.14 ppb,0.15 ppb,80 ppb
30,"Milton-freewater, City Of",Nitrate,0.0628 ppm,0.14 ppm,10 ppm
31,"Milton-freewater, City Of",None,,,
32,"Umatilla, City of",Haloacetic acids (HAA5)†,1.33 ppb,0.1 ppb,60 ppb
33,"Umatilla, City of",Total trihalomethanes (TTHMs)†,16.1 ppb,0.15 ppb,80 ppb
34,"Umatilla, City of",None,,,
35,"Stanfield, City of",Arsenic,0.257 ppb,0.004 ppb,10 ppb
36,"Stanfield, City of",Haloacetic acids (HAA5)†,0.809 ppb,0.1 ppb,60 ppb
37,"Stanfield, City of",Total trihalomethanes (TTHMs)†,4.51 ppb,0.15 ppb,80 ppb
38,"Stanfield, City of",Barium,4.73 ppb,700 ppb,"2,000 ppb"
39,"Stanfield, City of",Chromium (total),0.308 ppb,,100 ppb
40,"Stanfield, City of",Fluoride,1.19 ppm,,4 ppm
41,"Stanfield, City of",Nitrate,0.0394 ppm,0.14 ppm,10 ppm
42,"Stanfield, City of",Nitrate and nitrite,0.108 ppm,0.14 ppm,10 ppm
43,"Stanfield, City of",None,,,
44,"Adrian, City of",Arsenic,20.9 ppb,0.004 ppb,10 ppb
45,"Adrian, City of",Nitrate,2.41 ppm,0.14 ppm,10 ppm
46,"Adrian, City of",Uranium,12.26 pCi/L,0.43 pCi/L,20 pCi/L
47,"Adrian, City of",Barium,154.0 ppb,700 ppb,"2,000 ppb"
48,"Adrian, City of",Chromium (total),1.47 ppb,,100 ppb
49,"Adrian, City of",Fluoride,0.769 ppm,,4 ppm
50,"Adrian, City of",None,,,
51,City of Ontario,Arsenic,0.809 ppb,0.004 ppb,10 ppb
52,City of Ontario,Chromium (hexavalent),0.570 ppb,0.02 ppb,
53,City of Ontario,Haloacetic acids (HAA5)†,21.0 ppb,0.1 ppb,60 ppb
54,City of Ontario,Haloacetic acids (HAA9)†,41.9 ppb,0.06 ppb,
55,City of Ontario,Nitrate,1.04 ppm,0.14 ppm,10 ppm
56,City of Ontario,Nitrate and nitrite,1.12 ppm,0.14 ppm,10 ppm
57,City of Ontario,Total trihalomethanes (TTHMs)†,45.2 ppb,0.15 ppb,80 ppb
58,City of Ontario,Uranium,1.84 pCi/L,0.43 pCi/L,20 pCi/L
59,City of Ontario,Barium,51.3 ppb,700 ppb,"2,000 ppb"
60,City of Ontario,Chlorate,163.8 ppb,210 ppb,
61,City of Ontario,Chromium (total),0.667 ppb,,100 ppb
62,City of Ontario,Fluoride,0.577 ppm,,4 ppm
63,City of Ontario,Manganese,1.83 ppb,100 ppb,
64,City of Ontario,Molybdenum,3.78 ppb,40 ppb,
65,City of Ontario,Selenium,0.403 ppb,30 ppb,50 ppb
66,City of Ontario,Strontium,0.290 ppb,"1,500 ppb",
67,City of Ontario,Vanadium,4.28 ppb,21 ppb,
68,City of Ontario,None,,,
69,Fischers Place Mobile Home Park,Arsenic,9.90 ppb,0.004 ppb,10 ppb
70,Fischers Place Mobile Home Park,Total trihalomethanes (TTHMs)†,1.66 ppb,0.15 ppb,80 ppb
71,Fischers Place Mobile Home Park,None,,,
72,"Jordan Valley, City of",Arsenic,4.36 ppb,0.004 ppb,10 ppb
73,"Jordan Valley, City of","Radium, combined (-226 &amp; -228)",0.67 pCi/L,0.05 pCi/L,5 pCi/L
74,"Jordan Valley, City of",Uranium,1.23 pCi/L,0.43 pCi/L,20 pCi/L
75,"Jordan Valley, City of",Barium,122.0 ppb,700 ppb,"2,000 ppb"
76,"Jordan Valley, City of",Fluoride,0.890 ppm,,4 ppm
77,"Jordan Valley, City of",Nitrate,0.0857 ppm,0.14 ppm,10 ppm
78,"Jordan Valley, City of",Selenium,5.54 ppb,30 ppb,50 ppb
79,"Jordan Valley, City of",None,,,
80,"Nyssa, City of",Arsenic,11.6 ppb,0.004 ppb,10 ppb
81,"Nyssa, City of",Haloacetic acids (HAA5)†,0.254 ppb,0.1 ppb,60 ppb
82,"Nyssa, City of",Nitrate,3.51 ppm,0.14 ppm,10 ppm
83,"Nyssa, City of",Nitrate and nitrite,5.54 ppm,0.14 ppm,10 ppm
84,"Nyssa, City of",Total trihalomethanes (TTHMs)†,10.8 ppb,0.15 ppb,80 ppb
85,"Nyssa, City of",Uranium,4.69 pCi/L,0.43 pCi/L,20 pCi/L
86,"Nyssa, City of",Barium,41.2 ppb,700 ppb,"2,000 ppb"
87,"Nyssa, City of",Chromium (total),1.35 ppb,,100 ppb
88,"Nyssa, City of",Fluoride,0.522 ppm,,4 ppm
89,"Nyssa, City of",Nitrite,0.197 ppm,,1 ppm
90,"Nyssa, City of",Selenium,1.09 ppb,30 ppb,50 ppb
91,"Nyssa, City of",None,,,
92,Eagle River Village Mobile Home Park,Bromodichloromethane,1.89 ppb,0.06 ppb,
93,Eagle River Village Mobile Home Park,Bromoform,4.36 ppb,0.5 ppb,
94,Eagle River Village Mobile Home Park,Dibromoacetic acid,2.72 ppb,0.04 ppb,
95,Eagle River Village Mobile Home Park,Dibromochloromethane,4.53 ppb,0.1 ppb,
96,Eagle River Village Mobile Home Park,Haloacetic acids (HAA5)†,3.36 ppb,0.1 ppb,60 ppb
97,Eagle River Village Mobile Home Park,Nitrate,0.550 ppm,0.14 ppm,10 ppm
98,Eagle River Village Mobile Home Park,Total trihalomethanes (TTHMs)†,10.9 ppb,0.15 ppb,80 ppb
99,Eagle River Village Mobile Home Park,Uranium,1.34 pCi/L,0.43 pCi/L,20 pCi/L
100,Eagle River Village Mobile Home Park,Barium,34.0 ppb,700 ppb,"2,000 ppb"
101,Eagle River Village Mobile Home Park,Chloroform,0.308 ppb,0.4 ppb,
102,Eagle River Village Mobile Home Park,Dichloroacetic acid,0.383 ppb,0.2 ppb,
103,Eagle River Village Mobile Home Park,Fluoride,0.120 ppm,,4 ppm
104,Eagle River Village Mobile Home Park,Monobromoacetic acid,0.0923 ppb,25 ppb,
105,Eagle River Village Mobile Home Park,Selenium,1.50 ppb,30 ppb,50 ppb
106,Eagle River Village Mobile Home Park,None,,,
107,"Cedar Vale, City of",Bromodichloromethane,7.45 ppb,0.06 ppb,
108,"Cedar Vale, City of",Chloroform,39.5 ppb,0.4 ppb,
109,"Cedar Vale, City of",Dibromochloromethane,0.844 ppb,0.1 ppb,
110,"Cedar Vale, City of",Dichloroacetic acid,21.9 ppb,0.2 ppb,
111,"Cedar Vale, City of",Haloacetic acids (HAA5)†,42.0 ppb,0.1 ppb,60 ppb
112,"Cedar Vale, City of","Radium, combined (-226 &amp; -228)*",1.70 pCi/L,0.05 pCi/L,5 pCi/L
113,"Cedar Vale, City of",Total trihalomethanes (TTHMs)†,47.6 ppb,0.15 ppb,80 ppb
114,"Cedar Vale, City of",Trichloroacetic acid,16.9 ppb,0.1 ppb,
115,"Cedar Vale, City of",Aluminum*,23.8 ppb,600 ppb,
116,"Cedar Vale, City of",Barium*,53.5 ppb,700 ppb,"2,000 ppb"
117,"Cedar Vale, City of",Chromium (total)*,0.183 ppb,,100 ppb
118,"Cedar Vale, City of",Dibromoacetic acid,0.0196 ppb,0.04 ppb,
119,"Cedar Vale, City of",Dichloromethane (methylene chloride)*,0.214 ppb,4 ppb,5 ppb
120,"Cedar Vale, City of",Fluoride*,0.0333 ppm,,4 ppm
121,"Cedar Vale, City of",Monobromoacetic acid,0.0621 ppb,25 ppb,
122,"Cedar Vale, City of",Monochloroacetic acid,3.07 ppb,53 ppb,
123,"Cedar Vale, City of",Nitrate*,0.144 ppm,0.14 ppm,10 ppm
124,"Cedar Vale, City of",None,,,
125,"Brookings, City of",Haloacetic acids (HAA5)†,0.238 ppb,0.1 ppb,60 ppb
126,"Brookings, City of","Radium, combined (-226 &amp; -228)",0.15 pCi/L,0.05 pCi/L,5 pCi/L
127,"Brookings, City of",Total trihalomethanes (TTHMs)†,8.06 ppb,0.15 ppb,80 ppb
128,"Brookings, City of",Barium,30.3 ppb,700 ppb,"2,000 ppb"
129,"Brookings, City of",Nitrate,0.106 ppm,0.14 ppm,10 ppm
130,"Brookings, City of",Nitrate and nitrite,0.258 ppm,0.14 ppm,10 ppm
131,"Brookings, City of",None,,,
132,"Gold Beach, City of",Haloacetic acids (HAA5)†,5.19 ppb,0.1 ppb,60 ppb
133,"Gold Beach, City of",Total trihalomethanes (TTHMs)†,16.2 ppb,0.15 ppb,80 ppb
134,"Gold Beach, City of",Barium,16.7 ppb,700 ppb,"2,000 ppb"
135,"Gold Beach, City of",Nitrate,0.0397 ppm,0.14 ppm,10 ppm
136,"Gold Beach, City of",None,,,
137,Harbor Water People's Utility District,Haloacetic acids (HAA5)†,1.47 ppb,0.1 ppb,60 ppb
138,Harbor Water People's Utility District,Total trihalomethanes (TTHMs)†,5.93 ppb,0.15 ppb,80 ppb
139,Harbor Water People's Utility District,Nitrate,0.235 ppm,0.14 ppm,10 ppm
140,Harbor Water People's Utility District,None,,,
141,Langlois Water District,Haloacetic acids (HAA5)†,30.8 ppb,0.1 ppb,60 ppb
142,Langlois Water District,Total trihalomethanes (TTHMs)†,49.1 ppb,0.15 ppb,80 ppb
143,Langlois Water District,Barium,75.7 ppb,700 ppb,"2,000 ppb"
144,Langlois Water District,Nitrate,0.273 ppm,0.14 ppm,10 ppm
145,Langlois Water District,None,,,
146,Nesika Beach-ophir Water District,Total trihalomethanes (TTHMs)†,4.16 ppb,0.15 ppb,80 ppb
147,Nesika Beach-ophir Water District,Nitrate,0.263 ppm,0.14 ppm,10 ppm
148,Nesika Beach-ophir Water District,None,,,
149,Old Sheep Ranch Water Association,Nitrate,2.00 ppm,0.14 ppm,10 ppm
150,Old Sheep Ranch Water Association,Nitrate and nitrite,1.74 ppm,0.14 ppm,10 ppm
151,Old Sheep Ranch Water Association,Barium,62.7 ppb,700 ppb,"2,000 ppb"
152,Old Sheep Ranch Water Association,Fluoride,0.148 ppm,,4 ppm
153,Old Sheep Ranch Water Association,None,,,
154,"Port Orford, City of",Haloacetic acids (HAA5)†,33.0 ppb,0.1 ppb,60 ppb
155,"Port Orford, City of",Total trihalomethanes (TTHMs)†,63.0 ppb,0.15 ppb,80 ppb
156,"Port Orford, City of",Barium,13.5 ppb,700 ppb,"2,000 ppb"
157,"Port Orford, City of",Nitrate,0.0798 ppm,0.14 ppm,10 ppm
158,"Port Orford, City of",Nitrate and nitrite,0.256 ppm,0.14 ppm,10 ppm
159,"Port Orford, City of",None,,,
160,Rainbow Rock Service Association,Haloacetic acids (HAA5)†,10.3 ppb,0.1 ppb,60 ppb
161,Rainbow Rock Service Association,"Radium, combined (-226 &amp; -228)",0.45 pCi/L,0.05 pCi/L,5 pCi/L
162,Rainbow Rock Service Association,Total trihalomethanes (TTHMs)†,63.9 ppb,0.15 ppb,80 ppb
163,Rainbow Rock Service Association,Barium,25.0 ppb,700 ppb,"2,000 ppb"
164,Rainbow Rock Service Association,Nitrate,0.240 ppm,0.14 ppm,10 ppm
165,Rainbow Rock Service Association,Nitrate and nitrite,0.237 ppm,0.14 ppm,10 ppm
166,Rainbow Rock Service Association,None,,,
167,Rainbow Rock Village Mobile Home Park,Haloacetic acids (HAA5)†,37.3 ppb,0.1 ppb,60 ppb
168,Rainbow Rock Village Mobile Home Park,Nitrate,0.952 ppm,0.14 ppm,10 ppm
169,Rainbow Rock Village Mobile Home Park,Total trihalomethanes (TTHMs)†,49.9 ppb,0.15 ppb,80 ppb
170,Rainbow Rock Village Mobile Home Park,None,,,
171,Saunders Creek Hoc,Nitrate,0.301 ppm,0.14 ppm,10 ppm
172,Saunders Creek Hoc,Nitrate and nitrite,0.291 ppm,0.14 ppm,10 ppm
173,Saunders Creek Hoc,Barium,50.5 ppb,700 ppb,"2,000 ppb"
174,Saunders Creek Hoc,None,,,
175,City of Corvallis,Chromium (hexavalent),0.511 ppb,0.02 ppb,
176,City of Corvallis,Haloacetic acids (HAA5)†,16.2 ppb,0.1 ppb,60 ppb
177,City of Corvallis,Haloacetic acids (HAA9)†,16.2 ppb,0.06 ppb,
178,City of Corvallis,Total trihalomethanes (TTHMs)†,19.8 ppb,0.15 ppb,80 ppb
179,City of Corvallis,Chlorate,172.6 ppb,210 ppb,
180,City of Corvallis,Chromium (total),0.507 ppb,,100 ppb
181,City of Corvallis,Fluoride,0.707 ppm,,4 ppm
182,City of Corvallis,Manganese,1.24 ppb,100 ppb,
183,City of Corvallis,Nitrate,0.0292 ppm,0.14 ppm,10 ppm
184,City of Corvallis,Strontium,0.0301 ppb,"1,500 ppb",
185,City of Corvallis,Vanadium,2.09 ppb,21 ppb,
186,City of Corvallis,None,,,
187,City of Albany,Haloacetic acids (HAA5)†,21.9 ppb,0.1 ppb,60 ppb
188,City of Albany,Haloacetic acids (HAA9)†,23.0 ppb,0.06 ppb,
189,City of Albany,"Radium, combined (-226 &amp; -228)",0.83 pCi/L,0.05 pCi/L,5 pCi/L
190,City of Albany,Total trihalomethanes (TTHMs)†,41.4 ppb,0.15 ppb,80 ppb
191,City of Albany,Chlorate,93.1 ppb,210 ppb,
192,City of Albany,Chromium (hexavalent),0.0384 ppb,0.02 ppb,
193,City of Albany,Chromium (total),0.0294 ppb,,100 ppb
194,City of Albany,Manganese,4.35 ppb,100 ppb,
195,City of Albany,Nitrate,0.127 ppm,0.14 ppm,10 ppm
196,City of Albany,Strontium,0.0263 ppb,"1,500 ppb",
197,City of Albany,Vanadium,0.453 ppb,21 ppb,
198,City of Albany,None,,,
199,City of Lebanon,Haloacetic acids (HAA5)†,13.4 ppb,0.1 ppb,60 ppb
200,City of Lebanon,Haloacetic acids (HAA9)†,25.6 ppb,0.06 ppb,
201,City of Lebanon,Total trihalomethanes (TTHMs)†,22.1 ppb,0.15 ppb,80 ppb
202,City of Lebanon,Chlorate,70.0 ppb,210 ppb,
203,City of Lebanon,Chromium (hexavalent),0.00963 ppb,0.02 ppb,
204,City of Lebanon,Fluoride,0.380 ppm,,4 ppm
205,City of Lebanon,Manganese,131.3 ppb,100 ppb,
206,City of Lebanon,Nitrate,0.0468 ppm,0.14 ppm,10 ppm
207,City of Lebanon,Strontium,0.0231 ppb,"1,500 ppb",
208,City of Lebanon,Vanadium,0.223 ppb,21 ppb,
209,City of Lebanon,None,,,
210,City of Dallas,Chromium (hexavalent),0.149 ppb,0.02 ppb,
211,City of Dallas,Haloacetic acids (HAA5)†,21.0 ppb,0.1 ppb,60 ppb
212,City of Dallas,Haloacetic acids (HAA9)†,27.3 ppb,0.06 ppb,
213,City of Dallas,Total trihalomethanes (TTHMs)†,33.4 ppb,0.15 ppb,80 ppb
214,City of Dallas,Chromium (total),0.245 ppb,,100 ppb
215,City of Dallas,Molybdenum,0.150 ppb,40 ppb,
216,City of Dallas,Nitrate,0.0850 ppm,0.14 ppm,10 ppm
217,City of Dallas,Nitrate and nitrite,0.110 ppm,0.14 ppm,10 ppm
218,City of Dallas,Nitrite,0.01000 ppm,,1 ppm
219,City of Dallas,Strontium,0.0246 ppb,"1,500 ppb",
220,City of Dallas,Vanadium,1.01 ppb,21 ppb,
221,City of Dallas,None,,,
222,"Monmouth, City of",Nitrate,5.50 ppm,0.14 ppm,10 ppm
223,"Monmouth, City of",Nitrate and nitrite,7.57 ppm,0.14 ppm,10 ppm
224,"Monmouth, City of",Total trihalomethanes (TTHMs)†,4.82 ppb,0.15 ppb,80 ppb
225,"Monmouth, City of",Asbestos,0.13 MFL,,7 MFL
226,"Monmouth, City of",Fluoride,0.792 ppm,,4 ppm
227,"Monmouth, City of",None,,,
228,"Sweet Home, City of",Haloacetic acids (HAA5)†,7.34 ppb,0.1 ppb,60 ppb
229,"Sweet Home, City of",Total trihalomethanes (TTHMs)†,14.8 ppb,0.15 ppb,80 ppb
230,"Sweet Home, City of",Fluoride,0.622 ppm,,4 ppm
231,"Sweet Home, City of",Nitrate,0.0299 ppm,0.14 ppm,10 ppm
232,"Sweet Home, City of",None,,,
233,Independence Water Association,Chloroform,1.59 ppb,0.4 ppb,
234,Independence Water Association,Dichloroacetic acid,1.000 ppb,0.2 ppb,
235,Independence Water Association,Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
236,Independence Water Association,Nitrate,0.658 ppm,0.14 ppm,10 ppm
237,Independence Water Association,Nitrate and nitrite,0.658 ppm,0.14 ppm,10 ppm
238,Independence Water Association,Total trihalomethanes (TTHMs)†,1.59 ppb,0.15 ppb,80 ppb
239,Independence Water Association,Barium,19.5 ppb,700 ppb,"2,000 ppb"
240,Independence Water Association,Chromium (total),0.400 ppb,,100 ppb
241,Independence Water Association,None,,,
242,Philomath Public Works,Haloacetic acids (HAA5)†,23.1 ppb,0.1 ppb,60 ppb
243,Philomath Public Works,Total trihalomethanes (TTHMs)†,39.7 ppb,0.15 ppb,80 ppb
244,Philomath Public Works,None,,,
245,"Harrisburg, City of",Arsenic,3.68 ppb,0.004 ppb,10 ppb
246,"Harrisburg, City of",Haloacetic acids (HAA5)†,5.75 ppb,0.1 ppb,60 ppb
247,"Harrisburg, City of","Radium, combined (-226 &amp; -228)",0.40 pCi/L,0.05 pCi/L,5 pCi/L
248,"Harrisburg, City of",Total trihalomethanes (TTHMs)†,39.6 ppb,0.15 ppb,80 ppb
249,"Harrisburg, City of",Barium,64.5 ppb,700 ppb,"2,000 ppb"
250,"Harrisburg, City of",Chromium (total),0.437 ppb,,100 ppb
251,"Harrisburg, City of",None,,,
252,Luckiamute Domestic Water Co-op,Haloacetic acids (HAA5)†,14.6 ppb,0.1 ppb,60 ppb
253,Luckiamute Domestic Water Co-op,Nitrate,4.71 ppm,0.14 ppm,10 ppm
254,Luckiamute Domestic Water Co-op,Nitrate and nitrite,5.24 ppm,0.14 ppm,10 ppm
255,Luckiamute Domestic Water Co-op,Total trihalomethanes (TTHMs)†,14.2 ppb,0.15 ppb,80 ppb
256,Luckiamute Domestic Water Co-op,Barium,8.00 ppb,700 ppb,"2,000 ppb"
257,Luckiamute Domestic Water Co-op,Nitrite,0.110 ppm,,1 ppm
258,Luckiamute Domestic Water Co-op,None,,,
259,Lyons Mehama Water District,Haloacetic acids (HAA5)†,7.80 ppb,0.1 ppb,60 ppb
260,Lyons Mehama Water District,Nitrate,1.28 ppm,0.14 ppm,10 ppm
261,Lyons Mehama Water District,Nitrate and nitrite,0.726 ppm,0.14 ppm,10 ppm
262,Lyons Mehama Water District,Total trihalomethanes (TTHMs)†,12.1 ppb,0.15 ppb,80 ppb
263,Lyons Mehama Water District,None,,,
264,"Bandon, City of",Haloacetic acids (HAA5)†,9.66 ppb,0.1 ppb,60 ppb
265,"Bandon, City of",Total trihalomethanes (TTHMs)†,37.9 ppb,0.15 ppb,80 ppb
266,"Bandon, City of",None,,,
267,Bridge Water District,Haloacetic acids (HAA5)†,1.75 ppb,0.1 ppb,60 ppb
268,Bridge Water District,Nitrate,0.426 ppm,0.14 ppm,10 ppm
269,Bridge Water District,Total trihalomethanes (TTHMs)†,10.2 ppb,0.15 ppb,80 ppb
270,Bridge Water District,None,,,
271,Coos Bay North Bend Water Board,Haloacetic acids (HAA5)†,13.4 ppb,0.1 ppb,60 ppb
272,Coos Bay North Bend Water Board,Haloacetic acids (HAA9)†,20.3 ppb,0.06 ppb,
273,Coos Bay North Bend Water Board,Nitrate,0.436 ppm,0.14 ppm,10 ppm
274,Coos Bay North Bend Water Board,"Radium, combined (-226 &amp; -228)",2.50 pCi/L,0.05 pCi/L,5 pCi/L
275,Coos Bay North Bend Water Board,Total trihalomethanes (TTHMs)†,31.1 ppb,0.15 ppb,80 ppb
276,Coos Bay North Bend Water Board,Barium,10.7 ppb,700 ppb,"2,000 ppb"
277,Coos Bay North Bend Water Board,Chlorate,9.38 ppb,210 ppb,
278,Coos Bay North Bend Water Board,Fluoride,0.713 ppm,,4 ppm
279,Coos Bay North Bend Water Board,Manganese,13.1 ppb,100 ppb,
280,Coos Bay North Bend Water Board,Nitrate and nitrite,0.211 ppm,0.14 ppm,10 ppm
281,Coos Bay North Bend Water Board,Strontium,0.0344 ppb,"1,500 ppb",
282,Coos Bay North Bend Water Board,None,,,
283,"Coquille, City of",Haloacetic acids (HAA5)†,21.2 ppb,0.1 ppb,60 ppb
284,"Coquille, City of",Haloacetic acids (HAA9)†,27.6 ppb,0.06 ppb,
285,"Coquille, City of",Nitrate,1.51 ppm,0.14 ppm,10 ppm
286,"Coquille, City of",Total trihalomethanes (TTHMs)†,37.9 ppb,0.15 ppb,80 ppb
287,"Coquille, City of",Manganese,13.6 ppb,100 ppb,
288,"Coquille, City of",None,,,
289,Asheboro Country Club Estates,Arsenic,5.00 ppb,0.004 ppb,10 ppb
290,Asheboro Country Club Estates,Bromodichloromethane,3.10 ppb,0.06 ppb,
291,Asheboro Country Club Estates,Chloroform,3.90 ppb,0.4 ppb,
292,Asheboro Country Club Estates,Dibromochloromethane,2.20 ppb,0.1 ppb,
293,Asheboro Country Club Estates,Dichloroacetic acid,1.40 ppb,0.2 ppb,
294,Asheboro Country Club Estates,Haloacetic acids (HAA5)†,1.40 ppb,0.1 ppb,60 ppb
295,Asheboro Country Club Estates,Total trihalomethanes (TTHMs)†,9.20 ppb,0.15 ppb,80 ppb
296,Asheboro Country Club Estates,Di(2-ethylhexyl) adipate,0.704 ppb,200 ppb,400 ppb
297,Asheboro Country Club Estates,Di(2-ethylhexyl) phthalate,1.70 ppb,3 ppb,6 ppb
298,Asheboro Country Club Estates,Fluoride,0.120 ppm,,4 ppm
299,Asheboro Country Club Estates,None,,,
300,Dean Minard Water District,Haloacetic acids (HAA5)†,17.9 ppb,0.1 ppb,60 ppb
301,Dean Minard Water District,Haloacetic acids (HAA9)*†,27.6 ppb,0.06 ppb,
302,Dean Minard Water District,Nitrate*,1.51 ppm,0.14 ppm,10 ppm
303,Dean Minard Water District,Total trihalomethanes (TTHMs)†,59.7 ppb,0.15 ppb,80 ppb
304,Dean Minard Water District,Manganese*,13.6 ppb,100 ppb,
305,Garden Valley Water Association,Haloacetic acids (HAA5)†,39.0 ppb,0.1 ppb,60 ppb
306,Garden Valley Water Association,Nitrate,0.540 ppm,0.14 ppm,10 ppm
307,Garden Valley Water Association,Nitrate and nitrite,0.571 ppm,0.14 ppm,10 ppm
308,Garden Valley Water Association,Total trihalomethanes (TTHMs)†,41.5 ppb,0.15 ppb,80 ppb
309,Garden Valley Water Association,Barium,28.2 ppb,700 ppb,"2,000 ppb"
310,Garden Valley Water Association,Xylenes (total),0.502 ppb,"1,800 ppb","10,000 ppb"
311,Garden Valley Water Association,None,,,
312,Howell's Lakeside Water Company,Arsenic,1.50 ppb,0.004 ppb,10 ppb
313,Howell's Lakeside Water Company,Chromium (hexavalent),4.10 ppb,0.02 ppb,
314,Howell's Lakeside Water Company,Nitrate,1.01 ppm,0.14 ppm,10 ppm
315,Howell's Lakeside Water Company,Fluoride,0.140 ppm,,4 ppm
316,Howell's Lakeside Water Company,"Radium, combined (-226 &amp; -228)",0.07 pCi/L,0.05 pCi/L,5 pCi/L
317,Howell's Lakeside Water Company,None,,,
318,"Myrtle Point, City of",Haloacetic acids (HAA5)†,22.4 ppb,0.1 ppb,60 ppb
319,"Myrtle Point, City of",Nitrate,0.615 ppm,0.14 ppm,10 ppm
320,"Myrtle Point, City of",Total trihalomethanes (TTHMs)†,41.2 ppb,0.15 ppb,80 ppb
321,"Myrtle Point, City of",None,,,
322,North Bayside Estates-north,Arsenic,8.70 ppb,0.004 ppb,10 ppb
323,North Bayside Estates-north,Nitrate,0.373 ppm,0.14 ppm,10 ppm
324,North Bayside Estates-north,Nitrate and nitrite,0.352 ppm,0.14 ppm,10 ppm
325,North Bayside Estates-north,Barium,2.82 ppb,700 ppb,"2,000 ppb"
326,North Bayside Estates-north,Selenium,2.64 ppb,30 ppb,50 ppb
327,North Bayside Estates-north,None,,,
328,North Bayside Estates-north,Arsenic,8.70 ppb,0.004 ppb,10 ppb
329,North Bayside Estates-north,Nitrate,0.373 ppm,0.14 ppm,10 ppm
330,North Bayside Estates-north,Nitrate and nitrite,0.352 ppm,0.14 ppm,10 ppm
331,North Bayside Estates-north,Barium,2.82 ppb,700 ppb,"2,000 ppb"
332,North Bayside Estates-north,Selenium,2.64 ppb,30 ppb,50 ppb
333,North Bayside Estates-north,None,,,
334,"Powers, City of",Haloacetic acids (HAA5)†,14.4 ppb,0.1 ppb,60 ppb
335,"Powers, City of",Total trihalomethanes (TTHMs)†,20.8 ppb,0.15 ppb,80 ppb
336,"Powers, City of",Barium,8.85 ppb,700 ppb,"2,000 ppb"
337,"Powers, City of",Chromium (total),1.43 ppb,,100 ppb
338,"Powers, City of",Nitrate,0.0671 ppm,0.14 ppm,10 ppm
339,"Powers, City of",None,,,
340,Rink Creek Water District,Haloacetic acids (HAA5)†,32.4 ppb,0.1 ppb,60 ppb
341,Rink Creek Water District,Haloacetic acids (HAA9)*†,27.6 ppb,0.06 ppb,
342,Rink Creek Water District,Nitrate*,1.51 ppm,0.14 ppm,10 ppm
343,Rink Creek Water District,Total trihalomethanes (TTHMs)†,59.1 ppb,0.15 ppb,80 ppb
344,Rink Creek Water District,Manganese*,13.6 ppb,100 ppb,
345,Sand-n-wood Mobile Villa,Nitrate,2.42 ppm,0.14 ppm,10 ppm
346,Sand-n-wood Mobile Villa,Nitrate and nitrite,2.01 ppm,0.14 ppm,10 ppm
347,Sand-n-wood Mobile Villa,"Radium, combined (-226 &amp; -228)",2.07 pCi/L,0.05 pCi/L,5 pCi/L
348,Sand-n-wood Mobile Villa,Barium,25.7 ppb,700 ppb,"2,000 ppb"
349,Sand-n-wood Mobile Villa,None,,,
