,Utility name,City,People served,Zip
16,Rice Hill West Subdivision,Oakland,Population served: 36,97410
17,"Riddle, City of",Riddle,"Population served: 1,300",97410
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97410
19,South Umpqua Water Association,Riddle,Population served: 575,97410
20,"Sutherlin, City of",Sutherlin,"Population served: 8,060",97410
21,Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97410
22,U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97410
23,U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97410
24,Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97410
25,Umpqua Ranch Co-op,Idleyld,Population served: 161,97410
26,Union Gap Water District,Oakland,Population served: 150,97410
27,,,Population served: 0,97410
28,Winston-dillard Water District,Winston,"Population served: 8,060",97410
29,"Yoncalla, City of",Yoncalla,"Population served: 1,095",97410
0,Baker City,Baker City,"Population served: 9,890",97814
1,City of La Grande,La Grande,"Population served: 13,245",97814
2,"Cove, City of",Cove,Population served: 550,97814
3,Elgin Water Department,Elgin,"Population served: 1,725",97814
4,Flying K Trailer Ranch,La Grande,Population served: 96,97814
5,"Haines, City of",Haines,Population served: 415,97814
6,"Halfway, City of",Halfway,Population served: 290,97814
7,"Huntington, City of",Huntington,Population served: 445,97814
8,Idaho Power-oxbow Village,Oxbow,Population served: 75,97814
9,"Imbler, City of",Imbler,Population served: 305,97814
10,Island City,Island City,"Population served: 1,115",97814
11,"North Powder, City Of",North Powder,Population served: 445,97814
12,"Richland, City of",Richland,Population served: 245,97814
13,"Sumpter, City of",Sumpter,Population served: 205,97814
14,Sundowner Mobile Home Park,La Grande,Population served: 160,97814
15,"Union, City of",Union,"Population served: 2,150",97814
16,"Unity, City of",Unity,Population served: 71,97814
17,Western Heights Water Company,Baker City,Population served: 70,97814
0,"Bandon, City of",Bandon,"Population served: 3,175",97411
1,Bridge Water District,Myrtle Point,Population served: 150,97411
2,Coos Bay North Bend Water Board,Coos Bay,"Population served: 34,500",97411
3,"Coquille, City of",Coquille,"Population served: 3,866",97411
4,Country Club Estates Water District,Coos Bay,Population served: 45,97411
5,Dean Minard Water District,Coquille,Population served: 78,97411
6,Garden Valley Water Association,Coquille,Population served: 30,97411
7,Lakeside Water District,Lakeside,"Population served: 1,800",97411
8,"Myrtle Point, City of",Myrtle Point,"Population served: 2,600",97411
9,North Bayside Estates-north,North Bend,Population served: 65,97411
10,North Bayside Estates-south,North Bend,Population served: 40,97411
11,"Powers, City of",Powers,Population served: 700,97411
12,Rink Creek Water District,Coquille,Population served: 286,97411
13,Sand-n-wood Mobile Villa,North Bend,Population served: 65,97411
14,Shelley Road-crest Acres Water District,Coquille,Population served: 430,97411
15,Weiss Estates Water System,Bandon,Population served: 36,97411
16,,,Population served: 0,97411
0,Banks Water Department,Banks,"Population served: 2,070",97106
1,City of Beaverton,Beaverton,"Population served: 70,000",97106
2,City of Cornelius,Cornelius,"Population served: 12,165",97106
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97106
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97106
5,City of Sherwood,Sherwood,"Population served: 19,505",97106
6,City of Tigard,Tigard,"Population served: 60,236",97106
7,City of Tualatin,Tualatin,"Population served: 26,879",97106
8,Crown Mobile Home Park,Newberg,Population served: 42,97106
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97106
10,"Gaston, City of",Gaston,Population served: 625,97106
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97106
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97106
13,La Water Co-op,Gaston,"Population served: 2,500",97106
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97106
15,Laurelwood Water Users,Gaston,Population served: 200,97106
16,North Plains Water Department,North Plains,"Population served: 3,095",97106
17,,,Population served: 0,97106
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97106
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97106
20,Raleigh Water District,Portland,"Population served: 4,500",97106
21,South Hills Water System,Hillsboro,Population served: 250,97106
22,Star Satellite Improvement District,Banks,Population served: 400,97106
23,Timber Water Association,Timber,Population served: 180,97106
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97106
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97106
26,West Slope Water District,Portland,"Population served: 10,400",97106
27,Westview Mobile Estates,Eugene,Population served: 250,97106
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97106
0,Canyon City Water Department,Canyon City,Population served: 705,97817
1,"Dayville, City of",Dayville,Population served: 150,97817
2,"John Day, City of",John Day,"Population served: 1,735",97817
3,"Long Creek, City Of",Long Creek,Population served: 195,97817
4,"Monument, City of",Monument,Population served: 130,97817
5,"Mount Vernon, City of",Mount Vernon,Population served: 509,97817
6,Prairie City,Prairie City,Population served: 910,97817
7,Sagedale Apartments,Ellensburg,Population served: 40,97817
8,"Seneca, City of",Seneca,Population served: 200,97817
0,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97107
1,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97107
2,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97107
3,Netarts Water District,"Netarts, OR","Population served:1,800",97107
4,"Nehalem, City of","Nehalem, OR","Population served:1,700",97107
0,Bley-was Heights Water System,Bly,Population served: 42,97621
1,Bly Water District,Bly,Population served: 352,97621
2,Chiloquin Municipal Water Department,Chiloquin,Population served: 730,97621
3,Collier Lane Homeowners Association,Klamath Falls,Population served: 60,97621
4,Crescent Water Supply & Improvement District,Crescent,Population served: 900,97621
5,Crossroads Mobile Home Park,Klamath Falls,Population served: 150,97621
6,Falcon Heights,Klamath Falls,Population served: 559,97621
7,Gilchrist Water System LLC,Gilchrist,Population served: 440,97621
8,Keno Water Co. Inc.,Keno,Population served: 290,97621
9,Klamath Falls Water Department,Klamath Falls,"Population served: 40,475",97621
10,Lakeside Mobile Home & Rv Park,Klamath Falls,Population served: 110,97621
11,Malin Municipal Water,Malin,Population served: 815,97621
12,Merrill Water Department,Merrill,Population served: 907,97621
13,Nps Annie Springs,Crater Lake,Population served: 200,97621
14,Oregon Shores Beach Club Inc.,Chiloquin,Population served: 352,97621
15,Oregon Shores Recreation Club,Chiloquin,Population served: 275,97621
16,Pine Grove Water District (klamath),Klamath Falls,Population served: 180,97621
17,Pinecrest Water Company,Klamath Falls,Population served: 78,97621
18,Pristine Water Source LLC,Klamath Falls,Population served: 250,97621
19,Round Lake Water Utilities,Klamath Falls,Population served: 250,97621
20,Oregon Water Utilities - Mountain Lakes,Klamath Falls,Population served: 770,97621
21,Shield Crest Condos,Klamath Falls,Population served: 45,97621
22,Shield Crest Water Association,Klamath Falls,Population served: 61,97621
23,Skyline View District Improvement,Klamath Falls,Population served: 250,97621
24,Sportsmans Paradise Motel/tc,Klamath Falls,Population served: 52,97621
25,Sprague River Water Association,Sprague River,Population served: 60,97621
26,,,Population served: 0,97621
0,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97108
1,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97108
2,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97108
3,Netarts Water District,"Netarts, OR","Population served:1,800",97108
4,"Nehalem, City of","Nehalem, OR","Population served:1,700",97108
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97004
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97004
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97004
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97004
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97004
5,Oregon City,"Oregon City, OR","Population served:33,940",97004
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97004
7,City of West Linn,"West Linn, OR","Population served:25,002",97004
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97004
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97004
0,Banks Water Department,Banks,"Population served: 2,070",97003
1,City of Beaverton,Beaverton,"Population served: 70,000",97003
2,City of Cornelius,Cornelius,"Population served: 12,165",97003
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97003
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97003
5,City of Sherwood,Sherwood,"Population served: 19,505",97003
6,City of Tigard,Tigard,"Population served: 60,236",97003
7,City of Tualatin,Tualatin,"Population served: 26,879",97003
8,Crown Mobile Home Park,Newberg,Population served: 42,97003
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97003
10,"Gaston, City of",Gaston,Population served: 625,97003
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97003
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97003
13,La Water Co-op,Gaston,"Population served: 2,500",97003
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97003
15,Laurelwood Water Users,Gaston,Population served: 200,97003
16,North Plains Water Department,North Plains,"Population served: 3,095",97003
17,,,Population served: 0,97003
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97003
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97003
20,Raleigh Water District,Portland,"Population served: 4,500",97003
21,South Hills Water System,Hillsboro,Population served: 250,97003
22,Star Satellite Improvement District,Banks,Population served: 400,97003
23,Timber Water Association,Timber,Population served: 180,97003
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97003
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97003
26,West Slope Water District,Portland,"Population served: 10,400",97003
27,Westview Mobile Estates,Eugene,Population served: 250,97003
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97003
0,Banks Water Department,Banks,"Population served: 2,070",97005
1,City of Beaverton,Beaverton,"Population served: 70,000",97005
2,City of Cornelius,Cornelius,"Population served: 12,165",97005
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97005
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97005
5,City of Sherwood,Sherwood,"Population served: 19,505",97005
6,City of Tigard,Tigard,"Population served: 60,236",97005
7,City of Tualatin,Tualatin,"Population served: 26,879",97005
8,Crown Mobile Home Park,Newberg,Population served: 42,97005
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97005
10,"Gaston, City of",Gaston,Population served: 625,97005
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97005
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97005
13,La Water Co-op,Gaston,"Population served: 2,500",97005
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97005
15,Laurelwood Water Users,Gaston,Population served: 200,97005
16,North Plains Water Department,North Plains,"Population served: 3,095",97005
17,,,Population served: 0,97005
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97005
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97005
20,Raleigh Water District,Portland,"Population served: 4,500",97005
21,South Hills Water System,Hillsboro,Population served: 250,97005
22,Star Satellite Improvement District,Banks,Population served: 400,97005
23,Timber Water Association,Timber,Population served: 180,97005
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97005
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97005
26,West Slope Water District,Portland,"Population served: 10,400",97005
27,Westview Mobile Estates,Eugene,Population served: 250,97005
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97005
0,Banks Water Department,Banks,"Population served: 2,070",97006
1,City of Beaverton,Beaverton,"Population served: 70,000",97006
2,City of Cornelius,Cornelius,"Population served: 12,165",97006
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97006
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97006
5,City of Sherwood,Sherwood,"Population served: 19,505",97006
6,City of Tigard,Tigard,"Population served: 60,236",97006
7,City of Tualatin,Tualatin,"Population served: 26,879",97006
8,Crown Mobile Home Park,Newberg,Population served: 42,97006
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97006
10,"Gaston, City of",Gaston,Population served: 625,97006
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97006
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97006
13,La Water Co-op,Gaston,"Population served: 2,500",97006
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97006
15,Laurelwood Water Users,Gaston,Population served: 200,97006
16,North Plains Water Department,North Plains,"Population served: 3,095",97006
17,,,Population served: 0,97006
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97006
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97006
20,Raleigh Water District,Portland,"Population served: 4,500",97006
21,South Hills Water System,Hillsboro,Population served: 250,97006
22,Star Satellite Improvement District,Banks,Population served: 400,97006
23,Timber Water Association,Timber,Population served: 180,97006
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97006
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97006
26,West Slope Water District,Portland,"Population served: 10,400",97006
27,Westview Mobile Estates,Eugene,Population served: 250,97006
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97006
0,Banks Water Department,Banks,"Population served: 2,070",97007
1,City of Beaverton,Beaverton,"Population served: 70,000",97007
2,City of Cornelius,Cornelius,"Population served: 12,165",97007
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97007
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97007
5,City of Sherwood,Sherwood,"Population served: 19,505",97007
6,City of Tigard,Tigard,"Population served: 60,236",97007
7,City of Tualatin,Tualatin,"Population served: 26,879",97007
8,Crown Mobile Home Park,Newberg,Population served: 42,97007
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97007
10,"Gaston, City of",Gaston,Population served: 625,97007
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97007
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97007
13,La Water Co-op,Gaston,"Population served: 2,500",97007
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97007
15,Laurelwood Water Users,Gaston,Population served: 200,97007
16,North Plains Water Department,North Plains,"Population served: 3,095",97007
17,,,Population served: 0,97007
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97007
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97007
20,Raleigh Water District,Portland,"Population served: 4,500",97007
21,South Hills Water System,Hillsboro,Population served: 250,97007
22,Star Satellite Improvement District,Banks,Population served: 400,97007
23,Timber Water Association,Timber,Population served: 180,97007
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97007
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97007
26,West Slope Water District,Portland,"Population served: 10,400",97007
27,Westview Mobile Estates,Eugene,Population served: 250,97007
