Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Eagle Mountain City,Nitrate,1.74 ppm,0.14 ppm,10 ppm
Eagle Mountain City,"Radium, combined (-226 &amp; -228)",0.53 pCi/L,0.05 pCi/L,5 pCi/L
Eagle Mountain City,Thallium,0.624 ppb,0.1 ppb,2 ppb
Eagle Mountain City,Total trihalomethanes (TTHMs)†,8.49 ppb,0.15 ppb,80 ppb
Eagle Mountain City,Trichloroacetic acid,2.47 ppb,0.1 ppb,
Eagle Mountain City,Uranium,1.47 pCi/L,0.43 pCi/L,20 pCi/L
Eagle Mountain City,1-Butanol ,0.375 ppb,,
Eagle Mountain City,Antimony,0.200 ppb,1 ppb,6 ppb
Eagle Mountain City,Barium,75.7 ppb,700 ppb,"2,000 ppb"
Eagle Mountain City,Chromium (total),0.159 ppb,,100 ppb
Eagle Mountain City,Cyanide,0.222 ppb,,200 ppb
Eagle Mountain City,Fluoride,0.739 ppm,,4 ppm
Eagle Mountain City,Manganese,1.23 ppb,100 ppb,
Eagle Mountain City,Molybdenum,0.826 ppb,40 ppb,
Eagle Mountain City,Selenium,5.00 ppb,30 ppb,50 ppb
Eagle Mountain City,Strontium,1.45 ppb,"1,500 ppb",
Eagle Mountain City,Vanadium,2.44 ppb,21 ppb,
Eagle Mountain City,None,,,
Evergreen Subdivision,Bromochloroacetic acid,2.45 ppb,0.02 ppb,
Evergreen Subdivision,Bromodichloromethane,3.28 ppb,0.06 ppb,
Evergreen Subdivision,Chloroform,14.6 ppb,0.4 ppb,
Evergreen Subdivision,Dibromoacetic acid,0.300 ppb,0.04 ppb,
Evergreen Subdivision,Dibromochloromethane,0.948 ppb,0.1 ppb,
Evergreen Subdivision,Dichloroacetic acid,6.75 ppb,0.2 ppb,
Evergreen Subdivision,Haloacetic acids (HAA5)†,11.5 ppb,0.1 ppb,60 ppb
Evergreen Subdivision,Nitrate and nitrite,0.784 ppm,0.14 ppm,10 ppm
Evergreen Subdivision,Total trihalomethanes (TTHMs)†,19.0 ppb,0.15 ppb,80 ppb
Evergreen Subdivision,Trichloroacetic acid,4.45 ppb,0.1 ppb,
Evergreen Subdivision,Uranium,5.36 pCi/L,0.43 pCi/L,20 pCi/L
Evergreen Subdivision,"Radium, combined (-226 &amp; -228)",0.10 pCi/L,0.05 pCi/L,5 pCi/L
Evergreen Subdivision,None,,,
"Fromberg, Town of",Bromochloroacetic acid,2.20 ppb,0.02 ppb,
"Fromberg, Town of",Bromodichloromethane,2.10 ppb,0.06 ppb,
"Fromberg, Town of",Chloroform,6.30 ppb,0.4 ppb,
"Fromberg, Town of",Dibromoacetic acid,1.01 ppb,0.04 ppb,
"Fromberg, Town of",Dibromochloromethane,1.28 ppb,0.1 ppb,
"Fromberg, Town of",Dichloroacetic acid,3.05 ppb,0.2 ppb,
"Fromberg, Town of",Haloacetic acids (HAA5)†,5.75 ppb,0.1 ppb,60 ppb
"Fromberg, Town of",Manganese,242.0 ppb,100 ppb,
"Fromberg, Town of",Nitrate and nitrite,1.12 ppm,0.14 ppm,10 ppm
"Fromberg, Town of","Radium, combined (-226 &amp; -228)",0.15 pCi/L,0.05 pCi/L,5 pCi/L
"Fromberg, Town of",Total trihalomethanes (TTHMs)†,10.00 ppb,0.15 ppb,80 ppb
"Fromberg, Town of",Trichloroacetic acid,1.67 ppb,0.1 ppb,
"Fromberg, Town of",Uranium,9.38 pCi/L,0.43 pCi/L,20 pCi/L
"Fromberg, Town of",Bromoform,0.185 ppb,0.5 ppb,
"Fromberg, Town of",Fluoride,1.000 ppm,,4 ppm
"Fromberg, Town of",Selenium,4.00 ppb,30 ppb,50 ppb
"Fromberg, Town of",None,,,
"Joliet, Town of",Bromochloroacetic acid,1.000 ppb,0.02 ppb,
"Joliet, Town of",Bromodichloromethane,0.522 ppb,0.06 ppb,
"Joliet, Town of",Chloroform,0.878 ppb,0.4 ppb,
"Joliet, Town of",Dibromoacetic acid,0.127 ppb,0.04 ppb,
"Joliet, Town of",Dibromochloromethane,0.778 ppb,0.1 ppb,
"Joliet, Town of",Dichloroacetic acid,0.797 ppb,0.2 ppb,
"Joliet, Town of",Haloacetic acids (HAA5)†,1.37 ppb,0.1 ppb,60 ppb
"Joliet, Town of",Nitrate,0.800 ppm,0.14 ppm,10 ppm
"Joliet, Town of",Nitrate and nitrite,0.396 ppm,0.14 ppm,10 ppm
"Joliet, Town of",Total trihalomethanes (TTHMs)†,2.20 ppb,0.15 ppb,80 ppb
"Joliet, Town of",Uranium,1.18 pCi/L,0.43 pCi/L,20 pCi/L
"Joliet, Town of",Barium,61.6 ppb,700 ppb,"2,000 ppb"
"Joliet, Town of",Fluoride,0.280 ppm,,4 ppm
"Joliet, Town of",Selenium,0.260 ppb,30 ppb,50 ppb
"Joliet, Town of",Trichloroacetic acid,0.108 ppb,0.1 ppb,
"Joliet, Town of",None,,,
Rapelje Water District,Bromochloroacetic acid,2.21 ppb,0.02 ppb,
Rapelje Water District,Bromodichloromethane,1.91 ppb,0.06 ppb,
Rapelje Water District,Bromoform,9.33 ppb,0.5 ppb,
Rapelje Water District,Chloroform,2.24 ppb,0.4 ppb,
Rapelje Water District,Dibromoacetic acid,6.70 ppb,0.04 ppb,
Rapelje Water District,Dibromochloromethane,9.95 ppb,0.1 ppb,
Rapelje Water District,Dichloroacetic acid,0.465 ppb,0.2 ppb,
Rapelje Water District,Haloacetic acids (HAA5)†,7.20 ppb,0.1 ppb,60 ppb
Rapelje Water District,Nitrate and nitrite,0.749 ppm,0.14 ppm,10 ppm
Rapelje Water District,Total trihalomethanes (TTHMs)†,23.3 ppb,0.15 ppb,80 ppb
Rapelje Water District,Uranium,4.36 pCi/L,0.43 pCi/L,20 pCi/L
Rapelje Water District,None,,,
Red Lodge Water Department,Bromochloroacetic acid,0.458 ppb,0.02 ppb,
Red Lodge Water Department,Bromodichloromethane,0.854 ppb,0.06 ppb,
Red Lodge Water Department,Chloroform,2.79 ppb,0.4 ppb,
Red Lodge Water Department,Dichloroacetic acid,2.83 ppb,0.2 ppb,
Red Lodge Water Department,Haloacetic acids (HAA5)†,5.35 ppb,0.1 ppb,60 ppb
Red Lodge Water Department,Nitrate and nitrite,0.661 ppm,0.14 ppm,10 ppm
Red Lodge Water Department,Total trihalomethanes (TTHMs)†,3.77 ppb,0.15 ppb,80 ppb
Red Lodge Water Department,Trichloroacetic acid,2.55 ppb,0.1 ppb,
Red Lodge Water Department,Dibromochloromethane,0.0560 ppb,0.1 ppb,
Red Lodge Water Department,None,,,
Rio Vista Estates Ho Association Inc.,Arsenic,1.07 ppb,0.004 ppb,10 ppb
Rio Vista Estates Ho Association Inc.,Bromodichloromethane,2.18 ppb,0.06 ppb,
Rio Vista Estates Ho Association Inc.,Chloroform,2.88 ppb,0.4 ppb,
Rio Vista Estates Ho Association Inc.,Dibromoacetic acid,1.60 ppb,0.04 ppb,
Rio Vista Estates Ho Association Inc.,Dibromochloromethane,2.92 ppb,0.1 ppb,
Rio Vista Estates Ho Association Inc.,Dichloroacetic acid,2.55 ppb,0.2 ppb,
Rio Vista Estates Ho Association Inc.,Haloacetic acids (HAA5)†,5.93 ppb,0.1 ppb,60 ppb
Rio Vista Estates Ho Association Inc.,Nitrate and nitrite,1.38 ppm,0.14 ppm,10 ppm
Rio Vista Estates Ho Association Inc.,"Radium, combined (-226 &amp; -228)",0.85 pCi/L,0.05 pCi/L,5 pCi/L
Rio Vista Estates Ho Association Inc.,Total trihalomethanes (TTHMs)†,9.22 ppb,0.15 ppb,80 ppb
Rio Vista Estates Ho Association Inc.,Trichloroacetic acid,0.850 ppb,0.1 ppb,
Rio Vista Estates Ho Association Inc.,Barium,13.6 ppb,700 ppb,"2,000 ppb"
Rio Vista Estates Ho Association Inc.,Bromoform,0.960 ppb,0.5 ppb,
Rio Vista Estates Ho Association Inc.,Chromium (total),0.330 ppb,,100 ppb
Rio Vista Estates Ho Association Inc.,Fluoride,0.575 ppm,,4 ppm
Rio Vista Estates Ho Association Inc.,Monobromoacetic acid,0.350 ppb,25 ppb,
Rio Vista Estates Ho Association Inc.,Selenium,1.42 ppb,30 ppb,50 ppb
Rio Vista Estates Ho Association Inc.,None,,,
Sherwood Water Station,Nitrate and nitrite,1.59 ppm,0.14 ppm,10 ppm
Sherwood Water Station,"Radium, combined (-226 &amp; -228)",2.40 pCi/L,0.05 pCi/L,5 pCi/L
Sherwood Water Station,Uranium,2.01 pCi/L,0.43 pCi/L,20 pCi/L
Sherwood Water Station,Barium,110.0 ppb,700 ppb,"2,000 ppb"
Sherwood Water Station,Fluoride,0.300 ppm,,4 ppm
Sherwood Water Station,Selenium,2.00 ppb,30 ppb,50 ppb
Sherwood Water Station,None,,,
City of Billings,Arsenic,4.45 ppb,0.004 ppb,10 ppb
City of Billings,Bromochloroacetic acid,2.48 ppb,0.02 ppb,
City of Billings,Bromodichloromethane,7.96 ppb,0.06 ppb,
City of Billings,Chloroform,32.9 ppb,0.4 ppb,
City of Billings,Chromium (hexavalent),0.131 ppb,0.02 ppb,
City of Billings,Dibromoacetic acid,0.221 ppb,0.04 ppb,
City of Billings,Dibromochloromethane,1.62 ppb,0.1 ppb,
City of Billings,Dichloroacetic acid,13.3 ppb,0.2 ppb,
City of Billings,Haloacetic acids (HAA5)†,32.8 ppb,0.1 ppb,60 ppb
City of Billings,Haloacetic acids (HAA9)†,50.9 ppb,0.06 ppb,
City of Billings,Nitrate,0.390 ppm,0.14 ppm,10 ppm
City of Billings,Nitrate and nitrite,0.348 ppm,0.14 ppm,10 ppm
City of Billings,Total trihalomethanes (TTHMs)†,42.6 ppb,0.15 ppb,80 ppb
City of Billings,Trichloroacetic acid,18.4 ppb,0.1 ppb,
City of Billings,"4-Androstene-3,17-dione",0.0830 ppt,,
City of Billings,Barium,11.0 ppb,700 ppb,"2,000 ppb"
City of Billings,Fluoride,0.444 ppm,,4 ppm
City of Billings,Manganese,2.80 ppb,100 ppb,
City of Billings,Molybdenum,1.53 ppb,40 ppb,
City of Billings,Monobromoacetic acid,0.0591 ppb,25 ppb,
City of Billings,Monochloroacetic acid,0.768 ppb,53 ppb,
City of Billings,Strontium,0.307 ppb,"1,500 ppb",
City of Billings,Vanadium,0.830 ppb,21 ppb,
City of Billings,None,,,
Co Water District of Billings Heights,Arsenic*,4.45 ppb,0.004 ppb,10 ppb
Co Water District of Billings Heights,Bromochloroacetic acid,1.90 ppb,0.02 ppb,
Co Water District of Billings Heights,Bromodichloromethane,9.12 ppb,0.06 ppb,
Co Water District of Billings Heights,Chloroform,35.9 ppb,0.4 ppb,
Co Water District of Billings Heights,Chromium (hexavalent),0.121 ppb,0.02 ppb,
Co Water District of Billings Heights,Dibromoacetic acid,0.188 ppb,0.04 ppb,
Co Water District of Billings Heights,Dibromochloromethane,2.10 ppb,0.1 ppb,
Co Water District of Billings Heights,Dichloroacetic acid,9.73 ppb,0.2 ppb,
Co Water District of Billings Heights,Haloacetic acids (HAA5)†,28.8 ppb,0.1 ppb,60 ppb
Co Water District of Billings Heights,Haloacetic acids (HAA9)†,41.8 ppb,0.06 ppb,
Co Water District of Billings Heights,Nitrate*,0.390 ppm,0.14 ppm,10 ppm
Co Water District of Billings Heights,Nitrate and nitrite*,0.348 ppm,0.14 ppm,10 ppm
Co Water District of Billings Heights,Total trihalomethanes (TTHMs)†,47.1 ppb,0.15 ppb,80 ppb
Co Water District of Billings Heights,Trichloroacetic acid,18.4 ppb,0.1 ppb,
Co Water District of Billings Heights,"4-Androstene-3,17-dione*",0.0830 ppt,,
Co Water District of Billings Heights,Barium*,11.0 ppb,700 ppb,"2,000 ppb"
Co Water District of Billings Heights,Fluoride*,0.444 ppm,,4 ppm
Co Water District of Billings Heights,Manganese,3.78 ppb,100 ppb,
Co Water District of Billings Heights,Molybdenum,0.970 ppb,40 ppb,
Co Water District of Billings Heights,Monobromoacetic acid,0.0317 ppb,25 ppb,
Co Water District of Billings Heights,Monochloroacetic acid,0.316 ppb,53 ppb,
Co Water District of Billings Heights,Strontium,0.246 ppb,"1,500 ppb",
Co Water District of Billings Heights,Vanadium,0.833 ppb,21 ppb,
Co Water District of Billings Heights,None,,,
Laurel Municipal Water System,Arsenic,8.57 ppb,0.004 ppb,10 ppb
Laurel Municipal Water System,Bromochloroacetic acid,2.11 ppb,0.02 ppb,
Laurel Municipal Water System,Bromodichloromethane,5.85 ppb,0.06 ppb,
Laurel Municipal Water System,Chloroform,19.4 ppb,0.4 ppb,
Laurel Municipal Water System,Dibromoacetic acid,0.166 ppb,0.04 ppb,
Laurel Municipal Water System,Dibromochloromethane,1.23 ppb,0.1 ppb,
Laurel Municipal Water System,Dichloroacetic acid,10.7 ppb,0.2 ppb,
Laurel Municipal Water System,Haloacetic acids (HAA5)†,23.8 ppb,0.1 ppb,60 ppb
Laurel Municipal Water System,Nitrate and nitrite,0.292 ppm,0.14 ppm,10 ppm
Laurel Municipal Water System,Total trihalomethanes (TTHMs)†,26.5 ppb,0.15 ppb,80 ppb
Laurel Municipal Water System,Trichloroacetic acid,12.3 ppb,0.1 ppb,
Laurel Municipal Water System,Fluoride,0.500 ppm,,4 ppm
Laurel Municipal Water System,Monobromoacetic acid,0.181 ppb,25 ppb,
Laurel Municipal Water System,Monochloroacetic acid,0.799 ppb,53 ppb,
Laurel Municipal Water System,None,,,
Lockwood Water and Sewer District,Arsenic,0.333 ppb,0.004 ppb,10 ppb
Lockwood Water and Sewer District,Bromochloroacetic acid,2.45 ppb,0.02 ppb,
Lockwood Water and Sewer District,Bromodichloromethane,6.77 ppb,0.06 ppb,
Lockwood Water and Sewer District,Chloroform,25.8 ppb,0.4 ppb,
Lockwood Water and Sewer District,Dibromoacetic acid,0.209 ppb,0.04 ppb,
Lockwood Water and Sewer District,Dibromochloromethane,1.32 ppb,0.1 ppb,
Lockwood Water and Sewer District,Dichloroacetic acid,13.3 ppb,0.2 ppb,
Lockwood Water and Sewer District,Haloacetic acids (HAA5)†,32.6 ppb,0.1 ppb,60 ppb
Lockwood Water and Sewer District,Nitrate and nitrite,0.400 ppm,0.14 ppm,10 ppm
Lockwood Water and Sewer District,Total trihalomethanes (TTHMs)†,33.9 ppb,0.15 ppb,80 ppb
Lockwood Water and Sewer District,Trichloroacetic acid,15.7 ppb,0.1 ppb,
Lockwood Water and Sewer District,Fluoride,0.400 ppm,,4 ppm
Lockwood Water and Sewer District,Monobromoacetic acid,0.357 ppb,25 ppb,
Lockwood Water and Sewer District,Monochloroacetic acid,2.88 ppb,53 ppb,
Lockwood Water and Sewer District,None,,,
Pioneer Water Service,Bromochloroacetic acid*,1.90 ppb,0.02 ppb,
Pioneer Water Service,Bromodichloromethane*,9.12 ppb,0.06 ppb,
Pioneer Water Service,Chloroform*,35.9 ppb,0.4 ppb,
Pioneer Water Service,Chromium (hexavalent)*,0.121 ppb,0.02 ppb,
Pioneer Water Service,Dibromoacetic acid*,0.188 ppb,0.04 ppb,
Pioneer Water Service,Dibromochloromethane*,2.10 ppb,0.1 ppb,
Pioneer Water Service,Dichloroacetic acid*,9.73 ppb,0.2 ppb,
Pioneer Water Service,Haloacetic acids (HAA5)*†,28.8 ppb,0.1 ppb,60 ppb
Pioneer Water Service,Haloacetic acids (HAA9)*†,41.8 ppb,0.06 ppb,
Pioneer Water Service,Total trihalomethanes (TTHMs)*†,47.1 ppb,0.15 ppb,80 ppb
Pioneer Water Service,Trichloroacetic acid*,18.4 ppb,0.1 ppb,
Pioneer Water Service,Manganese*,3.78 ppb,100 ppb,
Pioneer Water Service,Molybdenum*,0.970 ppb,40 ppb,
Pioneer Water Service,Monobromoacetic acid*,0.0317 ppb,25 ppb,
Pioneer Water Service,Monochloroacetic acid*,0.316 ppb,53 ppb,
Pioneer Water Service,Strontium*,0.246 ppb,"1,500 ppb",
Pioneer Water Service,Vanadium*,0.833 ppb,21 ppb,
Ashland Water and Sewer Department,Bromate,2.83 ppb,0.1 ppb,10 ppb
Ashland Water and Sewer Department,Bromodichloromethane,10.7 ppb,0.06 ppb,
Ashland Water and Sewer Department,Chloroform,26.7 ppb,0.4 ppb,
Ashland Water and Sewer Department,Chromium (hexavalent),0.108 ppb,0.02 ppb,
Ashland Water and Sewer Department,Dibromoacetic acid,0.829 ppb,0.04 ppb,
Ashland Water and Sewer Department,Dibromochloromethane,3.24 ppb,0.1 ppb,
Ashland Water and Sewer Department,Dichloroacetic acid,16.7 ppb,0.2 ppb,
Ashland Water and Sewer Department,Haloacetic acids (HAA5)†,28.3 ppb,0.1 ppb,60 ppb
Ashland Water and Sewer Department,Haloacetic acids (HAA9)†,50.6 ppb,0.06 ppb,
Ashland Water and Sewer Department,Tetrachloroethylene (perchloroethylene),0.306 ppb,0.06 ppb,5 ppb
Ashland Water and Sewer Department,Total trihalomethanes (TTHMs)†,41.0 ppb,0.15 ppb,80 ppb
Ashland Water and Sewer Department,Trichloroacetic acid,10.2 ppb,0.1 ppb,
Ashland Water and Sewer Department,Aluminum,57.3 ppb,600 ppb,
Ashland Water and Sewer Department,Asbestos,0.65 MFL,,7 MFL
Ashland Water and Sewer Department,Barium,17.5 ppb,700 ppb,"2,000 ppb"
Ashland Water and Sewer Department,Chromium (total),0.133 ppb,,100 ppb
Ashland Water and Sewer Department,Cyanide,86.0 ppb,,200 ppb
Ashland Water and Sewer Department,Fluoride,0.0550 ppm,,4 ppm
Ashland Water and Sewer Department,Hexachlorocyclopentadiene,0.00567 ppb,2 ppb,50 ppb
Ashland Water and Sewer Department,Manganese,7.20 ppb,100 ppb,
Ashland Water and Sewer Department,Monobromoacetic acid,0.0275 ppb,25 ppb,
Ashland Water and Sewer Department,Monochloroacetic acid,1.32 ppb,53 ppb,
Ashland Water and Sewer Department,Nitrate,0.0681 ppm,0.14 ppm,10 ppm
Ashland Water and Sewer Department,Perchlorate,0.0850 ppb,1 ppb,
Ashland Water and Sewer Department,Strontium,0.0580 ppb,"1,500 ppb",
Ashland Water and Sewer Department,Vanadium,0.0500 ppb,21 ppb,
Ashland Water and Sewer Department,None,,,
"Broadus, Town of",Arsenic,0.250 ppb,0.004 ppb,10 ppb
"Broadus, Town of",Bromochloroacetic acid,0.345 ppb,0.02 ppb,
"Broadus, Town of",Bromodichloromethane,0.367 ppb,0.06 ppb,
"Broadus, Town of",Dibromoacetic acid,0.755 ppb,0.04 ppb,
"Broadus, Town of",Dibromochloromethane,0.517 ppb,0.1 ppb,
"Broadus, Town of",Haloacetic acids (HAA5)†,1.11 ppb,0.1 ppb,60 ppb
"Broadus, Town of","Radium, combined (-226 &amp; -228)",0.27 pCi/L,0.05 pCi/L,5 pCi/L
"Broadus, Town of",Total trihalomethanes (TTHMs)†,1.77 ppb,0.15 ppb,80 ppb
"Broadus, Town of",Bromoform,0.433 ppb,0.5 ppb,
"Broadus, Town of",Chloroform,0.250 ppb,0.4 ppb,
"Broadus, Town of",Dichloroacetic acid,0.385 ppb,0.2 ppb,
"Broadus, Town of",Nitrate and nitrite,0.0125 ppm,0.14 ppm,10 ppm
"Broadus, Town of",None,,,
"Colstrip, City of",Arsenic,1.83 ppb,0.004 ppb,10 ppb
"Colstrip, City of",Bromochloroacetic acid,4.89 ppb,0.02 ppb,
"Colstrip, City of",Bromodichloromethane,12.7 ppb,0.06 ppb,
"Colstrip, City of",Chloroform,46.1 ppb,0.4 ppb,
"Colstrip, City of",Dibromoacetic acid,0.707 ppb,0.04 ppb,
"Colstrip, City of",Dibromochloromethane,3.12 ppb,0.1 ppb,
"Colstrip, City of",Dichloroacetic acid,19.1 ppb,0.2 ppb,
"Colstrip, City of",Haloacetic acids (HAA5)†,37.7 ppb,0.1 ppb,60 ppb
"Colstrip, City of",Total trihalomethanes (TTHMs)†,61.9 ppb,0.15 ppb,80 ppb
"Colstrip, City of",Trichloroacetic acid,16.5 ppb,0.1 ppb,
"Colstrip, City of",Fluoride,0.357 ppm,,4 ppm
"Colstrip, City of",Monobromoacetic acid,0.122 ppb,25 ppb,
"Colstrip, City of",Monochloroacetic acid,1.08 ppb,53 ppb,
"Colstrip, City of",Nitrate and nitrite,0.0900 ppm,0.14 ppm,10 ppm
"Colstrip, City of",Selenium,0.833 ppb,30 ppb,50 ppb
"Colstrip, City of",None,,,
"Forsyth, City of",Arsenic,3.50 ppb,0.004 ppb,10 ppb
"Forsyth, City of",Bromochloroacetic acid,3.97 ppb,0.02 ppb,
"Forsyth, City of",Bromodichloromethane,11.5 ppb,0.06 ppb,
"Forsyth, City of",Chloroform,31.4 ppb,0.4 ppb,
"Forsyth, City of",Dibromoacetic acid,0.486 ppb,0.04 ppb,
"Forsyth, City of",Dibromochloromethane,2.80 ppb,0.1 ppb,
"Forsyth, City of",Dichloroacetic acid,15.5 ppb,0.2 ppb,
"Forsyth, City of",Haloacetic acids (HAA5)†,35.7 ppb,0.1 ppb,60 ppb
"Forsyth, City of",Nitrate and nitrite,0.417 ppm,0.14 ppm,10 ppm
"Forsyth, City of","Radium, combined (-226 &amp; -228)",1.50 pCi/L,0.05 pCi/L,5 pCi/L
"Forsyth, City of",Total trihalomethanes (TTHMs)†,45.7 ppb,0.15 ppb,80 ppb
"Forsyth, City of",Trichloroacetic acid,18.5 ppb,0.1 ppb,
"Forsyth, City of",Uranium,2.01 pCi/L,0.43 pCi/L,20 pCi/L
"Forsyth, City of",Barium,12.5 ppb,700 ppb,"2,000 ppb"
"Forsyth, City of",Fluoride,0.425 ppm,,4 ppm
"Forsyth, City of",Monobromoacetic acid,0.168 ppb,25 ppb,
"Forsyth, City of",Monochloroacetic acid,1.08 ppb,53 ppb,
"Forsyth, City of",Selenium,1.25 ppb,30 ppb,50 ppb
"Forsyth, City of",Thallium,0.175 ppb,0.1 ppb,2 ppb
"Forsyth, City of",Trichloroethylene,0.0900 ppb,0.4 ppb,5 ppb
"Forsyth, City of",None,,,
St. Labre Indian School,Bromochloroacetic acid,5.74 ppb,0.02 ppb,
St. Labre Indian School,Bromodichloromethane,18.8 ppb,0.06 ppb,
St. Labre Indian School,Bromoform,26.2 ppb,0.5 ppb,
